Title,Authors,Platform,Cited_url,Cited_count,Year
Bias in template-to-product ratios in multitemplate PCR,"MF Polz, CM Cavanaugh","Appl. Environ. Microbiol. 64 (10), 3724-3730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12916989256199969402,1501,1998
Divergence and redundancy of 16S rRNA sequences in genomes with multiple rrn operons,"SG Acinas, LA Marcelino, V Klepac-Ceraj, MF Polz","Journal of bacteriology 186 (9), 2629-2635",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3355486430948672904,646,2004
PCR-induced sequence artifacts and bias: insights from comparison of two 16S rRNA clone libraries constructed from the same sample,"SG Acinas, R Sarma-Rupavtarm, V Klepac-Ceraj, MF Polz","Appl. Environ. Microbiol. 71 (12), 8966-8969",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15858123719359143811,595,2005
"Heteroduplexes in mixed-template amplifications: formation, consequence and elimination by ‘reconditioning PCR’","JR Thompson, LA Marcelino, MF Polz","Nucleic Acids Research 30 (9), 2083-2088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7618407393801972752,547,2002
Fine-scale phylogenetic architecture of a complex bacterial community,"SG Acinas, V Klepac-Ceraj, DE Hunt, C Pharino, I Ceraj, DL Distel, ...","Nature 430 (6999), 551",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5277786037380210522,546,2004
"Triploblastic relationships with emphasis on the acoelomates and the position of Gnathostomulida, Cycliophora, Plathelminthes, and Chaetognatha: a combined approach of 18S rDNA …","G Giribet, DL Distel, M Polz, W Sterrer, WC Wheeler","Systematic Biology 49 (3), 539-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14547589482668376945,422,2000
Resource partitioning and sympatric differentiation among closely related bacterioplankton,"DE Hunt, LA David, D Gevers, SP Preheim, EJ Alm, MF Polz","Science 320 (5879), 1081-1085",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15764082580913753177,415,2008
The bacterial species challenge: making sense of genetic and ecological diversity,"C Fraser, EJ Alm, MF Polz, BG Spratt, WP Hanage","science 323 (5915), 741-746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13278276872472250356,398,2009
Population genomics of early events in the ecological differentiation of bacteria,"BJ Shapiro, J Friedman, OX Cordero, SP Preheim, SC Timberlake, ...","science 336 (6077), 48-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9229935212627808236,365,2012
Genotypic diversity within a natural coastal bacterioplankton population,"JR Thompson, S Pacocha, C Pharino, V Klepac-Ceraj, DE Hunt, J Benoit, ...","Science 307 (5713), 1311-1313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4177613273664865063,344,2005
