Title,Authors,Platform,Cited_url,Cited_count,Year
Principles of Power Electronics,"JG Kassakian, MF Schecht, GC Verghese",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14059366126865690080,1537,1991
A generalized state-space for singular systems,"G Verghese, B Lévy, T Kailath","IEEE Transactions on Automatic Control 26 (4), 811-831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=886947396254058754,1208,1981
Generalized averaging method for power conversion circuits,"SR Sanders, JM Noworolski, XZ Liu, GC Verghese","IEEE Transactions on power Electronics 6 (2), 251-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9338640497603423752,1102,1991
Nonlinear phenomena in power electronics,"S Banerjee, GC Verghese",IEEE,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17386662454804245760,11410854727640639950,6315064520002512436",928,1999
Observers for flux estimation in induction machines,"GC Verghese, SR Sanders","IEEE Transactions on industrial electronics 35 (1), 85-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12294110570342418168,615,1988
Failure detection and identification,"MA Massoumnia, GC Verghese, AS Willsky","IEEE transactions on automatic control 34 (3), 316-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12522801807345967914,597,1989
Modeling and simulation of power electronic converters,"D Maksimovic, AM Stankovic, VJ Thottuvelil, GC Verghese","Proceedings of the IEEE 89 (6), 898-912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7335310846695484159,529,2001
"Selective modal analysis with applications to electric power systems, Part I: Heuristic introduction","IJ Pérez-Arriaga, GC Verghese, FC Schweppe","ieee transactions on power apparatus and systems, 3117-3125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4501362488983628550,472,1982
Optimally robust redundancy relations for failure detection in uncertain systems,"XC Lou, AS Willsky, GC Verghese","Automatica 22 (3), 333-344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4027222846806336474,435,1986
A general approach to sampled-data modeling for power electronic circuits,"GC Verghese, ME Elbuluk, JG Kassakian","IEEE Transactions on Power Electronics, 76-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4223388945023818832,433,1986
Design issues in 2-port network models of bilateral remote manipulation,"GJ Raju, GC Verghese, TB Sheridan","Robotics and Automation, 1989. Proceedings., 1989 IEEE International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8134160936492207340,353,1989
"On sensitivities, residues and participations: applications to oscillatory stability analysis and control","FL Pagola, IJ Perez-Arriaga, GC Verghese","IEEE Transactions on Power Systems 4 (1), 278-285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2467342128513727230,318,1989
Combining and updating of local estimates and regional maps along sets of one-dimensional tracks,"A Willsky, M Bello, D Castanon, B Levy, G Verghese","IEEE Transactions on Automatic Control 27 (4), 799-813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12581536161262352471,294,1982
Lyapunov-based control for switched power converters,"SR Sanders, GC Verghese","IEEE Transactions on Power Electronics 7 (1), 17-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2376221565591832821,291,1992
Multifrequency averaging of DC/DC converters,"VA Caliskan, OC Verghese, AM Stankovic","IEEE Transactions on Power electronics 14 (1), 124-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12285571912197909017,285,1999
Analysis and control design of paralleled DC/DC converters with current sharing,"VJ Thottuvelil, GC Verghese","Proceedings of APEC 97-Applied Power Electronics Conference 2, 638-646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=987000193966130001,279,1997
Analysis and synthesis of randomized modulation schemes for power converters,"AM Stankovic, GE Verghese, DJ Perreault","IEEE Transactions on Power Electronics 10 (6), 680-693",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18134165132333441357,237,1995
"Selective modal analysis with applications to electric power systems, Part II: The dynamic stability problem","GC Verghese, IJ Perez-Arriaga, FC Schweppe","IEEE Transactions on Power Apparatus and Systems, 3126-3134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6702839137910129261,223,1982
Phasor dynamics of thyristor-controlled series capacitor systems,"P Mattavelli, GC Verghese, AM Stankovic","IEEE Transactions on Power Systems 12 (3), 1259-1267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10684038202636625452,210,1997
Properties of the system matrix of a generalized state-space system,"G Verghese, P Van Dooren, T Kailath","International journal of control 30 (2), 235-243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1601295197010872932,203,1979
