Title,Authors,Platform,Cited_url,Cited_count,Year
Synthetic biology: new engineering rules for an emerging discipline,"E Andrianantoandro, S Basu, DK Karig, R Weiss","Molecular systems biology 2 (1), 2006.0028",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7378905228165722764,1211,2006
The second wave of synthetic biology: from modules to systems,"PEM Purnick, R Weiss","Nature reviews Molecular cell biology 10 (6), 410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2431325961347929117,1145,2009
A synthetic multicellular system for programmed pattern formation,"S Basu, Y Gerchman, CH Collins, FH Arnold, R Weiss","Nature 434 (7037), 1130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15054511508001786970,1090,2005
Amorphous computing,"H Abelson, J Beal, GJ Sussman","Encyclopedia of Complexity and Systems Science, 257-271",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5944235460300177487,740,2009
Programmed population control by cell–cell communication and regulated killing,"L You, RS Cox III, R Weiss, FH Arnold","Nature 428 (6985), 868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3298265407210248782,689,2004
Multi-input RNAi-based logic circuit for identification of specific cancer cells,"Z Xie, L Wroblewska, L Prochazka, R Weiss, Y Benenson","Science 333 (6047), 1307-1311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18375573676400086436,622,2011
Ultrasensitivity and noise propagation in a synthetic transcriptional cascade,"S Hooshangi, S Thiberge, R Weiss","Proceedings of the National Academy of Sciences 102 (10), 3581-3586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6526848684771465411,563,2005
Highly efficient Cas9-mediated transcriptional programming,"A Chavez, J Scheiman, S Vora, BW Pruitt, M Tuttle, EPR Iyer, S Lin, ...","Nature methods 12 (4), 326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15970315533994916061,560,2015
Spatiotemporal control of gene expression with pulse-generating networks,"S Basu, R Mehreja, S Thiberge, MT Chen, R Weiss","Proceedings of the National Academy of Sciences 101 (17), 6355-6360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12401741288033281011,520,2004
A universal RNAi-based logic evaluator that operates in mammalian cells,"K Rinaudo, L Bleris, R Maddamsetti, S Subramanian, R Weiss, ...","Nature biotechnology 25 (7), 795",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1910637188940307421,519,2007
Directed evolution of a genetic circuit,"Y Yokobayashi, R Weiss, FH Arnold","Proceedings of the National Academy of Sciences 99 (26), 16587-16591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6606789709263067016,470,2002
HyPursuit: A hierarchical network search engine that exploits content-link hypertext clustering,"R Weiss, B Vélez, MA Sheldon","Proceedings of the the seventh ACM conference on Hypertext, 180-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10701179211120794212,405,1996
Model-based expectation-maximization source separation and localization,"MI Mandel, RJ Weiss, DPW Ellis","IEEE Transactions on Audio, Speech, and Language Processing 18 (2), 382-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1614625494999877964,276,2009
"Genetic circuit building blocks for cellular computation, communications, and signal processing","R Weiss, S Basu, S Hooshangi, A Kalmbach, D Karig, R Mehreja, ...","Natural Computing 2 (1), 47-84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15455085858477164978,239,2003
Advances in synthetic biology: on the path from prototypes to applications,"R McDaniel, R Weiss","Current opinion in biotechnology 16 (4), 476-483",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4500641601089448174,238,2005
Engineered bidirectional communication mediates a consensus in a microbial biofilm consortium,"K Brenner, DK Karig, R Weiss, FH Arnold","Proceedings of the National Academy of Sciences 104 (44), 17300-17304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3381805304711733992,228,2007
Foundations for the design and implementation of synthetic genetic circuits,"AL Slusarczyk, A Lin, R Weiss","Nature Reviews Genetics 13 (6), 406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11937893357049112137,200,2012
Realizing the potential of synthetic biology,"GM Church, MB Elowitz, CD Smolke, CA Voigt, R Weiss","Nature Reviews Molecular Cell Biology 15 (4), 289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2975703857493611063,195,2014
