Title,Authors,Platform,Cited_url,Cited_count,Year
Monetary policy rules based on real-time data,A Orphanides,"American Economic Review 91 (4), 964-985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16979779672190066254,1667,2001
The unreliability of output-gap estimates in real time,"A Orphanides, S Norden","Review of economics and statistics 84 (4), 569-583","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4136377880917020266,10110259825669025949,2751200195639778750",1000,2002
The quest for prosperity without inflation,A Orphanides,"Journal of monetary Economics 50 (3), 633-663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13562047440240866798,686,2003
Historical monetary policy analysis and the Taylor rule,A Orphanides,"Journal of monetary economics 50 (5), 983-1022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12259407938295644547,584,2003
Monetary policy evaluation with noisy information,A Orphanides,"Journal of Monetary economics 50 (3), 605-631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11989921386151307686,578,2003
The macroeconomic consequences of terrorism,"SB Blomberg, GD Hess, A Orphanides","Journal of monetary economics 51 (5), 1007-1032",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12770267484793970604,549,2004
"Imperfect knowledge, inflation expectations, and monetary policy","A Orphanides, J Williams","The inflation-targeting debate, 201-246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6597797205266313450,513,2004
"Monetary policy rules, macroeconomic stability, and inflation: A view from the trenches",A Orphanides,"Journal of Money, Credit and Banking, 151-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2994451086301078469,484,2004
Rational addiction with learning and regret,"A Orphanides, D Zervos","Journal of Political Economy 103 (4), 739-758",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=204818895444116910,477,1995
Robust monetary policy rules with unknown natural rates,"A Orphanides, JC Williams","Brookings Papers on Economic Activity 2002 (2), 63-145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17213813091624079158,438,2002
Monetary-policy rules and the great inflation,A Orphanides,"American economic review 92 (2), 115-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16285025248889754819,377,2002
"Inflation, Volatility and Growth","R Judson, A Orphanides",Finance and Economics Discussion Series,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17595278058367552237,15743264579017212603",363,1996
"War politics: An economic, rational-voter framework","GD Hess, A Orphanides","The American Economic Review, 828-846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4302080612552459648,308,1995
The reliability of inflation forecasts based on output gap estimates in real time,"A Orphanides, S Van Norden","Journal of Money, Credit and Banking, 583-601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2320518894855325518,300,2005
