Title,Authors,Platform,Cited_url,Cited_count,Year
A unified framework for hybrid control: Model and optimal control theory,"MS Branicky, VS Borkar, SK Mitter","IEEE transactions on automatic control 43 (1), 31-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5022514166374591279,1633,1998
Stabilization of linear systems with limited information,"N Elia, SK Mitter","IEEE transactions on Automatic Control 46 (9), 1384-1400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5313942133623446174,1627,2001
Control under communication constraints,"S Tatikonda, S Mitter","IEEE Transactions on automatic control 49 (7), 1056-1068",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17798959240933976163,1616,2004
Representation and control of infinite dimensional systems,"A Bensoussan, G Da Prato, MC Delfour, SK Mitter",Springer Science & Business Media,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16770379927301757289,14424723357693352404,17724288102481209011",1409,2007
Probabilistic solution of ill-posed problems in computational vision,"J Marroquin, S Mitter, T Poggio","Journal of the american statistical association 82 (397), 76-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17010564457181919725,1089,1987
Stochastic approximation: a dynamical systems viewpoint,VS Borkar,Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12275696535967617677,910,2009
Discrete-time controlled Markov processes with average cost criterion: a survey,"A Arapostathis, VS Borkar, E Fernández-Gaucherand, MK Ghosh, ...","SIAM Journal on Control and Optimization 31 (2), 282-344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4221386695447126639,563,1993
The conjugate gradient method for optimal control problems,"L Lasdon, S Mitter, A Waren","IEEE Transactions on Automatic Control 12 (2), 132-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13344474400520013371,485,1967
The necessity and sufficiency of anytime capacity for stabilization of a linear system over a noisy communication link—Part I: Scalar systems,"A Sahai, S Mitter","IEEE transactions on Information Theory 52 (8), 3369-3395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6951885306099231349,384,2006
Stochastic linear control over a communication channel,"S Tatikonda, A Sahai, S Mitter","IEEE transactions on Automatic Control 49 (9), 1549-1561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8349998531986997082,381,2004
Control over noisy channels,"S Tatikonda, S Mitter","IEEE transactions on Automatic Control 49 (7), 1196-1201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10903384474629078276,381,2004
The ODE method for convergence of stochastic approximation and reinforcement learning,"VS Borkar, SP Meyn","SIAM Journal on Control and Optimization 38 (2), 447-469",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=256925738881183189,364,2000
A unified framework for hybrid control,"MS Branicky, VS Borkar, SK Mitter","Proceedings of 1994 33rd IEEE Conference on Decision and Control 4, 4228-4234","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1450494972609524035,5852235643412616820",332,1994
Volatility of power grids under real-time pricing,"M Roozbehani, MA Dahleh, SK Mitter","IEEE Transactions on Power Systems 27 (4), 1926-1940",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17632357813361443907,319,2012
Asymptotic agreement in distributed estimation,"V Borkar, P Varaiya","IEEE Transactions on Automatic Control 27 (3), 650-655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14153526407417649136,316,1982
Stochastic approximation with two time scales,VS Borkar,"Systems & Control Letters 29 (5), 291-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8073112525200632108,312,1997
A new distributed time synchronization protocol for multihop wireless networks,"R Solis, VS Borkar, PR Kumar","Proceedings of the 45th IEEE Conference on Decision and Control, 2734-2739",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982679308532068937,241,2006
The capacity of channels with feedback,"S Tatikonda, S Mitter","IEEE Transactions on Information Theory 55 (1), 323-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=211230804313270789,236,2008
A theory of modal control,"JD Simon, SK Mitter","Information and Control 13 (4), 316-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9684380333729048955,231,1968
A theory of QoS for wireless,"IH Hou, V Borkar, PR Kumar","IEEE INFOCOM 2009, 486-494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12126776292574222948,224,2009
Optimal control of diffusion processes,VS Borkar,"Pitman Research Notes in Math., 203. 36 Borkar V.(2005):“Controlled …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5500742893134105703,224,1989
"Controllability, observability and optimal feedback control of affine hereditary differential systems","MC Delfour, SK Mitter","SIAM Journal on Control 10 (2), 298-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12730152044450805731,214,1972
Probability theory: an advanced course,VS Borkar,Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5870436969236223544,197,2012
Stability and the infinite-time quadratic cost problem for linear hereditary differential systems,"MC Delfour, C McCalla, SK Mitter","SIAM Journal on Control 13 (1), 48-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4258073757784439301,192,1975
Recursive Stochastic Algorithms for Global Optimization in ,"SB Gelfand, SK Mitter","SIAM Journal on Control and Optimization 29 (5), 999-1018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7048994450243368789,188,1991
Actor-Critic--Type Learning Algorithms for Markov Decision Processes,"VR Konda, VS Borkar","SIAM Journal on control and Optimization 38 (1), 94-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17064808714885644757,183,1999
A control perspective on recent trends in manufacturing systems,"S Gershwin, R Hildebrant, R Suri, S Mitter","IEEE Control Systems Magazine 6 (2), 3-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8852490718033176663,182,1986
On the Analogy between Mathematical Problems of Non-Linear Filtering and Quantum Physics.,SK Mitter,MASSACHUSETTS INST OF TECH CAMBRIDGE LAB FOR INFORMATION AND DECISION SYSTEMS,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9488898964833559901,181,1980
Ergodic control of diffusion processes,"A Arapostathis, VS Borkar, MK Ghosh",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3814213902450681297,175,2012
Topics in controlled Markov chains,"VS Borkar, VS Borkar",Longman Scientific & Technical,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6242586900949324189,174,1991
Dynamic pricing and stabilization of supply and demand in modern electric power grids,"M Roozbehani, M Dahleh, S Mitter","2010 First IEEE International Conference on Smart Grid Communications, 543-548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1681402051832082003,166,2010
Simulated annealing with noisy or imprecise energy measurements,"SB Gelfand, SK Mitter","Journal of Optimization Theory and Applications 62 (1), 49-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10677984630995551709,166,1989
