Title,Authors,Platform,Cited_url,Cited_count,Year
The governance of global value chains,"G Gereffi, J Humphrey, T Sturgeon","Review of international political economy 12 (1), 78-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13273113463106702914,7325,2005
Modular production networks: a new American model of industrial organization,TJ Sturgeon,"Industrial and corporate change 11 (3), 451-496","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2386348611976727670,6409030187574490678",2047,2002
"Introduction: Globalisation, value chains and development","G Gereffi, J Humphrey, R Kaplinsky, T Sturgeon","IDS bulletin 32 (3), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9430803247852216126,993,2001
"Value chains, networks and clusters: reframing the global automotive industry","T Sturgeon, J Van Biesebroeck, G Gereffi","Journal of Economic Geography 8 (3), 297-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17546089715666729586,837,2008
How Do We Define Value Chains and Production Networks?*,TJ Sturgeon,"IDS bulletin 32 (3), 9-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9407854900989730683,760,2001
From commodity chains to value chains: interdisciplinary theory building in an age of globalization,TJ Sturgeon,"Frontiers of Commodity Chain Research, 110-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4216171560543268500,431,2008
What really goes on in Silicon Valley? Spatial clustering and dispersal in modular production networks,TJ Sturgeon,"Journal of economic geography 3 (2), 199-225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16736974294808114344,353,2003
The new global supply base: new challenges for local suppliers in East Asia,"T Sturgeon, RK Lester","Global production networking and technological change in East Asia, 35-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2941956472912009971,285,2004
Explaining governance in global value chains: A modular theory-building effort,"S Ponte, T Sturgeon","Review of International Political Economy 21 (1), 195-223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2892417232174128965,281,2014
Industry co-evolution: a comparison of Taiwan and North American electronics contract manufacturers,"T Sturgeon, JR Lee",Global Taiwan: Building Competitive Strengths in a New International Economy …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15722850732926785961,1529768216009698015",274,2005
Effects of the 2008-09 Crisis on the Automotive Industry in Developing Countries: A Global Value Chain Perspective,"J Van Biesebroeck, TJ Sturgeon","Global Value Chains in a Postcrisis World. A Development Perspective, Ibrd …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3402090079168002796,1853352738030254191,11042834214551299360",268,2010
Globalisation of the automotive industry: main features and trends,"TJ Sturgeon, O Memedovic, J Van Biesebroeck, G Gereffi","International Journal of Technological learning, innovation and development …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7603567471464977824,263,2009
"Measuring success in the global economy: International trade, industrial upgrading and business function outsourcing in global value chains","TJ Sturgeon, G Gereffi","Transnational Corporations 18 (2), 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4913105167819704520,237,2009
How Silicon Valley came to be,TJ Sturgeon,"Understanding Silicon Valley: Anatomy of an Entrepreneurial Region, 15-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6661641823965932797,234,2000
Global value chains in the electronics industry: was the crisis a window of opportunity for developing countries?,"T Sturgeon, M Kawakami","World Bank Policy Research Working Paper Series, Vol","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15261353169697105601,4078440262481758196",231,2010
Turnkey production networks: a new American model of industrial organization?,TJ Sturgeon,Berkeley Roundtable on the International Economy,,203,1997
Global value chain-oriented industrial policy: the role of emerging economies,"G Gereffi, T Sturgeon","Global value chains in a changing world, 329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6962440047526441897,181,2013
Mapping global value chains: Intermediate goods trade and structural change in the world economy,"TJ Sturgeon, O Memedović",United Nations Industrial Development Organization,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16231023278918302348,181,2011
Effects of the Crisis on the Automotive Industry in Developing Countries: A Global Value Chain Perspective,"J Van Biesebroeck, TJ Sturgeon",World Bank,,177,2010
