Title,Authors,Platform,Cited_url,Cited_count,Year
A compact grating-stabilized diode laser system for atomic physics,"L Ricci, M Weidemüller, T Esslinger, A Hemmerich, C Zimmermann, ...","Optics Communications 117 (5-6), 541-549",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11685221314828444803,750,1995
Quantum nonlinear optics with single photons enabled by strongly interacting atoms,"T Peyronel, O Firstenberg, QY Liang, S Hofferberth, AV Gorshkov, T Pohl, ...","Nature 488 (7409), 57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15259424293594375437,636,2012
Probing many-body dynamics on a 51-atom quantum simulator,"H Bernien, S Schwartz, A Keesling, H Levine, A Omran, H Pichler, S Choi, ...","Nature 551 (7682), 579",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11073532279349828803,581,2017
Efficient all-optical switching using slow light within a hollow fiber,"M Bajcsy, S Hofferberth, V Balic, T Peyronel, M Hafezi, AS Zibrov, ...","Physical review letters 102 (20), 203902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12141487824905772892,495,2009
Nanophotonic quantum phase switch with a single atom,"TG Tiecke, JD Thompson, NP de Leon, LR Liu, V Vuletić, MD Lukin","Nature 508 (7495), 241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11946750696173023704,401,2014
Quantum nonlinear optics—photon by photon,"DE Chang, V Vuletić, MD Lukin","Nature Photonics 8 (9), 685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8492603186132790367,389,2014
Impact of the Casimir-Polder potential and Johnson noise on Bose-Einstein condensate stability near surfaces,"Y Lin, I Teper, C Chin, V Vuletić","Physical review letters 92 (5), 050404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2905894157183651125,378,2004
Implementation of cavity squeezing of a collective atomic spin,"ID Leroux, MH Schleier-Smith, V Vuletić","Physical Review Letters 104 (7), 073602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13075240855333212689,367,2010
Attractive photons in a quantum nonlinear medium,"O Firstenberg, T Peyronel, QY Liang, AV Gorshkov, MD Lukin, V Vuletić","Nature 502 (7469), 71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1450739429502169110,349,2013
Coupling a single trapped atom to a nanoscale optical cavity,"JD Thompson, TG Tiecke, NP de Leon, J Feist, AV Akimov, M Gullans, ...","Science 340 (6137), 1202-1205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6376876083384172095,348,2013
