Title,Authors,Platform,Cited_url,Cited_count,Year
Modeling the shape of the scene: A holistic representation of the spatial envelope,"A Oliva, A Torralba","International journal of computer vision 42 (3), 145-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=614002343055587308,6494,2001
Learning deep features for scene recognition using places database,"B Zhou, A Lapedriza, J Xiao, A Torralba, A Oliva","Advances in neural information processing systems, 487-495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18419800374042180760,2146,2014
Sun database: Large-scale scene recognition from abbey to zoo,"J Xiao, J Hays, KA Ehinger, A Oliva, A Torralba",2010 IEEE Computer Society Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16673055354452839898,1958,2010
Contextual guidance of eye movements and attention in real-world scenes: the role of global features in object search.,"A Torralba, A Oliva, MS Castelhano, JM Henderson","Psychological review 113 (4), 766",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7123142482069265350,1715,2006
Learning deep features for discriminative localization,"B Zhou, A Khosla, A Lapedriza, A Oliva, A Torralba",Proceedings of the IEEE conference on computer vision and pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2686826201088684972,1697,2016
Building the gist of a scene: The role of global image features in recognition,"A Oliva, A Torralba","Progress in brain research 155, 23-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2528498881292037854,1386,2006
Statistics of natural image categories,"A Torralba, A Oliva","Network: computation in neural systems 14 (3), 391-412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=385673523048809854,929,2003
A feedforward architecture accounts for rapid categorization,"T Serre, A Oliva, T Poggio","Proceedings of the national academy of sciences 104 (15), 6424-6429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4082430801001463332,890,2007
The role of context in object recognition,"A Oliva, A Torralba","Trends in cognitive sciences 11 (12), 520-527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7354278086010576663,830,2007
From blobs to boundary edges: Evidence for time-and spatial-scale-dependent scene recognition,"PG Schyns, A Oliva","Psychological science 5 (4), 195-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2203462085347675051,788,1994
Visual long-term memory has a massive storage capacity for object details,"TF Brady, T Konkle, GA Alvarez, A Oliva","Proceedings of the National Academy of Sciences 105 (38), 14325-14329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16597628279217360486,742,2008
Places: A 10 million image database for scene recognition,"B Zhou, A Lapedriza, A Khosla, A Oliva, A Torralba","IEEE transactions on pattern analysis and machine intelligence 40 (6), 1452-1464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9514979710074722420,672,2017
