Title,Authors,Platform,Cited_url,Cited_count,Year
Transcriptional regulatory networks in Saccharomyces cerevisiae,"TI Lee, NJ Rinaldi, F Robert, DT Odom, Z Bar-Joseph, GK Gerber, ...","science 298 (5594), 799-804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3919782539051545070,3477,2002
Genome-wide location and function of DNA binding proteins,"B Ren, F Robert, JJ Wyrick, O Aparicio, EG Jennings, I Simon, J Zeitlinger, ...","Science 290 (5500), 2306-2309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11619712832731364619,2412,2000
Control of developmental regulators by Polycomb in human embryonic stem cells,"TI Lee, RG Jenner, LA Boyer, MG Guenther, SS Levine, RM Kumar, ...","Cell 125 (2), 301-313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16203265725106001722,2341,2006
Connecting microRNA genes to the core transcriptional regulatory circuitry of embryonic stem cells,"A Marson, SS Levine, MF Cole, GM Frampton, T Brambrink, S Johnstone, ...","Cell 134 (3), 521-533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=248584942608487951,1512,2008
"E2F integrates cell cycle progression with DNA repair, replication, and G2/M checkpoints","B Ren, H Cam, Y Takahashi, T Volkert, J Terragni, RA Young, ...","Genes & development 16 (2), 245-256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9164881388991946248,1102,2002
Serial regulation of transcriptional regulators in the yeast cell cycle,"I Simon, J Barnett, N Hannett, CT Harbison, NJ Rinaldi, TL Volkert, ...","Cell 106 (6), 697-708",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3794380207120016921,740,2001
Program-specific distribution of a transcription factor dependent on partner transcription factor and MAPK signaling,"J Zeitlinger, I Simon, CT Harbison, NM Hannett, TL Volkert, GR Fink, ...","Cell 113 (3), 395-404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11863637259172103775,251,2003
Aberrant chromatin at genes encoding stem cell regulators in human mixed-lineage leukemia,"MG Guenther, LN Lawton, T Rozovskaia, GM Frampton, SS Levine, ...","Genes & development 22 (24), 3403-3408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3831212549587940050,227,2008
Genome-wide analyses of Nkx2-1 binding to transcriptional target genes uncover novel regulatory patterns conserved in lung development and tumors,"JB Tagne, S Gupta, AC Gower, SS Shen, S Varma, M Lakshminarayanan, ...","PloS one 7 (1), e29907",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17327043465039017620,31,2012
A highly mobile C-terminal tail of the Escherichia coli protein export chaperone SecB,"TL Volkert, JD Baleja, CA Kumamoto","Biochemical and biophysical research communications 264 (3), 949-954",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8473685226002288152,24,1999
"Two transcripts, differing at their 3′ ends, are produced from the Candida albicans SEC14 gene","PJ Riggle, IV Slobodkin, DH Brown Jr, MP Hanson, TL Volkert, ...","Microbiology 143 (11), 3527-3535",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10190102673865410474,19,1997
Long-length oligonucleotide microarrays,"V Myer, D Statham, T Volkert, C Wilson","US Patent App. 09/859,752",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4583157333407097077,8,2002
DNA microarrays of networked oligonucleotides,"Y Bao, A Ferrie, F Lai, T Volkert, X Xie, Q Zong","US Patent App. 10/028,512","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6684433038791453321,17622892916013553763",3,2002
Nanoformulation and Cancer Therapy: Study of DNA Damage and repair Pathway by Expression and Genome Wide Location Analysis (GWLA),"JB Tagne, S Kakumanu, S Gupta, T Volkert, R Young, RJ Nicolosi","The FASEB Journal 21 (6), LB33-LB33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15760232167302306109,1,2007
Encapsulated miR-200c and Nkx2. 1 in a nuclear/mitochondria transcriptional regulatory network of non-metastatic and metastatic lung cancer cells,"O D’Almeida, O Mothar, EA Bondzie, Y Lieumo, L Tagne, S Gupta, ...","BMC cancer 19 (1), 136",,0,2019
Identification of Titf1 Target Genes in the Developing Lung.,"J Tagne, S Gupta, T Vo, Y Cao, T Volkert, MI Ramirez",A54. ALVEOLAR GENE EXPRESSION REGULATION: TRANSCRIPTION AND GROWTH FACTORS …,,0,2009
Research communications,"KK Adhvaryu, EU Selker, T Schafmeier, A Diernfellner, A Schäfer, ...",GENES & DEVELOPMENT,,0,2008
Genome-wide location of the MAPK-activated transcription factor Ste12p is condition dependent.,"J Zeitlinger, I Simon, CT Harbison, N Hannett, TL Volkert, RA Young","YEAST 18, S112-S112",,0,2001
Control of Developmental Regulators by Polycomb in Human Embryonic Stem Cells,"HK Isono, T Fuchikami, K Abe, HL Murray, P Jacob, BY Zucker, GW Bell, ...",,,0,0
Supplemental Data Connecting microRNA Genes to the Core Transcriptional Regulatory Circuitry of Embryonic Stem Cells,"A Marson, SS Levine, MF Cole, GM Frampton, T Brambrink, S Johnstone, ...",,,0,0
Supporting online material for: Transcriptional Regulatory Networks in Saccharomyces cerevisiae,"TI Lee, NJ Rinaldi, F Robert, DT Odom, Z Bar-Joseph, GK Gerber, ...",,,0,0
