Title,Authors,Platform,Cited_url,Cited_count,Year
Double nicking by RNA-guided CRISPR Cas9 for enhanced genome editing specificity,"FA Ran, PD Hsu, CY Lin, JS Gootenberg, S Konermann, AE Trevino, ...","Cell 154 (6), 1380-1389",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13214891630900497545,2489,2013
Cpf1 Is a Single RNA-Guided Endonuclease of a Class 2 CRISPR-Cas System,"B Zetsche, JS Gootenberg, OO Abudayyeh, IM Slaymaker, KS Makarova, ...","Cell 163, 1-13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8289119616045200878,1409092104700876017",1706,2015
 genome editing using ,"FA Ran, L Cong, WX Yan, DA Scott, JS Gootenberg, AJ Kriz, B Zetsche, ...","Nature 520 (7546), 186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10611619311386384827,1407,2015
Genome-scale transcriptional activation by an engineered CRISPR-Cas9 complex,"S Konermann, MD Brigham, AE Trevino, J Joung, OO Abudayyeh, ...","Nature 517 (7536), 583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4037348089103317786,1256,2015
C2c2 is a single-component programmable RNA-guided RNA-targeting CRISPR effector,"OO Abudayyeh, JS Gootenberg, S Konermann, J Joung, IM Slaymaker, ...","Science 353 (6299), aaf5573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10729026081657015523,561,2016
Discovery and functional characterization of diverse class 2 CRISPR-Cas systems,"S Shmakov, OO Abudayyeh, KS Makarova, YI Wolf, JS Gootenberg, ...","Molecular cell 60 (3), 385-397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8977519498114135619,481,2015
Nucleic acid detection with CRISPR-Cas13a/C2c2,"JS Gootenberg, OO Abudayyeh, JW Lee, P Essletzbichler, AJ Dy, J Joung, ...","Science 356 (6336), 438-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2883760243285581214,380,2017
RNA editing with CRISPR-Cas13,"DBT Cox, JS Gootenberg, OO Abudayyeh, B Franklin, MJ Kellner, J Joung, ...","Science 358 (6366), 1019-1027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3910184571972422357,368,2017
RNA targeting with CRISPR–Cas13,"OO Abudayyeh, JS Gootenberg, P Essletzbichler, S Han, J Joung, ...","Nature 550 (7675), 280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10999598533885035808,354,2017
Diversity and evolution of class 2 CRISPR–Cas systems,"S Shmakov, A Smargon, D Scott, D Cox, N Pyzocha, W Yan, ...","Nature Reviews Microbiology 15 (3), 169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16890392136099050811,318,2017
Multiplex gene editing by CRISPR–Cpf1 using a single crRNA array,"B Zetsche, M Heidenreich, P Mohanraju, I Fedorova, J Kneppers, ...","Nature biotechnology 35 (1), 31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10384163656284388668,316,2017
"Multiplexed and portable nucleic acid detection platform with Cas13, Cas12a, and Csm6","JS Gootenberg, OO Abudayyeh, MJ Kellner, J Joung, JJ Collins, F Zhang","Science 360 (6387), 439-444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2991839221215639547,233,2018
Genome-scale CRISPR-Cas9 knockout and transcriptional activation screening,"J Joung, S Konermann, JS Gootenberg, OO Abudayyeh, RJ Platt, ...","Nature protocols 12 (4), 828",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11150035393168530393,178,2017
Cas13b is a type VI-B CRISPR-associated RNA-guided RNase differentially regulated by accessory proteins Csx27 and Csx28,"AA Smargon, DBT Cox, NK Pyzocha, K Zheng, IM Slaymaker, ...","Molecular cell 65 (4), 618-630. e7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8937832349047461175,166,2017
Structure and engineering of Francisella novicida Cas9,"H Hirano, JS Gootenberg, T Horii, OO Abudayyeh, M Kimura, PD Hsu, ...","Cell 164 (5), 950-961",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14898701721185404233,161,2016
Engineered CRISPR-Cas9 nuclease with expanded targeting space,"H Nishimasu, X Shi, S Ishiguro, L Gao, S Hirano, S Okazaki, T Noda, ...","Science 361 (6408), 1259-1262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8374271816043782242,154,2018
