Title,Authors,Platform,Cited_url,Cited_count,Year
"Differential geometry, Lie groups, and symmetric spaces, Acad",S Helgason,"Press, London","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5575721160588136305,16233233520772677143,7799680165136373582,12879221186175344646",10989,1978
"Groups & geometric analysis: Radon transforms, invariant differential operators and spherical functions",S Helgason,Academic press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5990513373562504059,14540995985110022482",2681,1984
The radon transform,"S Helgason, S Helgason",Birkhäuser,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1322245055102261178,1522,1999
Strong rigidity of locally symmetric spaces.(am-78),GD Mostow,Princeton University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17722933561183917613,1143,2016
Compact Lie groups and their representations,DP Zhelobenko,American Mathematical Soc.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6381161406297906328,930,1973
"Geometric analysis on symmetric spaces, Second Edition",S Helgason,Amer Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18069446289348547127,650,2008
A duality for symmetric spaces with applications to group representations,S Helgason,"Advances in Mathematics 5 (1), 1-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7861794078834211177,380,1970
"The Radon transform on Euclidean spaces, compact two-point homogeneous spaces and Grassmann manifolds",S Helgason,"Acta Mathematica 113, 153-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2468978341427367027,296,1965
Integral Geometry and Radon Transforms,S Helgason,Springer,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12109798535996397942,11012548480405759520,13181583945633701977,8889193817492410132,360730298591202770",250,2011
Differential operators on homogeneous spaces,SĐ Helgason,"Acta mathematica 102 (3), 239-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1711841908138714709,186,1959
Causal symmetric spaces,"J Hilgert, G Ólafsson",Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11508006531639933900,176,1996
Topics in harmonic analysis on homogeneous spaces,S Helgason,Birkhauser,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18190525141963880295,168,1981
The surjectivity of invariant differential operators on symmetric spaces I,S Helgason,"Annals of Mathematics, 451-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9905955481104652749,136,1973
Eigenspaces of the Laplacian; integral representations and irreducibility,S Helgason,"Journal of Functional Analysis 17 (3), 328-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6339273779892976865,121,1974
Multipliers of Banach algebras,S Helgason,"Annals of Mathematics, 240-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1201787471979874593,113,1956
An analogue of the Paley-Wiener theorem for the Fourier transform on certain symmetric spaces,S Helgason,"Mathematische Annalen 165 (4), 297-308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8418393829456891983,110,1966
Lie groups and symmetric spaces.,S Helgason,"pp 1-71 of Battelle Rencontres./DeWitt, Cecile M.(ed.). New York WA Benjamin …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5092828636548336455,17265387988690364535,14364467974931298620",106,1968
Fundamental solutions of invariant differential operators on symmetric spaces,S Helgason,"American Journal of Mathematics 86 (3), 565-601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17933451045313431352,102,1964
Immune parameters of immunised cod (Gadus morhua L.),"B Magnadóttir, H Jónsdóttir, S Helgason, B Björnsson, ST Solem, ...","Fish & Shellfish Immunology 11 (1), 75-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4812198440151801789,100,2001
"A duality for symmetric spaces with applications to group representations, II. Differential equations and eigenspace representations",S Helgason,"Advances in Mathematics 22 (2), 187-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15731207746808659498,89,1976
Atypical ,"B Magnadottir, SH Bambir, BK Gudmundsdóttir, L Pilström, S Helgason","Journal of Fish Diseases 25 (10), 583-597",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5064271676820670554,84,2002
Duality and Radon transform for symmetric spaces,S Helgason,American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14133950018568921373,65,1963
Wave equations on homogeneous spaces,S Helgason,"Lie group representations III, 254-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4112900846627927690,64,1984
The bounded spherical functions on symmetric spaces,"S Helgason, K Johnson","Advances in Mathematics 3 (4), 586-593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18125899269206481038,61,1969
Analysis on Lie groups and homogeneous spaces,S Helgason,American Mathematical Soc.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15400516506328577950,60,1972
"Differential geometry and symmetric spaces, Acad",S Helgason,"Press, New York 21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12428812695532556656,56,1962
"Groups and geometric analysis, volume 83 of Mathematical Surveys and Monographs",S Helgason,"American Mathematical Society, Providence, RI 2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13135136780747381522,50,2000
A duality in integral geometry; some generalizations of the Radon transform,S Helgason,American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6823034555780014318,50,1964
Radon-Fourier transforms on symmetric spaces and related group representations,S Helgason,American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8107350022431479831,49,1965
Totally geodesic spheres in compact symmetric spaces,S Helgason,"Mathematische Annalen 165 (4), 309-317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2086235224121865224,46,1966
Invariant differential equations on homogeneous manifolds,S Helgason,"Bulletin of the American Mathematical Society 83 (5), 751-774",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13727465000153730578,43,1977
"Differential geometry, Lie groups and symmetric spaces (1978)",S Helgason,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16266902473654640292,43,0
The totally-geodesic Radon transform on constant curvature spaces,S Helgason,"Contemporary Math 113, 141-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2571695081968038983,42,1990
A duality for symmetric spaces with applications to group representations. III. Tangent space analysis,S Helgason,"Advances in Mathematics 36 (3), 297-323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10126769117434469164,42,1980
Some results on invariant differential operators on symmetric spaces,S Helgason,"American Journal of Mathematics 114 (4), 789-811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14691058428992614112,40,1992
A duality in integral geometry on symmetric spaces,S Helgason,"Proc. US-Japan Seminar in Differential Geometry, Kyoto 1966, 37-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13166473654942682244,40,1965
Causal symmetric spaces,"G Olafsson, J Hilgert",Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14765668817912539264,39,1996
Functions on symmetric spaces,S Helgason,"Proc. Sympos. Pure Math 26, 101-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8992032945627381098,35,1973
Lacunary Fourier series on noncommutative groups,SÐ Helgason,"Proceedings of the American Mathematical Society 9 (5), 782-790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5581253400722797041,34,1958
"The Abel, Fourier and Radon transforms on symmetric spaces",S Helgason,arXiv preprint math/0506049,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8788185250794727180,29,2005
Representation theory of Lie groups,"SRC Oxford, MF Atiyah, R Bott, GL Luke, S Helgason, D Kazhdan, ...",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15025486455414857269,28,1979
A Fatou-type theorem for harmonic functions on symmetric spaces,"S Helgason, A Korányi",American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8297164183132545305,27,1968
Topologies of group algebras and a theorem of Littlewood,S Helgason,"Transactions of the American Mathematical Society 86 (2), 269-283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11799364554033057816,26,1957
"Randon transforms, wavelets, and applications",C Berenstein,"Integral Geometry, Radon Transforms and Complex Analysis, 1-33","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4711586899490359552,10957514475944302628,14096051251358085932",25,1998
Huygens' principle for wave equations on symmetric spaces,S Helgason,"Journal of functional analysis 107 (2), 279-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17061647305396646836,22,1992
Groups and Geometric Analysis (1984),S Helgason,"Academic Press, New York. London, Sydney, Tokyo, Toronto, etc",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11029873867533824094,22,0
Invariants and fundamental functions,S Helgason,"Acta Mathematica 109 (1), 241-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13266433985972894904,20,1963
Some remarks on the exponential mapping for an affine connection,S HELGASON,"Mathematica Scandinavica 9 (1b), 129-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8813241732961195886,20,1961
Invariant differential operators on Grassmann manifolds,"F Gonzalez, S Helgason","Advances in Mathematics 60 (1), 81-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6515445636087001515,19,1986
Invariant differential operators and eigenspace representations,S Helgason,"Representation theory of Lie groups 34, 236-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12200527603348325455,19,1979
A formula for the radial part of the Laplace-Beltrami operator,S Helgason,"Journal of Differential Geometry 6 (3), 411-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17270667231843887202,19,1972
On Riemannian curvature of homogeneous spaces,S Helgason,"Proceedings of the American Mathematical Society 9 (6), 831-838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10017335603634948925,19,1958
"Sophus Lie, the mathematician",S Helgason,"Contenido en Proceedings of The Sophus Lie Memorial Conference, Oslo, 3-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13439587336763705568,18,1994
"Calretinin and S‐100 expression in goldfish, ","F Marino, A Germana, S Bambir, S Helgason, G De Vico, B Macrì","Journal of fish diseases 30 (4), 251-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6886509632789139261,17,2007
Support of Radon transforms,S Helgason,"Advances in Mathematics 38 (1), 91-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7432774461692099190,17,1980
"Lie groups and symmetric spaces. Battelle Rencontres: 1967 Lectures in Mathematics and Physics, 1–71",S Helgason,"Benjamin, New York",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1933553729468348500,17,1968
Some results on invariant theory,S Helgason,"Bulletin of the American Mathematical Society 68 (4), 367-371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15929717985202855258,16,1962
Integral geometry and multitemporal wave equations,S Helgason,"Communications on pure and applied mathematics 51 (9-10), 1035-1071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15540466822257513938,14,1998
Ranges of Radon transforms,S Helgason,"Proc. Symp. Appl. Math 27, 63-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15138003336428056626,14,1982
The Fourier transform on symmetric spaces,S Helgason,"Élie Cartan et les Mathématiques d’Aujourd’hui, Astérisque No. hors série …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14161393721453986717,13,1985
Progress in Mathematics,S Helgason,Birkhauser Boston,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13118140176922549479,13,1980
Representations of semisimple Lie groups and an enveloping algebra decomposition.,J Lepowsky,Massachusetts Institute of Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13965510913328048051,12,1970
Group representations and symmetric spaces,S Helgason,"Adv. Math 5, 1-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11588334370364536530,11,1970
Applications of the Radon transform to representations of semisimple Lie groups,S Helgason,"Proceedings of the National Academy of Sciences 63 (3), 643-647",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1545007168692921911,11,1969
The determination of the admissible nilpotent orbits in real classical groups,JO Schwartz,Massachusetts Institute of Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11352445015473766459,10,1987
The isolation of Aeromonas salmonicida subsp. achromogenes from the gills of salmonid fish,"E Benediktsdottir, S Helgason","Bulletin of the European Association of Fish Pathologists 10, 104-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6116107890266717880,9,1990
Solvability questions for invariant differential operators,S Helgason,"Group Theoretical Methods in Physics, 517-527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3739565962699450099,9,1977
Paley-Wiener theorems and surjectivity of invariant differential operators on symmetric spaces and Lie groups,S Helgason,American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11037412430562414692,9,1973
Radon transforms and wave equations,S Helgason,"Integral geometry, Radon transforms and complex analysis, 99-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2664530085119378218,8,1998
Some results on eigenfunctions on symmetric spaces and eigenspace representations,S Helgason,"Mathematica Scandinavica 41 (1), 79-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4196737719523340652,8,1978
Non-Euclidean Analysis,S Helgason,"Non-Euclidean Geometries, 367-384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16047664891052194273,7,2006
THE PALEY-IENER SPACE FOR THE MULTITEMPORAL AVE E9UATION,"S Helgason, H Schlichtkrull",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8628713848165814437,7,1999
Battelle Rencontres,"S Helgason, CM DeWitt, JA Wheeler","Benjamin, New York",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4667836457496491429,7,1968
Fundamental solutions of invariant differential operators on symmetric spaces,S Helgason,American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8688930342797198886,7,1963
Optimisation of ELISA used to measure total serum IgM and antibody activity in different groups of cod.,"B Magnadóttir, H Jónsdóttir, S Helgason, T Jøregensen, L Pilstrom","Fisheries Research Services, Aberdeen",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4369007016428781814,6,1998
Some problems in the theory of almost periodic functions,S HELGASON,"Mathematica Scandinavica, 49-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8398695086571303709,6,1955
"Differential Geometry, Lie Groups, and Symmetric Spaces (Academic Press, New York, 1978).",S Helgason,Zbl0451 53038,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12777854731849930348,6,0
A centennial: Wilhelm Killing and the exceptional groups,S Helgason,"Math. Intelligencer 12 (3), 54-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7777112331293454567,5,1990
The X-ray transform on a symmetric space,S Helgason,"Global Differential Geometry and Global Analysis, 145-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12025124573774784634,5,1981
Partial differential equations on Lie groups,S Helgason,"Scand. Math. Congress XIII, Helsinki, 110-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10741945172224050877,5,1957
Solvability of invariant differential operators on homogeneous manifolds,S Helgason,"Differential Operators on Manifolds, 281-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14398331745369318134,4,2010
The inversion of the X-ray transform on a compact symmetric space,S Helgason,"Journal of Lie Theory 17 (2), 307-315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13944056618907284199,4,2007
Support theorems in integral geometry and their applications,S Helgason,Differential geometry: geometry in mathematical physics and related topics …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13351643854193842719,4,1993
Sophus Lie and the Role of Lie Groups in Mathematics,S Helgason,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6979389459431946675,4,1990
Integral geometry,"RL Bryant, V Guillemin, S Helgason, RO Wells Jr",American Mathematical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6769324293121353300,4,1987
Some personal remarks on the Radon transform,S Helgason,Geometric Analysis and Integral Geometry (Contemporary Mathematics vol 598 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=228892623462861709,3,2013
Support theorems for horocycles on hyperbolic spaces,S Helgason,arXiv preprint arXiv:1008.0841,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15805594039428187382,3,2010
Schwannova in twelve gold fishes (Carassius auratus). Histopatological study and etio-pathogenetic considerations,"F Marino, SH Bambir, A Germana, S Helgason, G De Vico, B Macri",Disease of Fish and Shellfish: Tenth International Conference. Book of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17029979892214883997,3,2001
Research in bacterial diseases of salmonid fish.,"BK Gudmundsdóttir, S Gudmundsdóttir, B Magnadóttir, S Helgason","Laeknabladid 82 (1), 72-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4435878859438224198,3,1996
