Title,Authors,Platform,Cited_url,Cited_count,Year
National debt in a neoclassical growth model,PA Diamond,"The American Economic Review 55 (5), 1126-1150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2719173671476368334,5445,1965
Optimal taxation and public production I: Production efficiency,"PA Diamond, JA Mirrlees","The American Economic Review 61 (1), 8-27","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16406757154174909585,3270365794243912594",2926,1971
Contingent valuation: is some number better than no number?,"PA Diamond, JA Hausman","Journal of economic perspectives 8 (4), 45-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6633622767829860499,2572,1994
Aggregate demand management in search equilibrium,PA Diamond,"Journal of political Economy 90 (5), 881-894",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16165800399464944084,2307,1982
A model of price adjustment,PA Diamond,"Journal of economic theory 3 (2), 156-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10898575804057203020,2105,1971
Radiochirurgie des malformations artérioveineuses cérébrales: élaboration d’un algorithme de prescription,"N Blanchard, V Bernier, R Anxionnat, L Picard, C Marchal, I Buchheit, ...","Cancer/Radiothérapie 13 (1), 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12991361142097398161,1639,2009
Wage determination and efficiency in search equilibrium,PA Diamond,"The Review of Economic Studies 49 (2), 217-227",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16780003170287443311,1020,1982
Money illusion,"E Shafir, P Diamond, A Tversky","The Quarterly Journal of Economics 112 (2), 341-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13623164979001045367,1008,1997
The role of a stock market in a general equilibrium model with technological uncertainty,PA Diamond,"Uncertainty in Economics, 209-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12556009402574624178,843,1978
Does television exposure affect emerging adults' attitudes and assumptions about sexual relationships? Correlational and experimental confirmation,LM Ward,"Journal of youth and adolescence 31 (1), 1-15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16464083526890080101,342085837697264849,2748556270713263655,6503230709249456313,6470888804494911599,15298546007057384813",833,2002
Optimal income taxation: an example with a U-shaped pattern of optimal marginal tax rates,PA Diamond,"American Economic Review, 83-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12530021359128727362,812,1998
The cyclical behavior of the gross flows of US workers,"OJ Blanchard, P Diamond, RE Hall, K Murphy","Brookings Papers on Economic Activity 1990 (2), 85-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=585360084654970303,791,1990
Increases in risk and in risk aversion,"PA Diamond, JE Stiglitz","[Cambridge, MIT]",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17856495646391169189,780,1973
"Ranking, unemployment duration, and wages","OJ Blanchard, P Diamond","The Review of Economic Studies 61 (3), 417-434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11769703409219327441,729,1994
Optimal taxation and public production II: Tax rules,"PA Diamond, JA Mirrlees","The American Economic Review 61 (3), 261-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=888362026462234333,698,1971
Annuities and individual welfare,"T Davidoff, JR Brown, PA Diamond","American Economic Review 95 (5), 1573-1590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9783203901078353168,676,2005
A framework for social security analysis,PA Diamond,"Journal of Public Economics 8 (3), 275-298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9446064897765488918,663,1977
The case for a progressive tax: from basic research to policy recommendations,"P Diamond, E Saez","Journal of Economic Perspectives 25 (4), 165-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9883728880845856611,633,2011
Individual retirement and savings behavior,"PA Diamond, JA Hausman","Journal of Public Economics 23 (1-2), 81-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10159515637637331382,526,1984
"Cardinal welfare, individualistic ethics, and interpersonal comparison of utility: Comment",PA Diamond,"The Journal of Political Economy 75 (5), 765","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17458102552245583380,9675934575623798182",503,1967
Social security,P Diamond,"American Economic Review 94 (1), 1-24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5973973429456520111,16132605625943034387,18387808621902928951,17202519094337416712",481,2004
The economics of pensions,"N Barr, P Diamond","Oxford review of economic policy 22 (1), 15-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12336213523563406414,480,2006
A many-person Ramsey tax rule,PA Diamond,"Journal of Public Economics 4 (4), 335-342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5193195744135944136,476,1975
A model of social insurance with variable retirement,"PA Diamond, JA Mirrlees","Journal of Public Economics 10 (3), 295-336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1370565181039561318,432,1978
"An equilibrium analysis of search and breach of contract, I: Steady states","PA Diamond, E Maskin","The Bell Journal of Economics, 282-316","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=386701764705670389,6941577423030980158",421,1979
"Mobility costs, frictional unemployment, and efficiency",PA Diamond,"Journal of political Economy 89 (4), 798-812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1332062435769452618,418,1981
Reforming pensions: Principles and policy choices,"N Barr, P Diamond",Oxford University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8230155787325992510,413,2008
The evaluation of infinite utility streams,PA Diamond,"Econometrica: Journal of the Econometric Society, 170-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=82536615013493236,367,1965
Some uses of the expenditure function in public finance,"PA Diamond, DL McFadden","Journal of Public Economics 3 (1), 3-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=576982084084126018,365,1974
"Reforming pensions: Principles, analytical errors and policy directions","N Barr, P Diamond","International social security review 62 (2), 5-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2321882833994903239,334,2009
Quasi-hyperbolic discounting and retirement,"P Diamond, B Köszegi","Journal of Public Economics 87 (9-10), 1839-1872",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13141250404791610493,333,2003
Single activity accidents,PA Diamond,"The Journal of Legal Studies 3 (1), 107-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2872255338504613707,329,1974
New Dynamic Public Finance: A User's Guide [with Comments and Discussion],"M Golosov, A Tsyvinski, I Werning, P Diamond, KL Judd","NBER macroeconomics annual 21, 317-387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4195094912340862552,322,2006
Stationary utility and time perspective,"TC Koopmans, PA Diamond, RE Williamson","Econometrica 32 (1-2), 82-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7520750569383152896,319,1964
Social security reforms,"P Diamond, S Valdes-Prieto","The Chilean economy: Policy lessons and challenges, 257-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15103118428157061433,295,1994
Delays in claiming social security benefits,"C Coile, P Diamond, J Gruber, A Jousten","Journal of Public Economics 84 (3), 357-385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=49322202395875294,288,2002
Saving social security: A balanced approach,"PA Diamond, PR Orszag",Brookings Institution Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16189984741801170937,285,2006
