Title,Authors,Platform,Cited_url,Cited_count,Year
Scratch: Programming for all.,"M Resnick, J Maloney, A Monroy-Hernández, N Rusk, E Eastmond, ...","Commun. Acm 52 (11), 60-67","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14178733302431624364,6425994229895641587",2737,2009
"Turtles, termites, and traffic jams: Explorations in massively parallel microworlds",M Resnick,Mit Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8091918286154282657,2008,1997
"Constructionism in practice: Designing, thinking, and learning in a digital world","YB Kafai, M Resnick",Routledge,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6687116748451773409,15732645853188867128,9462078135743667293,18265904089384398953",1611,2012
New frameworks for studying and assessing the development of computational thinking,"K Brennan, M Resnick",Proceedings of the 2012 annual meeting of the American Educational Research …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13406788360323150800,1021,2012
The scratch programming language and environment,"J Maloney, M Resnick, N Rusk, B Silverman, E Eastmond","ACM Transactions on Computing Education (TOCE) 10 (4), 16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7031518227669021291,972,2010
Thinking in levels: A dynamic systems approach to making sense of the world,"U Wilensky, M Resnick","Journal of Science Education and technology 8 (1), 3-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2877669280078306049,714,1999
The size distribution of cities: an examination of the Pareto law and primacy,"KT Rosen, M Resnick","Journal of urban economics 8 (2), 165-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3495937350546670662,695,1980
Rethinking learning in the digital age,M Resnick,The global information technology report: Readiness for the networked world …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025861307526016053,604,2002
Affective learning—a manifesto,"RW Picard, S Papert, W Bender, B Blumberg, C Breazeal, D Cavallo, ...","BT technology journal 22 (4), 253-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6564127566270062484,598,2004
Programming by choice: urban youth learning programming with scratch,"JH Maloney, K Peppler, Y Kafai, M Resnick, N Rusk","ACM SIGCSE Bulletin 40 (1), 367-371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10840916230592858054,539,2008
Digital manipulatives: new toys to think with,"M Resnick, F Martin, R Berg, R Borovoy, V Colella, K Kramer, B Silverman",Proceedings of the SIGCHI conference on Human factors in computing systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16799147886121965112,529,1998
Scratch: a sneak preview [education],"J Maloney, L Burd, Y Kafai, N Rusk, B Silverman, M Resnick","Proceedings. Second International Conference on Creating, Connecting and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1298744101471340374,470,2004
Extending tangible interfaces for education: digital montessori-inspired manipulatives,"O Zuckerman, S Arida, M Resnick",Proceedings of the SIGCHI conference on Human factors in computing systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9486283400549813982,433,2005
Sowing the seeds for a more creative society.,M Resnick,"Learning & Leading with Technology 35 (4), 18-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14168595841147037973,407,2008
Some reflections on designing construction kits for kids,"M Resnick, B Silverman","Proceedings of the 2005 conference on Interaction design and children, 117-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4999215177527413365,384,2005
All I really need to know (about creative thinking) I learned (by studying how children learn) in kindergarten,M Resnick,"Proceedings of the 6th ACM SIGCHI conference on Creativity & cognition, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16216426230895507027,377,2007
Beyond black boxes: Bringing transparency and aesthetics back to scientific investigation,"M Resnick, R Berg, M Eisenberg","The Journal of the Learning Sciences 9 (1), 7-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12729868335548249138,375,2000
""" Thick"" Authenticity: New Media and Authentic Learning","DW Shaffer, M Resnick","Journal of interactive learning research 10 (2), 195-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1834691713430928061,364,1999
Programmable bricks: Toys to think with,"M Resnick, F Martin, R Sargent, B Silverman","IBM Systems journal 35 (3.4), 443-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14238735334142813652,353,1996
Beyond the centralized mindset,M Resnick,"The journal of the learning sciences 5 (1), 1-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15607314363619580511,341,1996
Technologies for lifelong kindergarten,M Resnick,"Educational technology research and development 46 (4), 43-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4440899807979967812,328,1998
Distributed constructionism,M Resnick,"Proceedings of the 1996 international conference on Learning sciences, 280-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=598660952306705070,317,1996
The MediaMOO project: Constructionism and professional community,"A Bruckman, M Resnick","Constructionism in Practice, 225-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8222104994227558356,315,2012
New pathways into robotics: Strategies for broadening participation,"N Rusk, M Resnick, R Berg, M Pezalla-Granlund","Journal of Science Education and Technology 17 (1), 59-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12738228347456839076,308,2008
Diving into complexity: Developing probabilistic decentralized thinking through role-playing activities,"M Resnick, U Wilensky","The Journal of the Learning Sciences 7 (2), 153-172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3890370023039598769,298,1998
Pianos not stereos: Creating computational construction kits,"M Resnick, A Bruckman, F Martin",CUMINCAD,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=217180992694122812,292,1996
Designing for tinkerability,"M Resnick, E Rosenbaum","Design, make, play: Growing the next generation of STEM innovators, 163-181",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6708957751462663119,281,2013
Meme tags and community mirrors: moving from conferences to collaboration,"F Martin, S Vemuri, M Resnick, SBC Hancock, R Borovoy",Proceedings of the 1998 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6799144447479018642,272,1998
"Computer as paint brush: Technology, play, and the creative society",M Resnick,Play= learning: How play motivates and enhances children’s cognitive and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15753046253815776438,271,2006
Behavior construction kits,M Resnick,"Communications of the ACM 36 (7), 64-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5124751619218845175,249,1993
Creativity support tools: Report from a US National Science Foundation sponsored workshop,"B Shneiderman, G Fischer, M Czerwinski, M Resnick, B Myers, L Candy, ...","International Journal of Human-Computer Interaction 20 (2), 61-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4391149580502790373,241,2006
LEGO/logo--learning through and about design,"M Resnick, S Ocko","Epistemology and Learning Group, MIT Media Laboratory",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7153035610748108068,238,1990
The Computer Clubhouse:...,M Resnick,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14854129804406961679,228,1998
Connected code: Why children need to learn programming,"YB Kafai, Q Burke",Mit Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12343963565959426008,216,2014
Design principles for tools to support creative thinking,"M Resnick, B Myers, K Nakakoji, B Shneiderman, R Pausch, T Selker, ...",figshare,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15588037874200835377,208,2005
"Alice, greenfoot, and scratch--a discussion","I Utting, S Cooper, M Kölling, J Maloney, M Resnick","ACM Transactions on Computing Education (TOCE) 10 (4), 17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9666699437552406671,201,2010
Edutainment? No thanks. I prefer playful learning,M Resnick,"Associazione Civita Report on Edutainment 14, 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=776599243489390748,197,2004
Things that blink: Computationally augmented name tags,"R Borovoy, M McDonald, F Martin, M Resnick","IBM Systems Journal 35 (3.4), 488-495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=129264820721587528,196,1996
Designing ScratchJr: Support for early childhood learning through computer programming,"LP Flannery, B Silverman, ER Kazakoff, MU Bers, P Bontá, M Resnick",Proceedings of the 12th International Conference on Interaction Design and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6811180973395976692,181,2013
The magazine archive includes every article published in Communications of the ACM for over the past 50 years.,"M Resnick, J Maloney, A Monroy-Hernández, N Rusk, E Eastmond, ...","Communications of the ACM 52 (11), 60-67","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=118732526283140790,16937999461208752522,8971574809362480130,15305032795146851643,7752977609312945109,7980470366056104762,11399971549253008084,10806663579982584933,4237887861506424315,11017106527721397822",171,2004
"Adventures in Modeling: Exploring Complex, Dynamic Systems with StarLogo.","VS Colella, E Klopfer, M Resnick","Teachers College Press, PO Box 20, Williston, VT 05495-0020",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=639544729387733128,170,2001
Empowering kids to create and share programmable media,"A Monroy-Hernández, M Resnick",arXiv preprint arXiv:1507.01282,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16417587922347212866,157,2015
Science in the Palms of Their Hands.,"E Soloway, WC Grant, R Tinger, J Roschelle, M Mills, M Resnick, R Berg, ...","Commun. ACM 42 (8), 21-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10723252119650546776,154,1999
Participatory simulations: Using computational objects to learn about dynamic systems,"V Colella, R Borovoy, M Resnick",Conference on Human Factors in Computing Systems: CHI 98 conference summary …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16119837062010929316,148,1998
To mindstorms and beyond,"F Martin, B Mikhak, M Resnick, B Silverman, R Berg","Robots for kids: Exploring new technologies for learning, 9-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17608543653940943935,146,2000
"Lifelong kindergarten: Cultivating creativity through projects, passion, peers, and play","M Resnick, K Robinson",MIT press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3733432726204081105,142,2017
GroupWear: nametags that tell about relationships,"R Borovoy, F Martin, M Resnick, B Silverman","CHI 98 conference summary on Human factors in computing systems, 329-330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14095578951121734672,137,1998
The Computer Clubhouse: Preparing for life in a digital world,"M Resnick, N Rusk","IBM Systems Journal 35 (3.4), 431-439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=608085396803591633,135,1996
Technological fluency and the representation of knowledge,"S Papert, M Resnick","Proposal to the National Science Foundation. MIT Media Laboratory. Cambridge, MA",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15449941739923727770,134,1995
MultiLogo: A study of children and concurrent programming,M Resnick,"Interactive learning environments 1 (3), 153-170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1296524619120399912,132,1990
"A networked, media-rich programming environment to enhance technological fluency at after-school centers in economically-disadvantaged communities","M Resnick, Y Kafai, J Maeda, N Rusk, J Maloney",Proposal to National Science Foundation,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7047580744824349692,129,2003
"LEGO, Logo, and design","M Resnick, S Ocko, S Papert","Children's Environments Quarterly, 14-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12568787694423203108,122,1988
StarLogo: an environment for decentralized modeling and decentralized thinking,M Resnick,"Conference companion on Human factors in computing systems, 11-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16744167527716042621,108,1996
