Title,Authors,Platform,Cited_url,Cited_count,Year
Rethinking feelings: an FMRI study of the cognitive regulation of emotion,"KN Ochsner, SA Bunge, JJ Gross, JDE Gabrieli","Journal of cognitive neuroscience 14 (8), 1215-1229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3695427096440135354,2720,2002
For better or for worse: neural systems supporting the cognitive down-and up-regulation of negative emotion,"KN Ochsner, RD Ray, JC Cooper, ER Robertson, S Chopra, JDE Gabrieli, ...","Neuroimage 23 (2), 483-499",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4568774798193525717,2133,2004
Insights into the ageing mind: a view from cognitive neuroscience,"T Hedden, JDE Gabrieli","Nature reviews neuroscience 5 (2), 87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16590812628652791681,1969,2004
Functional specialization for semantic and phonological processing in the left inferior prefrontal cortex,"RA Poldrack, AD Wagner, MW Prull, JE Desmond, GH Glover, ...","Neuroimage 10 (1), 15-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7450302841874839842,1574,1999
Immature frontal lobe contributions to cognitive control in children: evidence from fMRI,"SA Bunge, NM Dudukovic, ME Thomason, CJ Vaidya, JDE Gabrieli","Neuron 33 (2), 301-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9724649011105329255,1401,2002
Making memories: brain activity that predicts how well visual experience will be remembered,"JB Brewer, Z Zhao, JE Desmond, GH Glover, JDE Gabrieli","Science 281 (5380), 1185-1187","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3448799082952637352,5113253236144887726",1236,1998
Neural systems underlying the suppression of unwanted memories,"MC Anderson, KN Ochsner, B Kuhl, J Cooper, E Robertson, SW Gabrieli, ...","Science 303 (5655), 232-235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7855115974043428943,1162,2004
Hyperactivity and hyperconnectivity of the default network in schizophrenia and in first-degree relatives of persons with schizophrenia,"S Whitfield-Gabrieli, HW Thermenos, S Milanovic, MT Tsuang, ...","Proceedings of the National Academy of Sciences 106 (4), 1279-1284","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15888468379801543231,8790919410160975065,4007174579956504281",1126,2009
Dissociated neural representations of intensity and valence in human olfaction,"AK Anderson, K Christoff, I Stappen, D Panitz, DG Ghahremani, G Glover, ...","Nature neuroscience 6 (2), 196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8350533249474642286,1089,2003
Neural deficits in children with dyslexia ameliorated by behavioral remediation: evidence from functional MRI,"E Temple, GK Deutsch, RA Poldrack, SL Miller, P Tallal, MM Merzenich, ...","Proceedings of the National Academy of Sciences 100 (5), 2860-2865",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7434611517731493036,1076,2003
Semantic encoding and retrieval in the left inferior prefrontal cortex: a functional MRI study of task difficulty and process specificity,"JB Demb, JE Desmond, AD Wagner, CJ Vaidya, GH Glover, JD Gabrieli","Journal of Neuroscience 15 (9), 5870-5878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14537812252479439287,1014,1995
Cognitive neuroscience of human memory,JDE Gabrieli,"Annual review of psychology 49 (1), 87-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4450831077542547096,1002,1998
Selective effects of methylphenidate in attention deficit hyperactivity disorder: a functional magnetic resonance study,"CJ Vaidya, G Austin, G Kirkorian, HW Ridlehuber, JE Desmond, ...","Proceedings of the National Academy of Sciences 95 (24), 14494-14499",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2268489333346491426,987,1998
The role of left prefrontal cortex in language and memory,"JDE Gabrieli, RA Poldrack, JE Desmond","Proceedings of the national Academy of Sciences 95 (3), 906-913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15376733500481667426,934,1998
Event-related activation in the human amygdala associates with later memory for individual emotional experience,"T Canli, Z Zhao, J Brewer, JDE Gabrieli, L Cahill","Journal of Neuroscience 20 (19), RC99-RC99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9022908801098543635,933,2000
Microstructure of temporo-parietal white matter as a basis for reading ability: evidence from diffusion tensor magnetic resonance imaging,"T Klingberg, M Hedehus, E Temple, T Salz, JDE Gabrieli, ME Moseley, ...","Neuron 25 (2), 493-500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8970101729201400924,853,2000
Control over brain activation and pain learned by using real-time functional MRI,"RC DeCharms, F Maeda, GH Glover, D Ludlow, JM Pauly, D Soneji, ...","Proceedings of the National Academy of Sciences 102 (51), 18626-18631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12336198599929206315,849,2005
Reward-motivated learning: mesolimbic activation precedes memory formation,"RA Adcock, A Thangavel, S Whitfield-Gabrieli, B Knutson, JDE Gabrieli","Neuron 50 (3), 507-517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12309541006165683540,785,2006
Integration of diverse information in working memory within the frontal lobe,"V Prabhakaran, K Narayanan, Z Zhao, JDE Gabrieli","Nature neuroscience 3 (1), 85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12824536369726923680,768,2000
Sex differences in the neural basis of emotional memories,"T Canli, JE Desmond, Z Zhao, JDE Gabrieli","Proceedings of the National Academy of Sciences 99 (16), 10789-10794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8047364928702757912,742,2002
Neural correlates of the automatic processing of threat facial signals,"AK Anderson, K Christoff, D Panitz, E De Rosa, JDE Gabrieli","Journal of Neuroscience 23 (13), 5627-5633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10212608416604824071,699,2003
An fMRI study of personality influences on brain reactivity to emotional stimuli.,"T Canli, Z Zhao, JE Desmond, E Kang, J Gross, JDE Gabrieli","Behavioral neuroscience 115 (1), 33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17635592542582240825,691,2001
The frontopolar cortex and human cognition: Evidence for a rostrocaudal hierarchical organization within the human prefrontal cortex,"K Christoff, JDE Gabrieli","Psychobiology 28 (2), 168-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17454628383688875790,687,2000
Separate neural bases of two fundamental memory processes in the human medial temporal lobe,"JDE Gabrieli, JB Brewer, JE Desmond, GH Glover","Science 276 (5310), 264-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=22242285609829897,680,1997
Rostrolateral prefrontal cortex involvement in relational integration during reasoning,"K Christoff, V Prabhakaran, J Dorfman, Z Zhao, JK Kroger, KJ Holyoak, ...","Neuroimage 14 (5), 1136-1149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11538606423047727003,674,2001
Gender differences in emotion regulation: An fMRI study of cognitive reappraisal,"K McRae, KN Ochsner, IB Mauss, JJD Gabrieli, JJ Gross","Group processes & intergroup relations 11 (2), 143-162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=262631052293532183,656,2008
Load-dependent roles of frontal brain regions in the maintenance of working memory,"B Rypma, V Prabhakaran, JE Desmond, GH Glover, JDE Gabrieli","Neuroimage 9 (2), 216-226",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16414030360395961859,648,1999
The neural correlates of direct and reflected self-knowledge,"KN Ochsner, JS Beer, ER Robertson, JC Cooper, JDE Gabrieli, ...","Neuroimage 28 (4), 797-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3768779823816876749,637,2005
Prefrontal regions involved in keeping information in and out of mind,"SA Bunge, KN Ochsner, JE Desmond, GH Glover, JDE Gabrieli","Brain 124 (10), 2074-2086",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6169889653133580868,621,2001
Myelination and organization of the frontal white matter in children: a diffusion tensor MRI study,"T Klingberg, CJ Vaidya, JDE Gabrieli, ME Moseley, M Hedehus","Neuroreport 10 (13), 2817-2821",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12834709111233179170,602,1999
Amygdala response to happy faces as a function of extraversion,"T Canli, H Sivers, SL Whitfield, IH Gotlib, JDE Gabrieli","Science 296 (5576), 2191-2191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17437471863314457910,592,2002
Neural substrates of fluid reasoning: an fMRI study of neocortical activation during performance of the Raven's Progressive Matrices Test,"V Prabhakaran, JAL Smith, JE Desmond, GH Glover, JDE Gabrieli","Cognitive psychology 33 (1), 43-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12609626094630937239,581,1997
Differential responses in the fusiform region to same-race and other-race faces,"AJ Golby, JDE Gabrieli, JY Chiao, JL Eberhardt","Nature neuroscience 4 (8), 845",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10183179024223395788,559,2001
Evidence for two types of spatial representations: hemispheric specialization for categorical and coordinate relations.,"SM Kosslyn, O Koenig, A Barrett, CB Cave, J Tang, JDE Gabrieli","Journal of experimental psychology: human perception and performance 15 (4), 723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6615553806568762160,555,1989
Lobular patterns of cerebellar activation in verbal working-memory and finger-tapping tasks as revealed by functional MRI,"JE Desmond, JDE Gabrieli, AD Wagner, BL Ginier, GH Glover","Journal of Neuroscience 17 (24), 9675-9685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4993393420515966896,550,1997
Functional MRI measurement of language lateralization in Wada-tested patients,"JE Desmond, JM Sum, AD Wagner, JB Demb, PK Shear, GH Glover, ...","Brain 118 (6), 1411-1419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6970140025486372387,539,1995
Dissociable contributions of prefrontal and parietal cortices to response selection,"SA Bunge, E Hazeltine, MD Scanlon, AC Rosen, JDE Gabrieli","Neuroimage 17 (3), 1562-1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15448302332002589444,538,2002
Dyslexia: a new synergy between education and cognitive neuroscience,JDE Gabrieli,"science 325 (5938), 280-283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11485429868358242696,528,2009
Hemispheric asymmetry for emotional stimuli detected with fMRI,"T Canli, JE Desmond, Z Zhao, G Glover, JDE Gabrieli","Neuroreport 9 (14), 3233-3239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6911433660641297180,523,1998
The neural bases of distraction and reappraisal,"K McRae, B Hughes, S Chopra, JDE Gabrieli, JJ Gross, KN Ochsner","Journal of cognitive neuroscience 22 (2), 248-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4157656432164433996,510,2010
White matter changes in mild cognitive impairment and AD: a diffusion tensor imaging study,"D Medina, L deToledo-Morrell, F Urresta, JDE Gabrieli, M Moseley, ...","Neurobiology of aging 27 (5), 663-672",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5278487222369966580,504,2006
Striatal activation during acquisition of a cognitive skill.,"RA Poldrack, V Prabhakaran, CA Seger, JDE Gabrieli","Neuropsychology 13 (4), 564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14691379217895668955,488,1999
Disrupted neural responses to phonological and orthographic processing in dyslexic children: an fMRI study,"E Temple, RA Poldrack, J Salidis, GK Deutsch, P Tallal, MM Merzenich, ...","Neuroreport 12 (2), 299-307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14736214142564603909,483,2001
Sniffing and smelling: separate subsystems in the human olfactory cortex,"N Sobel, V Prabhakaran, JE Desmond, GH Glover, RL Goode, ...","Nature 392 (6673), 282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3271352730095855279,478,1998
"The development of emotion regulation: an fMRI study of cognitive reappraisal in children, adolescents and young adults","K McRae, JJ Gross, J Weber, ER Robertson, P Sokol-Hessner, RD Ray, ...","Social cognitive and affective neuroscience 7 (1), 11-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4699383386070620143,448,2012
Material-specific lateralization in the medial temporal lobe and prefrontal cortex during memory encoding,"AJ Golby, RA Poldrack, JB Brewer, D Spencer, JE Desmond, AP Aron, ...","Brain 124 (9), 1841-1854",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8164392159903441461,416,2001
Convergent cortical representation of semantic processing in bilinguals,"J Illes, WS Francis, JE Desmond, JDE Gabrieli, GH Glover, R Poldrack, ...","Brain and language 70 (3), 347-363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2677915624628961875,413,1999
Double dissociation between memory systems underlying explicit and implicit memory in the human brain,"JDE Gabrieli, DA Fleischman, MM Keane, SL Reminger, F Morrell","Psychological Science 6 (2), 76-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=740730832086078746,411,1995
Children's reading performance is correlated with white matter structure measured by diffusion tensor imaging,"GK Deutsch, RF Dougherty, R Bammer, WT Siok, JDE Gabrieli, B Wandell","Cortex 41 (3), 354-363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16733239403839732968,410,2005
Differential development of high-level visual cortex correlates with category-specific recognition memory,"G Golarai, DG Ghahremani, S Whitfield-Gabrieli, A Reiss, JL Eberhardt, ...","Nature neuroscience 10 (4), 512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3656345684131144417,408,2007
Functional and morphometric brain dissociation between dyslexia and reading ability,"F Hoeft, A Meyler, A Hernandez, C Juel, H Taylor-Hill, JL Martindale, ...","Proceedings of the National Academy of Sciences 104 (10), 4234-4239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7119820534529485459,388,2007
Individual differences in trait rumination and the neural systems supporting cognitive reappraisal,"RD Ray, KN Ochsner, JC Cooper, ER Robertson, JDE Gabrieli, JJ Gross","Cognitive, Affective, & Behavioral Neuroscience 5 (2), 156-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7690893549815170031,378,2005
