Title,Authors,Platform,Cited_url,Cited_count,Year
The duality of technology: Rethinking the concept of technology in organizations,WJ Orlikowski,"Organization science 3 (3), 398-427","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13544961997183601786,4660995065448242641",5863,1992
Studying information technology in organizations: Research approaches and assumptions,"WJ Orlikowski, JJ Baroudi","Information systems research 2 (1), 1-28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2656845701980458831,16273594354266214741",5394,1991
Using technology and constituting structures: A practice lens for studying technology in organizations,WJ Orlikowski,"Organization Science 11 (4), 404-428","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12268744011236353353,14124474607000410285",5212,2000
Knowing in practice: Enacting a collective capability in distributed organizing,WJ Orlikowski,"Organization science 13 (3), 249-273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9534518385367613185,3663,2002
"Research commentary: Desperately seeking the ""IT"" in IT research—A call to theorizing the IT artifact","WJ Orlikowski, CS Iacono","Information systems research 12 (2), 121-134","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14769163030597049487,7604145395694502255",3270,2001
Sociomaterial practices: Exploring technology at work,WJ Orlikowski,"Organization studies 28 (9), 1435-1448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8914544808940342464,2584,2007
Improvising organizational transformation over time: A situated change perspective,WJ Orlikowski,"Information systems research 7 (1), 63-92","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3056759089357824674,17447110739607502898",2575,1996
Technological frames: Making sense of information technology in organizations,"WJ Orlikowski, DC Gash","ACM Transactions on Information Systems (TOIS) 12 (2), 174-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9965307484252784337,2083,1994
CASE tools as organizational change: Investigating incremental and radical changes in systems development,WJ Orlikowski,"MIS quarterly, 309-340","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17161894094842766575,1363348796623032188",2032,1993
Genres of organizational communication: A structurational approach to studying communication and media,"JA Yates, WJ Orlikowski","Academy of management review 17 (2), 299-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5511082773373256892,1929,1992
"Sociomateriality: Challenging the Separation of Technology, Work and Organization","WJ Orlikowski, SV Scott","Annals of the Academy of Management 2 (1), 433-474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2358854830488844425,1868,2008
Learning from notes: Organizational issues in groupware implementation,WJ Orlikowski,"The Information Society 9 (3), 237-250",,1812,1993
Learning from Notes: Organizational issues in groupware implementation,WJ Orlikowski,Proceedings of the 1992 ACM conference on Computer-supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11439372290288493728,1812,1992
