Title,Authors,Platform,Cited_url,Cited_count,Year
Jumping-droplet-enhanced condensation on scalable superhydrophobic nanostructured surfaces,"N Miljkovic, R Enright, Y Nam, K Lopez, N Dou, J Sack, EN Wang","Nano letters 13 (1), 179-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11754843185688646944,607,2012
A nanophotonic solar thermophotovoltaic device,"A Lenert, DM Bierman, Y Nam, WR Chan, I Celanović, M Soljačić, ...","Nature nanotechnology 9 (2), 126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17342046168790464737,481,2014
Nanostructured materials for water desalination,"T Humplik, J Lee, SC O’hern, BA Fellman, MA Baig, SF Hassan, MA Atieh, ...","Nanotechnology 22 (29), 292001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10117303547352666244,441,2011
Effect of droplet morphology on growth dynamics and heat transfer during condensation on superhydrophobic nanostructured surfaces,"N Miljkovic, R Enright, EN Wang","ACS nano 6 (2), 1776-1785",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10610699444172450202,407,2012
Structured surfaces for enhanced pool boiling heat transfer,"KH Chu, R Enright, EN Wang","Applied Physics Letters 100 (24), 241603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=852512161740422831,378,2012
Uni-directional liquid spreading on asymmetric nanostructured surfaces,"KH Chu, R Xiao, EN Wang","Nature materials 9 (5), 413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7808182291746837714,371,2010
Water harvesting from air with metal-organic frameworks powered by natural sunlight,"H Kim, S Yang, SR Rao, S Narayanan, EA Kapustin, H Furukawa, ...","Science 356 (6336), 430-434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18111595634204424093,336,2017
Electroosmotic microchannel cooling system,"KE Goodson, CH Chen, DE Huber, L Jiang, TW Kenny, JM Koo, DJ Laser, ...","US Patent 6,942,018","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=708337074122656461,6322167793276495521",334,2005
Optimization of nanofluid volumetric receivers for solar thermal energy conversion,"A Lenert, EN Wang","Solar Energy 86 (1), 253-265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9358228957693810470,326,2012
Wettability of graphene,"R Raj, SC Maroo, EN Wang","Nano letters 13 (4), 1509-1515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1792025705700525446,299,2013
Reversible wetting− dewetting transitions on electrically tunable superhydrophobic nanostructured surfaces,"TN Krupenkin, JA Taylor, EN Wang, P Kolodner, M Hodes, TR Salamon","Langmuir 23 (18), 9128-9133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12826147688381151156,255,2007
Condensation on superhydrophobic surfaces: the role of local energy barriers and structure length scale,"R Enright, N Miljkovic, A Al-Obeidi, CV Thompson, EN Wang","Langmuir 28 (40), 14424-14432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12685958139163715799,251,2012
Condensation heat transfer on superhydrophobic surfaces,"N Miljkovic, EN Wang","MRS bulletin 38 (5), 397-406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17877846285759461645,235,2013
Percutaneous device and method for treating urinary stress incontinence in women using a sub-urethral tape,V Scetbon,"US Patent App. 10/268,960","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16710498738318505382,5876839818958246850",207,2003
Phase change phenomena in silicon microchannels,"L Zhang, EN Wang, KE Goodson, TW Kenny","International journal of heat and mass transfer 48 (8), 1572-1582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9736250539471559553,202,2005
"Methylammonium bismuth iodide as a lead‐free, stable hybrid organic–inorganic solar absorber","RLZ Hoye, RE Brandt, A Osherov, V Stevanović, SD Stranks, MWB Wilson, ...","Chemistry–A European Journal 22 (8), 2605-2610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1621275120128231888,186,2016
Hierarchically structured surfaces for boiling critical heat flux enhancement,"KH Chu, Y Soo Joung, R Enright, CR Buie, EN Wang","Applied Physics Letters 102 (15), 151602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1239984664271810263,184,2013
Micromachined jets for liquid impingement cooling of VLSI chips,"EN Wang, L Zhang, L Jiang, JM Koo, JG Maveety, EA Sanchez, ...","Journal of Microelectromechanical systems 13 (5), 833-842","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1906968331304978860,18001011105834587276",184,2004
Water desalination: Graphene cleans up water,"EN Wang, R Karnik","Nature nanotechnology 7 (9), 552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3704996916650850164,178,2012
How coalescing droplets jump,"R Enright, N Miljkovic, J Sprittles, K Nolan, R Mitchell, EN Wang","ACS nano 8 (10), 10352-10362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13337825268390533743,174,2014
Concentrating solar power,"LA Weinstein, J Loomis, B Bhatia, DM Bierman, EN Wang, G Chen","Chemical reviews 115 (23), 12797-12838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12269794661320975021,169,2015
Closed-loop microchannel cooling system,"KE Goodson, CH Chen, DE Huber, L Jiang, TW Kenny, JM Koo, DJ Laser, ...","US Patent 7,334,630",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5282724506863269680,163,2008
Immersion condensation on oil-infused heterogeneous surfaces for enhanced heat transfer,"R Xiao, N Miljkovic, R Enright, EN Wang","Scientific reports 3, 1988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9528746364599115998,155,2013
Nanoengineered materials for liquid–vapour phase-change heat transfer,"HJ Cho, DJ Preston, Y Zhu, EN Wang","Nature Reviews Materials 2 (2), 1-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4781363292752320177,151,2016
Electrostatic charging of jumping droplets,"N Miljkovic, DJ Preston, R Enright, EN Wang","Nature communications 4, 2517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2614874804139968236,144,2013
Metallic photonic crystal absorber‐emitter for efficient spectral control in high‐temperature solar thermophotovoltaics,"V Rinnerbauer, A Lenert, DM Bierman, YX Yeng, WR Chan, RD Geil, ...","Advanced Energy Materials 4 (12), 1400334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17110956962472789981,142,2014
Prediction and optimization of liquid propagation in micropillar arrays,"R Xiao, R Enright, EN Wang","Langmuir 26 (19), 15070-15075",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7849188512432400776,140,2010
Modeling and optimization of superhydrophobic condensation,"N Miljkovic, R Enright, EN Wang","Journal of Heat Transfer 135 (11), 111004","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9069955850352359270,4766966010954595371",139,2013
Solar thermophotovoltaic energy conversion systems with two-dimensional tantalum photonic crystal absorbers and emitters,"Y Nam, YX Yeng, A Lenert, P Bermel, I Celanovic, M Soljačić, EN Wang","Solar Energy Materials and Solar Cells 122, 287-296",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11722571013029199877,132,2014
Condensation on superhydrophobic copper oxide nanostructures,"R Enright, N Miljkovic, N Dou, Y Nam, EN Wang","Journal of Heat Transfer 135 (9), 091304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11561088213572570244,130,2013
Scalable graphene coatings for enhanced condensation heat transfer,"DJ Preston, DL Mafra, N Miljkovic, J Kong, EN Wang","Nano letters 15 (5), 2902-2909",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13577634852315915321,120,2015
Jumping-droplet electrostatic energy harvesting,"N Miljkovic, DJ Preston, R Enright, EN Wang","Applied Physics Letters 105 (1), 013111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8546985081232228241,120,2014
Electric-field-enhanced condensation on superhydrophobic nanostructured surfaces,"N Miljkovic, DJ Preston, R Enright, EN Wang","Acs Nano 7 (12), 11043-11054",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7935968637520517997,120,2013
"Templateless, surfactantless, simple electrochemical route to rapid synthesis of diameter-controlled 3D flowerlike gold microstructure with “clean” surface","S Guo, L Wang, E Wang","Chemical Communications, 3163-3165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16526573913264210493,111,2007
Analytical model for the design of volumetric solar flow receivers,"A Veeraragavan, A Lenert, B Yilbas, S Al-Dini, EN Wang","International Journal of Heat and Mass Transfer 55 (4), 556-564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9362506016861831583,105,2012
Nano-and microstructures for thin-film evaporation—A review,"JL Plawsky, AG Fedorov, SV Garimella, HB Ma, SC Maroo, L Chen, ...","Nanoscale and microscale thermophysical engineering 18 (3), 251-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2797205743220067381,103,2014
Non-wetting droplets on hot superhydrophilic surfaces,"S Adera, R Raj, R Enright, EN Wang","Nature communications 4, 2518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5707901219580912987,102,2013
Effect of hydrocarbon adsorption on the wettability of rare earth oxide ceramics,"DJ Preston, N Miljkovic, J Sack, R Enright, J Queeney, EN Wang","Applied Physics Letters 105 (1), 011601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9774364106358614330,100,2014
Enhanced photovoltaic energy conversion using thermally based spectral shaping,"DM Bierman, A Lenert, WR Chan, B Bhatia, I Celanović, M Soljačić, ...","Nature Energy 1 (6), 16068",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12557529760791030917,97,2016
Unified model for contact angle hysteresis on heterogeneous and superhydrophobic surfaces,"R Raj, R Enright, Y Zhu, S Adera, EN Wang","Langmuir 28 (45), 15777-15788",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10099561144279515619,97,2012
Enabling ideal selective solar absorption with 2D metallic dielectric photonic crystals,"JB Chou, YX Yeng, YE Lee, A Lenert, V Rinnerbauer, I Celanovic, ...","Advanced Materials 26 (47), 8041-8045",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12792152306351014222,85,2014
Modeling and optimization of hybrid solar thermoelectric systems with thermosyphons,"N Miljkovic, EN Wang","Solar Energy 85 (11), 2843-2855",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15214218843134975803,85,2011
The mitochondrial uniporter controls fight or flight heart rate increases,"Y Wu, TP Rasmussen, OM Koval, AJ Mei-ling, DD Hall, B Chen, ...","Nature communications 6, 6081","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=444582833410032090,1744214711932450757",82,2015
Electroosmotic microchannel cooling system,"KE Goodson, CH Chen, DE Huber, L Jiang, TW Kenny, JM Koo, DJ Laser, ...","US Patent 7,131,486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4605814867869233758,78,2006
Record atmospheric fresh water capture and heat transfer with a material operating at the water uptake reversibility limit,"AJ Rieth, S Yang, EN Wang, M Dincă","ACS central science 3 (6), 668-672",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12872699610195363952,76,2017
Design of wide-angle selective absorbers/emitters with dielectric filled metallic photonic crystals for energy applications,"JB Chou, YX Yeng, A Lenert, V Rinnerbauer, I Celanovic, M Soljačić, ...","Optics express 22 (101), A144-A154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16851023507097838269,75,2014
Negative pressures in nanoporous membranes for thin film evaporation,"R Xiao, SC Maroo, EN Wang","Applied Physics Letters 102 (12), 123103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12958275242267389834,74,2013
Adsorption-based atmospheric water harvesting device for arid climates,"H Kim, SR Rao, EA Kapustin, L Zhao, S Yang, OM Yaghi, EN Wang","Nature communications 9 (1), 1191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9458070454697111275,68,2018
A novel urchinlike gold/platinum hybrid nanocatalyst with controlled size,"S Guo, L Wang, S Dong, E Wang","The Journal of Physical Chemistry C 112 (35), 13510-13515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=926285281176355604,68,2008
Turning bubbles on and off during boiling using charged surfactants,"HJ Cho, JP Mizerak, EN Wang","Nature communications 6, 8599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1353860167951445659,65,2015
Biotemplated hierarchical surfaces and the role of dual length scales on the repellency of impacting droplets,"M McCarthy, K Gerasopoulos, R Enright, JN Culver, R Ghodssi, EN Wang","Applied Physics Letters 100 (26), 263701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2781057637801127056,65,2012
X-ray inspection using spatially and spectrally tailored beams,"L Grodzins, P Rothschild, RD Swift","US Patent 7,010,094","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17684437414677515956,17029853737873578027",64,2006
Real‐Time Manipulation with Magnetically Tunable Structures,"Y Zhu, DS Antao, R Xiao, EN Wang","Advanced Materials 26 (37), 6442-6446",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11945936010031639349,60,2014
Thermal spreading resistance and heat source temperature in compound orthotropic systems with interfacial resistance,"YS Muzychka, KR Bagnall, EN Wang","IEEE Transactions on Components, Packaging and Manufacturing Technology 3 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1781356149359672893,60,2013
Surface structure enhanced microchannel flow boiling,"Y Zhu, DS Antao, KH Chu, S Chen, TJ Hendricks, T Zhang, EN Wang","Journal of Heat Transfer 138 (9), 091501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16332702907503741756,58,2016
Analytical solution for temperature rise in complex multilayer structures with discrete heat sources,"KR Bagnall, YS Muzychka, EN Wang","IEEE Transactions on Components, Packaging and Manufacturing Technology 4 (5 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=998131857083283528,56,2014
Porous Cu nanowire aerosponges from one‐step assembly and their applications in heat dissipation,"SM Jung, DJ Preston, HY Jung, Z Deng, EN Wang, J Kong","Advanced Materials 28 (7), 1413-1419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16608001037284986872,55,2016
High-resolution liquid patterns via three-dimensional droplet shape control,"R Raj, S Adera, R Enright, EN Wang","Nature communications 5, 4975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6669679553711052414,55,2014
Electroosmotic microchannel cooling system,"KE Goodson, CH Chen, DE Huber, L Jiang, TW Kenny, JM Koo, DJ Laser, ...","US Patent 6,991,024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2570329254754609657,54,2006
Design of micropillar wicks for thin-film evaporation,"S Adera, D Antao, R Raj, EN Wang","International Journal of Heat and Mass Transfer 101, 280-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17607122600304116840,52,2016
Modeling of evaporation from nanopores with nonequilibrium and nonlocal effects,"Z Lu, S Narayanan, EN Wang","Langmuir 31 (36), 9817-9824",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2202844431557261993,46,2015
Rapid synthesis of polyethylenimine-protected Prussian blue nanocubes through a thermal process,"J Zhai, Y Zhai, L Wang, S Dong","Inorganic chemistry 47 (16), 7071-7073",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15910837322266336921,41,2008
Application of the Kirchhoff transform to thermal spreading problems with convection boundary conditions,"KR Bagnall, YS Muzychka, EN Wang","IEEE Transactions on Components, Packaging and Manufacturing Technology 4 (3 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10743821525272407377,40,2013
Design of an integrated loop heat pipe air-cooled heat exchanger for high performance electronics,"TB Peters, M McCarthy, J Allison, FA Dominguez-Espinosa, D Jenicek, ...","IEEE Transactions on Components, Packaging and Manufacturing Technology 2 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5833288732402715000,38,2012
Microscale liquid dynamics and the effect on macroscale propagation in pillar arrays,"R Xiao, EN Wang","Langmuir 27 (17), 10360-10364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1680236197708314345,38,2011
Interplay between hydrophilicity and surface barriers on water transport in zeolite membranes,"M Fasano, T Humplik, A Bevilacqua, M Tsapatsis, E Chiavazzo, EN Wang, ...","Nature communications 7, 12762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9764808625587763116,36,2016
Design and modeling of membrane-based evaporative cooling devices for thermal management of high heat fluxes,"Z Lu, TR Salamon, S Narayanan, KR Bagnall, DF Hanks, DS Antao, ...","IEEE transactions on components, packaging and manufacturing technology 6 (7 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4220896658551413734,36,2016
Prediction and characterization of dry-out heat flux in micropillar wick structures,"Y Zhu, DS Antao, Z Lu, S Somasundaram, T Zhang, EN Wang","Langmuir 32 (7), 1920-1927",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5054778010069659342,36,2016
Effect of hydrophilic defects on water transport in MFI zeolites,"T Humplik, R Raj, SC Maroo, T Laoui, EN Wang","Langmuir 30 (22), 6446-6453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2674255345499586675,36,2014
Advanced cooling technologies for microprocessors,"TW Kenny, KE Goodson, JG Santiago, E Wang, JM Koo, L Jiang, E Pop, ...","Frontiers In Electronics: (With CD-ROM), 301-313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4487435813724278413,35,2006
Trichinella spiralis—a potential anti-tumor agent,"XL Wang, BQ Fu, SJ Yang, XP Wu, GZ Cui, MF Liu, Y Zhao, YL Yu, XY Liu, ...","Veterinary parasitology 159 (3-4), 249-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14181716567540390982,33,2009
Convective boiling in microchannel heat sinks with spatially-varying heat generation,"JM Koo, L Jiang, A Bari, L Zhang, E Wang, TW Kenny, JG Santiago, ...",ITherm 2002. Eighth Intersociety Conference on Thermal and Thermomechanical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13251911349720672341,33,2002
Heat transfer enhancement during water and hydrocarbon condensation on lubricant infused surfaces,"DJ Preston, Z Lu, Y Song, Y Zhao, KL Wilke, DS Antao, M Louis, EN Wang","Scientific reports 8 (1), 540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14052351289008817839,32,2018
Characterization of adsorption enthalpy of novel water-stable zeolites and metal-organic frameworks,"H Kim, HJ Cho, S Narayanan, S Yang, H Furukawa, S Schiffres, X Li, ...","Scientific reports 6, 19097",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5697185403316335908,32,2016
Design of lubricant infused surfaces,"DJ Preston, Y Song, Z Lu, DS Antao, EN Wang","ACS applied materials & interfaces 9 (48), 42383-42392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4386383173017970992,31,2017
Focusing of phase change microparticles for local heat transfer enhancement in laminar flows,"A Lenert, Y Nam, BS Yilbas, EN Wang","International Journal of Heat and Mass Transfer 56 (1-2), 380-389",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12288523879830839047,31,2013
Practical assessment of real-time impact point estimators for smart weapons,"F Fresconi, G Cooper, M Costello","Journal of Aerospace Engineering 24 (1), 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1602239994741118051,31,2010
Nanofluid-based absorbers for high temperature direct solar collectors,"A Lenert, YS Perez Zuniga, EN Wang","2010 14th International Heat Transfer Conference, 499-508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9680656767998308965,31,2010
Multilayer liquid spreading on superhydrophilic nanostructured surfaces,"R Xiao, KH Chu, EN Wang","Applied Physics Letters 94 (19), 193104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8774631837033704250,31,2009
Optimization of adsorption processes for climate control and thermal energy storage,"S Narayanan, S Yang, H Kim, EN Wang","International Journal of Heat and Mass Transfer 77, 288-300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6678045403650596733,30,2014
Micromachined jet arrays for liquid impingement cooling of VLSI chips,"EN Wang, L Zhang, L Jiang, JM Koo, KE Goodson, TW Kenny, ...","Solid-State Sensor, Actuator and Microsystems Workshop, Hilton Head Island …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9535807624670096205,30,2002
Thermal battery for portable climate control,"S Narayanan, X Li, S Yang, H Kim, A Umans, IS McKay, EN Wang","Applied energy 149, 104-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11652049698078032993,29,2015
Growth dynamics during dropwise condensation on nanostructured superhydrophobic surfaces,"N Miljkovic, R Enright, EN Wang",ASME International,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4879448489165861605,29,2012
"Assay device that analyzes the absorption, metabolism, permeability and/or toxicity of a candidate compound","S Campbell, E Kim, G Kirk, E Ostuni, O Schueller, R Casagrande, E Wang, ...","US Patent App. 11/637,912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13486403098654188696,29,2007
Zeolite Y adsorbents with high vapor uptake capacity and robust cycling stability for potential applications in advanced adsorption heat pumps,"X Li, S Narayanan, VK Michaelis, TC Ong, EG Keeler, H Kim, IS McKay, ...","Microporous and Mesoporous Materials 201, 151-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1820730437899897416,28,2015
Proteomic analysis of the changed proteins of Trichinella spiralis infective larvae after co-culture in vitro with intestinal epithelial cells,"L Wang, ZQ Wang, J Cui","Veterinary parasitology 194 (2-4), 160-163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15924798604181019259,28,2013
Enhanced nucleate boiling in microchannels,"L Zhang, KE Goodson, TW Kenny","Silicon Microchannel Heat Sinks, 95-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14282693038856764658,28,2004
Electrically induced drop detachment and ejection,"A Cavalli, DJ Preston, E Tio, DW Martin, N Miljkovic, EN Wang, ...","Physics of fluids 28 (2), 022101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15778169562078640133,27,2016
Thermal transport in suspended silicon membranes measured by laser-induced transient gratings,"A Vega-Flick, RA Duncan, JK Eliason, J Cuffe, JA Johnson, JPM Peraud, ...","AIP Advances 6 (12), 121903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15194316801896922120,26,2016
Modeling silica aerogel optical performance by determining its radiative properties,"L Zhao, S Yang, B Bhatia, E Strobach, EN Wang","AIP Advances 6 (2), 025123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=116249438815521428,26,2016
Protein changes in Trichinella spiralis muscle larvae in vitro induced by bovine bile,"L Wang, ZQ Wang, J Cui","Veterinary parasitology 194 (2-4), 164-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5602181372446192188,26,2013
Cross-linked microchannels for VLSI hotspot cooling,"L Jiang, JM Koo, E Wang, A Bari, ES Cho, W Ong, RS Prasher, J Maveety, ...","ASME 2002 International Mechanical Engineering Congress and Exposition, 13-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15980430993410920066,26,2002
Adaptive multi-view feature selection for human motion retrieval,"Z Wang, Y Feng, T Qi, X Yang, JJ Zhang","Signal Processing 120, 691-701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9628380803932020676,25,2016
