Title,Authors,Platform,Cited_url,Cited_count,Year
Review of the national ignition campaign 2009-2012,"J Lindl, O Landen, J Edwards, E Moses, NIC team","Physics of Plasmas 21 (2), 020501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14616813207362778777,367,2014
Progress towards ignition on the National Ignition Facility,"MJ Edwards, PK Patel, JD Lindl, LJ Atherton, SH Glenzer, SW Haan, ...","Physics of Plasmas 20 (7), 070501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16670674034929723185,249,2013
Spectrometry of charged particles from inertial-confinement-fusion plasmas,"FH Séguin, JA Frenje, CK Li, DG Hicks, S Kurebayashi, JR Rygg, ...","Review of Scientific Instruments 74 (2), 975-995",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8777510704914916709,249,2003
Measuring E and B fields in laser-produced plasmas with monoenergetic proton radiography,"CK Li, FH Séguin, JA Frenje, JR Rygg, RD Petrasso, RPJ Town, ...","Physical review letters 97 (13), 135003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11856461338551417101,176,2006
Proton radiography of inertial fusion implosions,"JR Rygg, FH Séguin, CK Li, JA Frenje, MJE Manuel, RD Petrasso, R Betti, ...","Science 319 (5867), 1223-1225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7544226481765651092,163,2008
Observation of megagauss-field topology changes due to magnetic reconnection in laser-produced plasmas,"CK Li, FH Séguin, JA Frenje, JR Rygg, RD Petrasso, RPJ Town, ...","Physical review letters 99 (5), 055001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601615841027685133,147,2007
The experimental plan for cryogenic layered target implosions on the National Ignition Facility—the inertial confinement approach to fusion,"MJ Edwards, JD Lindl, BK Spears, SV Weber, LJ Atherton, DL Bleuel, ...","Physics of Plasmas 18 (5), 051003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10794617722728794462,140,2011
The high-foot implosion campaign on the National Ignition Facility,"OA Hurricane, DA Callahan, DT Casey, EL Dewald, TR Dittrich, ...","Physics of Plasmas 21 (5), 056314","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15174123527745106366,1717958626324374917",134,2014
Capsule implosion optimization during the indirect-drive National Ignition Campaign,"OL Landen, J Edwards, SW Haan, HF Robey, J Milovich, BK Spears, ...","Physics of Plasmas 18 (5), 051002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9747409093582816488,134,2011
Implosion dynamics measurements at the National Ignition Facility,"DG Hicks, NB Meezan, EL Dewald, AJ Mackinnon, RE Olson, ...","Physics of Plasmas 19 (12), 122702",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12880070774636290346,120,2012
