Title,Authors,Platform,Cited_url,Cited_count,Year
Quantum computation and quantum information,"MA Nielsen, I Chuang","American Journal of Physics 70 (5), 558-559","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11835234981167744704,7858232609882559673,11948886387023258750,9016644906160214936,10846124464911612625",36525,2002
Bulk spin-resonance quantum computation,"NA Gershenfeld, IL Chuang","science 275 (5298), 350-356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3640771700335537367,2244,1997
Experimental realization of Shor's quantum factoring algorithm using nuclear magnetic resonance,"LMK Vandersypen, M Steffen, G Breyta, CS Yannoni, MH Sherwood, ...","Nature 414 (6866), 883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18300160318142633263,1990,2001
Decoherence-free subspaces for quantum computation,"DA Lidar, IL Chuang, KB Whaley","Physical Review Letters 81 (12), 2594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8048005775550426059,1772,1998
Quantum Computation and Quantum Information: Introduction and overview; 2. Introduction t quantum mechanics; 3. Introduction to computer science; Part II. Quantum Computation …,"MA Nielsen, IL Chuang",Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4406202635444618384,1721,2010
Quantum computation and quantum information,"MA Nielson, IL Chuang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=590680809087009732,1590,2000
Demonstrating the viability of universal quantum computation using teleportation and single-qubit operations,"D Gottesman, IL Chuang","Nature 402 (6760), 390",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8645323769368372559,1480,1999
NMR techniques for quantum control and computation,"LMK Vandersypen, IL Chuang","Reviews of modern physics 76 (4), 1037",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12997856629644961331,1016,2005
Experimental implementation of fast quantum searching,"IL Chuang, N Gershenfeld, M Kubinec","Physical review letters 80 (15), 3408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11184477219539857085,888,1998
Experimental observations of a left-handed material that obeys Snell’s law,"AA Houck, JB Brock, IL Chuang","Physical Review Letters 90 (13), 137401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5577218415799518779,875,2003
Experimental realization of a quantum algorithm,"IL Chuang, LMK Vandersypen, X Zhou, DW Leung, S Lloyd","Nature 393 (6681), 143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1976344803984262863,837,1998
Prescription for experimental determination of the dynamics of a quantum black box,"IL Chuang, MA Nielsen","Journal of Modern Optics 44 (11-12), 2455-2467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13243552339903188694,757,1997
Cosmology in the laboratory: Defect dynamics in liquid crystals,"I Chuang, R Durrer, N Turok, B Yurke","Science 251 (4999), 1336-1342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14275603064480612255,664,1991
