Title,Authors,Platform,Cited_url,Cited_count,Year
Hydrogen storage in metal–organic frameworks,"LJ Murray, M Dincă, JR Long","Chemical Society Reviews 38 (5), 1294-1314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8028609431032765290,3884,2009
Hydrogen storage in microporous metal–organic frameworks with exposed metal sites,"M Dincă, JR Long","Angewandte Chemie International Edition 47 (36), 6766-6779",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7079246862440520769,1130,2008
Hydrogen Storage in a Microporous Metal−Organic Framework with Exposed Mn,"M Dinca, A Dailly, Y Liu, CM Brown, DA Neumann, JR Long","Journal of the American Chemical Society 128 (51), 16876-16883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10048851333187313965,1112,2006
Size-selective Lewis acid catalysis in a microporous metal-organic framework with exposed Mn2+ coordination sites,"S Horike, M Dinca, K Tamaki, JR Long","Journal of the American Chemical Society 130 (18), 5854-5855",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6161275266612322487,779,2008
Strong H2 binding and selective gas adsorption within the microporous coordination solid Mg3 (O2C-C10H6-CO2) 3,"M Dinca, JR Long","Journal of the American Chemical Society 127 (26), 9376-9377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15199974548852932125,768,2005
Nickel-borate oxygen-evolving catalyst that functions under benign conditions,"M Dincă, Y Surendranath, DG Nocera","Proceedings of the National Academy of Sciences 107 (23), 10337-10341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6129188743825861497,664,2010
"Microporous metal− organic frameworks incorporating 1, 4-benzeneditetrazolate: Syntheses, structures, and hydrogen storage properties","M Dinca, AF Yu, JR Long","Journal of the American Chemical Society 128 (27), 8904-8913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8852903739883365215,643,2006
Electrically conductive porous metal–organic frameworks,"L Sun, MG Campbell, M Dincă","Angewandte Chemie International Edition 55 (11), 3566-3579",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13091074716251836494,599,2016
Conductive MOF electrodes for stable supercapacitors with high areal capacitance,"D Sheberla, JC Bachman, JS Elias, CJ Sun, Y Shao-Horn, M Dincă","Nature Materials 16, 220-224",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7468376964858485134,579,2017
Electrolyte-dependent electrosynthesis and activity of cobalt-based water oxidation catalysts,"Y Surendranath, M Dinca, DG Nocera","Journal of the American Chemical Society 131 (7), 2615-2620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4447154361969905122,530,2009
Structure and valency of a cobalt− phosphate water oxidation catalyst determined by in situ X-ray spectroscopy,"MW Kanan, J Yano, Y Surendranath, M Dincă, VK Yachandra, ...","Journal of the American Chemical Society 132 (39), 13692-13701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9925461300875470100,513,2010
High-Enthalpy Hydrogen Adsorption in Cation-Exchanged Variants of the Microporous Metal−Organic Framework Mn,"M Dinca, JR Long","Journal of the American Chemical Society 129 (36), 11172-11176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8911892989463170224,437,2007
Turn-On Fluorescence in Tetraphenylethylene-Based Metal–Organic Frameworks: An Alternative to Aggregation-Induced Emission,"NB Shustova, BD McCarthy, M Dincă","Journal of the American Chemical Society 133 (50), 20126-20129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5154900129694778411,400,2011
Observation of Cu2+–H2 Interactions in a Fully Desolvated Sodalite‐Type Metal–Organic Framework,"M Dincă, WS Han, Y Liu, A Dailly, CM Brown, JR Long","Angewandte Chemie International Edition 46 (9), 1419-1422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11374116696644865494,391,2007
EPR evidence for Co (IV) species produced during water oxidation at neutral pH,"JG McAlpin, Y Surendranath, M Dincǎ, TA Stich, SA Stoian, WH Casey, ...","Journal of the American Chemical Society 132 (20), 6882-6883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12682013832885579892,381,2010
High Electrical Conductivity in Ni,"D Sheberla, L Sun, MA Blood-Forsythe, S Er, CR Wade, CK Brozek, ...","Journal of the American Chemical Society 136 (25), 8859-8862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5757204739940631715,375,2014
