Title,Authors,Platform,Cited_url,Cited_count,Year
Global teleseismic earthquake relocation with improved travel times and procedures for depth determination,"ER Engdahl, R van der Hilst, R Buland","Bulletin of the Seismological Society of America 88 (3), 722-743",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2088716206504649833,2073,1998
Evidence for deep mantle circulation from global tomography,"RD Van der Hilst, S Widiyantoro, ER Engdahl","Nature 386 (6625), 578",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9107721904846160113,1321,1997
High resolution global tomography: a snapshot of convection in the Earth,"SP Grand, RD van der Hilst, S Widiyantoro",Geological Society of America Today 7 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3749330620162995298,1050,1997
The geological evolution of the Tibetan Plateau,"LH Royden, BC Burchfiel, RD van der Hilst","science 321 (5892), 1054-1058",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17140825595342174051,1016,2008
Compositional stratification in the deep mantle,"LH Kellogg, BH Hager, RD Van Der Hilst","Science 283 (5409), 1881-1884",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10672249883750345031,797,1999
"A geological and geophysical context for the Wenchuan earthquake of 12 May 2008, Sichuan, People’s Republic of China","BC Burchfiel, LH Royden, RD Van der Hilst, BH Hager, Z Chen, R King, ...","GSA today 18 (7), 5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2431836370897282133,763,2008
Surface‐wave array tomography in SE Tibet from ambient seismic noise and two‐station analysis–I. Phase velocity maps,"H Yao, RD Van Der Hilst, MV De Hoop","Geophysical Journal International 166 (2), 732-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8855342504986188430,628,2006
Tomographic imaging of subducted lithosphere below northwest Pacific island arcs,"RD Van der Hilst, ER Engdahl, W Spakman, G Nolet","Nature 353 (6339), 37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8279926668964251305,608,1991
Travel-time tomography of the European-Mediterranean mantle down to 1400 km,"W Spakman, S van der Lee, R van der Hilst","Physics of the Earth and Planetary Interiors 79 (1-2), 3-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12490094151301978532,579,1993
A new global model for P wave speed variations in Earth’s mantle,"C Li, RD van der Hilst, ER Engdahl, S Burdick","Geochem. Geophys. Geosyst 9 (5), Q05018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13878327112195027715,473,2008
Subduction of the Indian lithosphere beneath the Tibetan Plateau and Burma,"C Li, RD van der Hilst, AS Meltzer, ER Engdahl","Earth and Planetary Science Letters 274 (1-2), 157-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4093781451678650832,452,2008
Compositional heterogeneity in the bottom 1000 kilometers of Earth's mantle: Toward a hybrid convection model,"RD van der Hilst, H Kárason","Science 283 (5409), 1885-1888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16536284755521664654,434,1999
Surface wave array tomography in SE Tibet from ambient seismic noise and two-station analysis-II. Crustal and upper-mantle structure,"H Yao, C Beghein, RD Van Der Hilst","Geophysical Journal International 173 (1), 205-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12282389842715828860,411,2008
Complex morphology of subducted lithosphere in the mantle beneath the Tonga trench,RD Van der Hilst,"Nature 374, 154-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9852156738901830805,304,1995
Structure of the crust beneath the southeastern Tibetan Plateau from teleseismic receiver functions,"L Xu, S Rondenay, RD van der Hilst","Physics of the Earth and Planetary Interiors 165 (3-4), 176-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8856482028728396336,258,2007
Seismostratigraphy and thermal structure of Earth's core-mantle boundary region,"RD Van der Hilst, MV De Hoop, P Wang, SH Shim, P Ma, L Tenorio","science 315 (5820), 1813-1817",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17559935691691530307,254,2007
Structure of the upper mantle and transition zone beneath Southeast Asia from traveltime tomography,"C Li, RD van der Hilst",American Geophysical Union,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15474560865640197399,250,2010
4-D evolution of SE Asia’s mantle from geological reconstructions and seismic tomography,"A Replumaz, H Kárason, RD van der Hilst, J Besse, P Tapponnier","Earth and Planetary Science Letters 221 (1-4), 103-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17889952222936008185,239,2004
Effects of relative plate motion on the deep structure and penetration depth of slabs below the Izu-Bonin and Mariana island arcs,"R van der Hilst, T Seno","Earth and Planetary Science Letters 120 (3-4), 395-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10808067740116461151,226,1993
The deep structure of the Australian continent from surface wave tomography,"FJ Simons, A Zielhuis, RD Van Der Hilst","Lithos 48 (1-4), 17-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6725840372139300921,222,1999
Joint seismic tomography for bulk sound and shear wave speed in the Earth's mantle,"BLN Kennett, S Widiyantoro, RD van der Hilst","Journal of Geophysical Research: Solid Earth (1978–2012) 103 (B6), 12469-12493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11753473810894615688,220,1998
Geodynamics of the southeastern Tibetan Plateau from seismic anisotropy and geodesy,"S Sol, A Meltzer, R Burgmann, RD Van der Hilst, R King, Z Chen, ...","Geology 35 (6), 563-566",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17749984230691209988,207,2007
Constraining spatial variations in P-wave velocity in the upper mantle beneath SE Asia,"C Li, RD van der Hilst, NM Toksoz","Physics of the Earth and Planetary Interiors 154, 180-195","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=335914371650625874,1861101006139616778",206,2006
"Structure and evolution of lithospheric slab beneath the Sunda arc, Indonesia","S Widiyantoro, R van der Hilst","Science 271 (5255), 1566-1570",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2846210988600578086,204,1996
