Title,Authors,Platform,Cited_url,Cited_count,Year
Terahertz quantum cascade lasers operating up to∼ 200 K with optimized oscillator strength and improved injection tunneling,"S Fathololoumi, E Dupont, CWI Chan, ZR Wasilewski, SR Laframboise, ...","Optics express 20 (4), 3866-3876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12482991398157178810,548,2012
3.4-THz quantum cascade laser based on longitudinal-optical-phonon scattering for depopulation,"BS Williams, H Callebaut, S Kumar, Q Hu, JL Reno","Applied Physics Letters 82 (7), 1015-1017",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10109795604764414262,499,2003
Operation of terahertz quantum-cascade lasers at 164 K in pulsed mode and at 117 K in continuous-wave mode,"BS Williams, S Kumar, Q Hu, JL Reno","Optics Express 13 (9), 3331-3339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6787582674646368661,479,2005
186 K operation of terahertz quantum-cascade lasers based on a diagonal design,"S Kumar, Q Hu, JL Reno","Applied Physics Letters 94 (13), 131105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18054420471635909293,372,2009
Terahertz quantum-cascade laser at ,"BS Williams, S Kumar, H Callebaut, Q Hu, JL Reno","Applied Physics Letters 83 (11), 2124-2126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12860265870848218023,361,2003
High-power terahertz quantum-cascade lasers,"BS Williams, S Kumar, Q Hu, JL Reno","Electronics letters 42 (2), 89-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16502748476578956635,360,2006
Real-time terahertz imaging over a standoff distance ,"AWM Lee, Q Qin, S Kumar, BS Williams, Q Hu, JL Reno","Applied Physics Letters 89 (14), 141125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15128494616788347937,295,2006
Real-time imaging using a 4.3-THz quantum cascade laser and a 320/spl times/240 microbolometer focal-plane array,"AWM Lee, BS Williams, S Kumar, Q Hu, JL Reno","IEEE Photonics Technology Letters 18 (13), 1415-1417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10631392372366329407,291,2006
"Real-time, continuous-wave terahertz imaging by use of a microbolometer focal-plane array","AWM Lee, Q Hu","Optics letters 30 (19), 2563-2565",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11462292653065766474,278,2005
Terahertz laser frequency combs,"D Burghoff, TY Kao, N Han, CWI Chan, X Cai, Y Yang, DJ Hayton, JR Gao, ...","Nature Photonics 8 (6), 462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3139336498733236413,258,2014
Continuous-wave operation of terahertz quantum-cascade lasers above liquid-nitrogen temperature,"S Kumar, BS Williams, S Kohen, Q Hu, JL Reno","Applied physics letters 84 (14), 2494-2496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6923287660169532720,250,2004
