Title,Authors,Platform,Cited_url,Cited_count,Year
Managing with style: The effect of managers on firm policies,"M Bertrand, A Schoar","The Quarterly journal of economics 118 (4), 1169-1208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15126710190450841764,3025,2003
"Private equity performance: Returns, persistence, and capital flows","SN Kaplan, A Schoar","The journal of finance 60 (4), 1791-1823","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12968895598669370798,12066543589541103455",1877,2005
The role of family in family firms,"M Bertrand, A Schoar","Journal of economic perspectives 20 (2), 73-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13408134936147722814,1255,2006
Effects of corporate diversification on productivity,A Schoar,"The Journal of Finance 57 (6), 2379-2403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7802008309458729016,821,2002
Financial contracting with optimistic entrepreneurs,"A Landier, D Thesmar","The Review of Financial Studies 22 (1), 117-150","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5711543018176268579,3011907272166029041",580,2008
Keeping it simple: Financial literacy and rules of thumb,"A Drexler, G Fischer, A Schoar","American Economic Journal: Applied Economics 6 (2), 1-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10335896583068925063,546,2014
Banking deregulation and industry structure: Evidence from the French banking reforms of 1985,"M Bertrand, A Schoar, D Thesmar","The Journal of Finance 62 (2), 597-628",,520,2007
Banking deregulation and industry structure: Evidence from the French banking reforms of 1985,"M Bertrand, A Schoar, D Thesmar","The Journal of Finance 62 (2), 597-628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7348190111100423630,520,2007
Does legal enforcement affect financial transactions? The contractual channel in private equity,"J Lerner, A Schoar","The Quarterly Journal of Economics 120 (1), 223-246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12069671754539341074,506,2005
Mixing family with business: A study of Thai business groups and the families behind them,"M Bertrand, S Johnson, K Samphantharak, A Schoar","Journal of Financial economics 88 (3), 466-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12263749461637700691,474,2008
Does going public affect innovation?,S Bernstein,"The Journal of Finance 70 (4), 1365-1403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4168202953596915874,449,2015
"Smart institutions, foolish choices: The limited partner performance puzzle","J Lerner, A Schoar, W Wongsunwai","The Journal of Finance 62 (2), 731-764","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9714729570129449051,8535931907425974466",427,2007
"Stressed, not frozen: The federal funds market in the financial crisis","G Afonso, A Kovner, A Schoar","The Journal of Finance 66 (4), 1109-1139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=769842242258295739,426,2011
Interbank liquidity crunch and the firm credit crunch: Evidence from the 2007–2009 crisis,"R Iyer, JL Peydró, S da-Rocha-Lopes, A Schoar","The Review of Financial Studies 27 (1), 347-372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6284899069381839840,393,2013
The market for financial advice: An audit study,"S Mullainathan, M Noeth, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1890838604724205274,336,2012
The consequences of entrepreneurial finance: Evidence from angel financings,"WR Kerr, J Lerner, A Schoar","The Review of Financial Studies 27 (1), 20-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2990823857524385605,323,2011
"Politicians, firms and the political business cycle: evidence from France","M Bertrand, F Kramarz, A Schoar, D Thesmar","Unpublished working paper, University of Chicago",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16642987554568438804,317,2007
The divide between subsistence and transformational entrepreneurship,A Schoar,"Innovation policy and the economy 10 (1), 57-81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4225831273823332289,312,2010
"House prices, collateral, and self-employment","M Adelino, A Schoar, F Severino","Journal of Financial Economics 117 (2), 288-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12321028908809517441,309,2015
The illiquidity puzzle: theory and evidence from private equity,"J Lerner, A Schoar","Journal of Financial Economics 72 (1), 3-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=114180633951327673,265,2004
Shaped by booms and busts: How the economy impacts CEO careers and management styles,"A Schoar, L Zuo","The Review of Financial Studies 30 (5), 1425-1456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17979952777456509891,239,2017
What capital is missing in developing countries?,"M Bruhn, D Karlan, A Schoar","American Economic Review 100 (2), 629-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8749515314017623069,238,2010
The impact of consulting services on small and medium enterprises: Evidence from a randomized trial in mexico,"M Bruhn, D Karlan, A Schoar","Journal of Political Economy 126 (2), 635-687",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4417929226991540483,223,2018
Loan originations and defaults in the mortgage crisis: The role of the middle class,"M Adelino, A Schoar, F Severino","The Review of Financial Studies 29 (7), 1635-1670",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14646331149479757764,215,2016
The consequences of financial innovation: a counterfactual research agenda,"J Lerner, P Tufano","Annu. Rev. Financ. Econ. 3 (1), 41-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5595588956972300188,209,2011
Politically connected CEOs and corporate outcomes: Evidence from France,"M Bertrand, F Kramarz, A Schoar, D Thesmar",Unpublished manuscript,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15296790920748921935,196,2004
Who are the microenterprise owners? Evidence from Sri Lanka on Tokman v. de Soto,"S De Mel, D McKenzie, C Woodruff",The World Bank,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7287556775638517609,195,2008
Credit supply and house prices: evidence from mortgage market segmentation,"M Adelino, A Schoar, F Severino",National Bureau of Economic Research,,190,2012
Credit supply and house prices: evidence from mortgage market segmentation,"M Adelino, A Schoar, F Severino",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4909159397580887873,190,2012
Secrets of the academy: The drivers of university endowment success,"J Lerner, A Schoar, J Wang","Journal of Economic Perspectives 22 (3), 207-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17469553744926910781,173,2008
The investment strategies of sovereign wealth funds,"S Bernstein, J Lerner, A Schoar","Journal of Economic Perspectives 27 (2), 219-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5534534107987970224,144,2013
The investment strategies of sovereign wealth funds,"S Bernstein, J Lerner, A Schoar",National Bureau of Economic Research,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6138017422943873414,6092582510918025409",126,2009
Trading partners in the interbank lending market,"G Afonso, A Kovner, A Schoar",FRB of New York Staff Report,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6999103331950187365,112,2013
The consequences of entrepreneurial finance: a regression discontinuity analysis,"WR Kerr, J Lerner, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15162741044619062409,108,2010
Remembering to pay? Reminders vs. financial incentives for loan payments,"X Cadena, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6344675502941531218,105,2011
Houses as ATMs? Mortgage refinancing and macroeconomic uncertainty,"H Chen, M Michaux, N Roussanov",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3159587518965847819,93,2013
How do CEOs see their roles? Management philosophies and styles in family and non-family firms,"W Mullins, A Schoar","Journal of Financial Economics 119 (1), 24-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11815628981731471848,83,2016
Judge specific differences in chapter 11 and firm outcomes,"T Chang, A Schoar",AFA 2007 Chicago Meetings Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=672759568213930922,71,2006
Trading and arbitrage in cryptocurrency markets,"I Makarov, A Schoar",Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17397754999598196766,70,2019
"Introduction to"" International Differences in Entrepreneurship""","J Lerner, A Schoar","International differences in entrepreneurship, 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2264045394695613311,58,2010
Do credit card companies screen for behavioral biases?,"H Ru, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15860122269148581674,57,2016
Do relationships matter? Evidence from loan officer turnover,"A Drexler, A Schoar","Management Science 60 (11), 2722-2736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13498474110775207717,55,2014
CEO careers and style,A Schoar,NBER Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13421519227628965166,52,2007
Private Equity Performance: Returns,"S Kaplan, A Schoar","Persistence, and Capital Flows, oJournal of Finance 60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16919082996957183327,51,2005
Can unemployment insurance spur entrepreneurial activity?,"J Hombert, A Schoar, D Sraer, D Thesmar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11758921037468417339,45,2014
Transaction Structures in the Developing World,"J Lerner, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6128163367479615931,45,2004
Private equity in the developing world: The determinants of transaction structures,"J Lerner, A Schoar","Unpublished working paper, MIT",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=56483198595562726,42,2003
Are there cultural determinants of entrepreneurship?,"R Iyer, A Schoar","International differences in entrepreneurship, 209-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1004513601922418595,41,2010
Judge specific differences in Chapter 11 and firm outcomes,"T Chang, A Schoar",Revise and Resubmit at Journal of Finance,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=845209291806810458,40,2013
"Private equity performance: Returns, persistence and capital","S Kaplan, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5475982160175184922,38,2003
The effect of judicial bias in Chapter 11 reorganization,"T Chang, A Schoar","Unpublished manuscript. Massachusetts Institute of Technology, Cambridge, Mass",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2756856140660444955,35,2006
Can unemployment insurance spur entrepreneurial activity? Evidence from France,"J Hombert, A Schoar, DA Sraer, D Thesmar",HEC Paris Research Paper No. FIN-2013-1020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14790833045549772632,34,2019
Fighting procrastination in the workplace: An experiment,"X Cadena, A Schoar, A Cristea, HM Delgado-Medrano",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12396586404154970546,33,2011
The globalization of angel investments: Evidence across countries,"J Lerner, A Schoar, S Sokolinski, K Wilson",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4270206599863781646,32,2015
The globalization of angel investments: Evidence across countries,"J Lerner, A Schoar, S Sokolinski, K Wilson","Journal of Financial Economics 127 (1), 1-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15265225943412588815,28,2018
Does the market value CEO styles?,"A Schoar, L Zuo","American Economic Review 106 (5), 262-66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3565826804090814914,27,2016
The cost of political connections,"M Bertrand, F Kramarz, A Schoar, D Thesmar","Review of Finance 22 (3), 849-876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3352807890754380707,25,2018
Dynamics of housing debt in the recent boom and great recession,"M Adelino, A Schoar, F Severino","NBER Macroeconomics Annual 32 (1), 265-311","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9638888104878276224,702864090908640819",25,2018
The personal side of relationship banking,A Schoar,Available at SSRN 2024653,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17211736060624102798,22,2012
Changes in buyer composition and the expansion of credit during the boom,"M Adelino, A Schoar, F Severino",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2980198399245861442,21,2015
Loan originations and defaults in the mortgage crisis: Further evidence,"M Adelino, A Schoar, F Severino",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12175540980873154240,20,2015
Chit funds as an innovative access to finance for low-income households,"M Kapoor, A Schoar, P Rao, S Buteau","Review of Market Integration 3 (3), 287-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=242416386397072181,19,2011
The contributions of Stewart Myers to the theory and practice of corporate finance,"F Allen, S Bhattacharya, R Rajan, A Schoar","Journal of Applied Corporate Finance 20 (4), 8-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12616112543497290614,19,2008
The incentive effect of scores: Randomized evidence from credit committees,"D Paravisini, A Schoar",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=124179776793944789,16,2013
Are the seeds of bad governance sown in good times?,"A Schoar, EL Washington",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3663364630589887056,16,2011
The Information and Agency Effects of Scores: Randomized Evidence from Credit Committees∗,"D Paravisini, A Schoar, G Fischer, L Garicano, U Malmendier, A Prat",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13870023288981225292,15,2013
What determines entrepreneurial success? A psychometric study of rural entrepreneurs in India,"V Acharya, A Rajan, A Schoar","Retrieved 11 (14), 2011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2241448573617299668,15,2007
Private equity returns: Persistence and capital flows,"S Kaplan, A Schoar","Unpublished working paper, University of Chicago",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4206768780883641093,15,2003
Belief disagreement and portfolio choice,"M Meeuwis, JA Parker, A Schoar, DI Simester",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=380050812236074205,13,2018
The globalisation of angel investments,"J Lerner, A Schoar, S Sokolinski, K Wilson",Bruegel Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11906110350699063509,12,2015
The importance of holdup in contracting: Evidence from a field experiment,"R Iyer, A Schoar",Cross-disciplinary seminar series in strategy and entrepreneurship,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15264908455340829721,11,2008
Perception of house price risk and homeownership,"M Adelino, A Schoar, F Severino",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2788359741499154173,9,2018
The Incentive Effect of IT: Randomized Evidence from Credit Committees∗,"D Paravisini, A Schoar, G Fischer, L Garicano, U Malmendier, A Prat, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8185177442671355845,9,2013
Incomplete contracts and renegotiation: Evidence from a field audit,"R Iyer, A Schoar",MIT LFE Working Paper No. LFE-0713-10,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1738644861948116953,9,2010
Self-regulation and enforcement in financial markets: evidence from investor-broker disputes at the NASD,"JE Kondo, A Schoar",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13484345699578872182,9,2006
"The Investment Strategies of Sovereign Wealth Funds, Harvard Business School","S Bernstein, J Lerner, A Schoar",Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15938592904326153,7,2009
Ex post (in) efficient negotiation and breakdown of trade,"R Iyer, A Schoar","American Economic Review 105 (5), 291-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2140974781273157214,6,2015
