Title,Authors,Platform,Cited_url,Cited_count,Year
Nonlinear programming,DP Bertsekas,Athena Scientific,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3628960008739470533,14948,1999
Dynamic programming and optimal control,DP Bertsekas,Athena Scientific,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7745829403625287320,2015548599594939355",11405,1995
Data networks,"DP Bertsekas, RG Gallager",Prentice-hall,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2337080912660418291,10859,1987
Parallel and distributed computation,"DP Bertsekas, JN Tsitsiklis",Prentice Hall Inc.,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11356307615117600356,6042877405266264659",7665,1989
Neuro-dynamic programming,"DP Bertsekas, JN Tsitsiklis","Decision and Control, 1995., Proceedings of the 34th IEEE Conference on","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1845086885510205694,14217961705371635673",6191,1996
Constrained optimization and Lagrange multiplier methods,DP Bertsekas,Academic press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13607204264498315473,4741,2014
Dynamic programming and stochastic control,DP Bertsekas,"Systems, Man and Cybernetics, IEEE Transactions on","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15183336011701151202,14691896158960261424,7145882688591962877",3819,1976
Introduction to linear optimization,"D Bertsimas, JN Tsitsiklis","Athena Scientific 6, 479-530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1723148537368479010,3131,1997
Convex analysis and optimization (conservative),"D Bertsekas, A Nedic",Athena Scientific,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17698316598960876640,2335,2003
On the Douglas—Rachford splitting method and the proximal point algorithm for maximal monotone operators,"J Eckstein, DP Bertsekas","Mathematical Programming 55 (1-3), 293-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2127176985912075701,2274,1992
Stochastic optimal control: the discrete-time case,"DP Bertsekas, S Shreve",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11660489421250499495,9881936497113131852",2076,2004
Distributed asynchronous deterministic and stochastic gradient optimization algorithms,"J Tsitsiklis, D Bertsekas, M Athans","IEEE transactions on automatic control 31 (9), 803-812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10691295403956696702,1666,1986
Network optimization: continuous and discrete models,DP Bertsekas,Athena Scientific,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6106151589155410955,1045,1998
Introduction to probability,"DP Bertsekas, JN Tsitsiklis",Athena Scientific,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7083586534258535704,9467177060635795095",896,2002
Recursive state estimation for a set-membership description of uncertainty,"D Bertsekas, I Rhodes","IEEE Transactions on Automatic Control 16 (2), 117-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12940920865950399359,757,1971
Projected Newton methods for optimization problems with simple constraints,DP Bertsekas,"SIAM Journal on control and Optimization 20 (2), 221-246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3106254157002921697,709,1982
On the Goldstein-Levitin-Polyak gradient projection method,DP Bertsekas,"IEEE Transactions on automatic control 21 (2), 174-184",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8575325133215016780,638,1976
Convex optimization theory,DP Bertsekas,Athena Scientific,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=487014779716242362,605,2009
Incremental subgradient methods for nondifferentiable optimization,"A Nedic, DP Bertsekas","SIAM Journal on Optimization 12 (1), 109-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5093859481899989737,593,2001
The auction algorithm: A distributed relaxation method for the assignment problem,DP Bertsekas,"Annals of operations research 14 (1), 105-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14655873855211814347,557,1988
Linear network optimization: algorithms and codes,DP Bertsekas,Mit Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8092391891078420347,9821491809098562883",542,1991
Distributed algorithms for generating loop-free routes in networks with frequently changing topology,"E Gafni, D Bertsekas","IEEE transactions on communications 29 (1), 11-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5874818688965521399,479,1981
An analysis of stochastic shortest path problems,"DP Bertsekas, JN Tsitsiklis","Mathematics of Operations Research 16 (3), 580-595",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13344929547780338423,477,1991
