Title,Authors,Platform,Cited_url,Cited_count,Year
The theory of learning in games,"D Fudenberg, F Drew, DK Levine, DK Levine",MIT press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2267155666262059453,3968,1998
The folk theorem in repeated games with discounting or with incomplete information,"D Fudenberg, E Maskin","A Long-Run Collaboration On Long-Run Games, 209-230","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16654264875318974974,3808740412164577831",2929,2009
"The fat-cat effect, the puppy-dog ploy, and the lean and hungry look","D Fudenberg, J Tirole","American Economic Review 74 (2), 361-366","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9726971368795113655,6790082452023795160",1336,1984
"Game Theory, 616 pages","D Fudenberg, J Tirole",MIT Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3427076670424489972,15858847534201245935,4228427057870201904,7499581692459455483,6910360158997590440,14629588313308833599,5393504868384559791,12113304476650257302,5967827896096259744,16413267568338459787,14309243084749723851,2012586262043870220,6672920609849334308,5917685489680806130,6264541391033028749,1577300402095722925,5460626652123064230",1266,1991
Preemption and rent equalization in the adoption of new technology,"D Fudenberg, J Tirole","The Review of Economic Studies 52 (3), 383-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17644578959602437950,1209,1985
Emergence of cooperation and evolutionary stability in finite populations,"MA Nowak, A Sasaki, C Taylor, D Fudenberg","Nature 428 (6983), 646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10258895151770050593,1121,2004
A dual-self model of impulse control,"D Fudenberg, DK Levine","American economic review 96 (5), 1449-1476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14512973130994851751,1113,2006
The folk theorem with imperfect public information,"D Fudenberg, D Levine, E Maskin","A Long-Run Collaboration On Long-Run Games, 231-273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3663558033695522386,1055,2009
Word-of-mouth communication and social learning,"G Ellison, D Fudenberg","The Quarterly Journal of Economics 110 (1), 93-125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14260987564039074797,1030,1995
A theory of income and dividend smoothing based on incumbency rents,"D Fudenberg, J Tirole","Journal of Political economy 103 (1), 75-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4614927453045560018,949,1995
Rules of thumb for social learning,"G Ellison, D Fudenberg","Journal of political Economy 101 (4), 612-643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1858799711450718377,875,1993
"Preemption, leapfrogging and competition in patent races","D Fudenberg, R Gilbert, J Stiglitz, J Tirole","European Economic Review 22 (1), 3-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17722234785459993724,710,1983
Perfect Bayesian equilibrium and sequential equilibrium,"D Fudenberg, J Tirole","journal of Economic Theory 53 (2), 236-260","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13815061590249510510,13687826047825562944",705,1991
Short-term contracts and long-term agency relationships,"D Fudenberg, B Holmstrom, P Milgrom","Journal of economic theory 51 (1), 1-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5449576126444409592,677,1990
Winners don’t punish,"A Dreber, DG Rand, D Fudenberg, MA Nowak","Nature 452 (7185), 348","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17329102909087622558,13772379792147050388",656,2008
Self-confirming equilibrium,"D Fudenberg, DK Levine","Econometrica: Journal of the Econometric Society, 523-545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4111941813485988297,619,1993
Customer poaching and brand switching,"D Fudenberg, J Tirole","RAND Journal of Economics, 634-657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16630030678954190891,615,2000
Positive interactions promote public cooperation,"DG Rand, A Dreber, T Ellingsen, D Fudenberg, MA Nowak","Science 325 (5945), 1272-1275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3330809686952612731,605,2009
Learning mixed equilibria,"D Fudenberg, DM Kreps","Games and Economic Behavior 5 (3), 320-367","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16558849895408293302,12545845191981925977",580,1993
"A"" signal-jamming"" theory of predation","D Fudenberg, J Tirole","The RAND Journal of Economics, 366-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3983143079993588409,570,1986
Moral hazard and renegotiation in agency contracts,"D Fudenberg, J Tirole","Econometrica: Journal of the Econometric Society, 1279-1319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1240691455168257915,567,1990
Reputation and equilibrium selection in games with a patient player,"D Fudenberg, DK Levine","A Long-Run Collaboration On Long-Run Games, 123-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12789543004058760645,556,2009
Sequential bargaining with incomplete information,"D Fudenberg, J Tirole","The Review of Economic Studies 50 (2), 221-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11899721540354238449,552,1983
Word-of-mouth learning,"A Banerjee, D Fudenberg","Games and economic behavior 46 (1), 1-22","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12147157250237192087,10211019930545595530,4101858385472602170",514,2004
Learning-by-doing and market performance,"D Fudenberg, J Tirole","The Bell Journal of Economics, 522-530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15457392238529033153,489,1983
Inﬁnite-horizon models of bargaining with one-sided incomplete information,E Chaussees,"Game-theoretic models of bargaining, Cambridge University Press, West Nyack …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15878046791207545581,455,1985
Evolution and cooperation in noisy repeated games,"D Fundenberg, E Maskin","The American Economic Review 80 (2), 274-279","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6766142664411640902,7485535203926074262",434,1990
A theory of exit in duopoly,"D Fudenberg, J Tirole","Econometrica: Journal of the Econometric Society, 943-960","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9753302639852612106,1613803467492982430",432,1986
Maintaining a reputation when strategies are imperfectly observed,"D Fudenberg, DK Levine","A Long-Run Collaboration On Long-Run Games, 143-161","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1372310633651770702,12627974225984398898",381,2009
Evolutionary game dynamics in finite populations,"C Taylor, D Fudenberg, A Sasaki, MA Nowak","Bulletin of mathematical biology 66 (6), 1621-1644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4006724180115924114,379,2004
"Upgrades, tradeins, and buybacks","D Fudenberg, J Tirole","The RAND Journal of Economics, 235-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5466482618831475670,369,1998
Consistency and cautious fictitious play,"D Fudenberg, DK Levine","Journal of Economic Dynamics and Control 19 (5-7), 1065-1089",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2973434834925101180,341,1995
Capital as a commitment: Strategic investment to deter mobility,"D Fudenberg, J Tirole","Journal of Economic Theory 31 (2), 227-250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13225548006477089811,322,1983
Evolutionary cycles of cooperation and defection,"LA Imhof, D Fudenberg, MA Nowak","Proceedings of the National Academy of Sciences 102 (31), 10797-10800",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9118911527174581052,321,2005
Behavior-based price discrimination and customer recognition,"D Fudenberg, JM Villas-Boas","Handbook on economics and information systems 1, 377-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9072208510652630171,313,2006
Subgame-perfect equilibria of finite-and infinite-horizon games,"D Fudenberg, D Levine","Journal of Economic Theory 31 (2), 251-268","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12186084582692879614,11104331945042689019",304,1983
Dynamic models of oligopoly,"D Fudenberg, J Tirole",Routledge,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17081950680644955994,12437908646455391937,2520117599787634904,12752819764343924590",303,2013
Evolutionary dynamics with aggregate shocks,"D Fudenberg, C Harris","Journal of Economic Theory 57 (2), 420-441","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11605019486683205635,16475146587074388722",274,1992
