Title,Authors,Platform,Cited_url,Cited_count,Year
Chord: A scalable peer-to-peer lookup service for internet applications,"I Stoica, R Morris, D Karger, MF Kaashoek, H Balakrishnan","ACM SIGCOMM Computer Communication Review 31 (4), 149-160","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10556342542444957251,15884632043026089333",13943,2001
Chord: a scalable peer-to-peer lookup protocol for internet applications,"I Stoica, R Morris, D Liben-Nowell, DR Karger, MF Kaashoek, F Dabek, ...","IEEE/ACM Transactions on Networking (TON) 11 (1), 17-32","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10375899859861590802,238179684953965962",4031,2003
The Click modular router,"E Kohler, R Morris, B Chen, J Jannotti, MF Kaashoek","ACM Transactions on Computer Systems (TOCS) 18 (3), 263-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5336682800474680854,3092,2000
Resilient overlay networks,"D Andersen, H Balakrishnan, F Kaashoek, R Morris","ACM SIGOPS Operating Systems Review 35 (5), 131-145","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1607303719898731717,17932970612656035552",2806,2001
Wide-area cooperative storage with CFS,"F Dabek, MF Kaashoek, D Karger, R Morris, I Stoica","ACM SIGOPS Operating Systems Review 35 (5), 202-215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6416535660281520524,2324,2001
Exokernel: An operating system architecture for application-level resource management,"DR Engler, MF Kaashoek","ACM SIGOPS Operating Systems Review 29 (5), 251-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4636448334605780007,1645,1995
Vivaldi: A decentralized network coordinate system,"F Dabek, R Cox, F Kaashoek, R Morris","ACM SIGCOMM Computer Communication Review 34 (4), 15-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10031454874765877606,1631,2004
Overcast: reliable multicasting with on overlay network,"J Jannotti, DK Gifford, KL Johnson, MF Kaashoek",Proceedings of the 4th Conference on Symposium on Operating System Design …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4202808350934263776,1602,2000
Looking up data in P2P systems,"H Balakrishnan, MF Kaashoek, D Karger, D Karger, R Morris, I Stoica","Communications of the ACM 46 (2), 43-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12080197062919507760,1022,2003
A measurement study of available bandwidth estimation tools,"J Strauss, D Katabi, F Kaashoek, F Kaashoek","Proceedings of the 3rd ACM SIGCOMM conference on Internet measurement, 39-44",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15245040587900388399,900,2003
Koorde: A simple degree-optimal distributed hash table,"MF Kaashoek, DR Karger","International Workshop on Peer-to-Peer Systems, 98-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6819959108645514443,816,2003
Orca: A language for parallel programming of distributed systems,"HE Bal, MF Kaashoek, AS Tanenbaum","IEEE transactions on software engineering, 190-205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14924122120956391575,612,1992
The Click modular router,"R Morris, E Kohler, J Jannotti, MF Kaashoek","ACM SIGOPS Operating Systems Review 33 (5), 217-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11522053809724635230,530,1999
Information flow control for standard OS abstractions,"M Krohn, A Yip, M Brodsky, N Cliffer, MF Kaashoek, E Kohler, R Morris","ACM SIGOPS Operating Systems Review 41 (6), 321-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18369657566036277671,515,2007
Separating key management from file system security,"D Mazieres, M Kaminsky, MF Kaashoek, E Witchel","ACM SIGOPS Operating Systems Review 33 (5), 124-139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18063956578504470822,511,1999
Designing a DHT for Low Latency and High Throughput.,"F Dabek, J Li, E Sit, J Robertson, MF Kaashoek, RT Morris","NSDI 4, 85-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8371358543917230604,485,2004
Corey: An Operating System for Many Cores.,"S Boyd-Wickizer, H Chen, R Chen, Y Mao, MF Kaashoek, RT Morris, ...","OSDI 8, 43-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16282705959244932112,468,2008
An Analysis of Linux Scalability to Many Cores.,"S Boyd-Wickizer, AT Clements, Y Mao, A Pesterev, MF Kaashoek, ...","OSDI 10 (13), 86-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14461514162779120259,437,2010
Rover: A toolkit for mobile information access,"AD Joseph, AF de Lespinasse, JA Tauber, DK Gifford, MF Kaashoek","ACM SIGOPS Operating Systems Review 29 (5), 156-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=651484024575694520,428,1995
Labels and event processes in the Asbestos operating system,"P Efstathopoulos, M Krohn, S VanDeBogart, C Frey, D Ziegler, E Kohler, ...","ACM SIGOPS Operating Systems Review 39 (5), 17-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14937596709625421783,418,2005
