Title,Authors,Platform,Cited_url,Cited_count,Year
Bridging the boundary: External activity and performance in organizational teams.,"DG Ancona, DF Caldwell",Administrative science quarterly 37 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15729203440719515212,3018,1992
Demography and design: Predictors of new product team performance,"DG Ancona, DF Caldwell","Organization science 3 (3), 321-341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5526251546766803305,2667,1992
Time: A new research lens,"DG Ancona, PS Goodman, BS Lawrence, ML Tushman","Academy of management Review 26 (4), 645-663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=846120005592656575,963,2001
Outward bound: strategic for team survival in an organization,DG Ancona,"Academy of Management journal 33 (2), 334-365",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15826027335095576132,892,1990
Taking time to integrate temporal research,"DG Ancona, GA Okhuysen, LA Perlow","Academy of Management Review 26 (4), 512-529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1648256105466004337,710,2001
"Entrainment: Pace, cycle, and rhythm in organizational behavior","D Ancona, CL Chong","RESEARCH IN ORGANIZATIONAL BEHAVIOR, VOL 18, 1996 18, 251-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13883901230539052221,588,1996
Beyond task and maintenance: Defining external functions in groups,"DG Ancona, DF Caldwell","Group & Organization Studies 13 (4), 468-494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12057617561832646999,492,1988
In praise of the incomplete leader,"D Ancona, TW Malone, WJ Orlikowski, PM Senge",Harvard Business Review 85 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7262001269607336566,387,2007
Beyond boundary spanning: Managing external dependence in product development teams,"DG Ancona, D Caldwell","The Journal of High Technology Management Research 1 (2), 119-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6871758992221599309,298,1990
"X-teams: How to build teams that lead, innovate, and succeed","D Ancona, DG Ancona, H Bresman",Harvard Business Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8857261980457023019,283,2007
Managing for the Future,DG Ancona,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3717063576272152418,255,1996
Framing and Acting in the Unknown,D Ancona,"S. Snook, N. Nohria, & R. Khurana, The Handbook for Teaching Leadership, 3-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9087955537679017868,221,2012
The comparative advantage of X-teams,"D Ancona, H Bresman, K Kaeufer","MIT Sloan management review 43 (3), 33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5501268205029910420,218,2002
Management issues facing new product teams in high technology companies,"DG Ancona, D Caldwell",Advances in industrial and labor relations 4 (191.221),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16892017618383539417,195,1987
Groups in organizations: Extending laboratory models,DG Ancona,"Cambridge, Mass.: Sloan School of Management, Massachusetts Institute of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8136067805089021921,173,1986
Improving the performance of new product teams,"DG Ancona, D Caldwell","Research-Technology Management 33 (2), 25-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8408991270421411502,171,1990
Top hats and executive tales: Designing the senior team,"DG Ancona, DA Nadler","MIT Sloan Management Review 31 (1), 19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12269026939558770923,169,1989
The functional perspective as a lens for understanding groups,"GM Wittenbaum, AB Hollingshead, PB Paulus, RY Hirokawa, DG Ancona, ...","Small group research 35 (1), 17-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8250893882557658156,162,2004
Cycles and synchrony: The temporal role of context in team behavior,"DG Ancona, CL Chong","Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17736483388352058235,117,1999
Rethinking team composition from the outside in.,"DG Ancona, DF Caldwell",Elsevier Science/JAI Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=978081572827510752,115,1998
Information technology and work groups: The case of new product teams,"DG Ancona, DF Caldwell","Intellectual teamwork, 187-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7284631338921403121,110,2014
Top management teams: Preparing for the revolution,DG Ancona,"Applied social psychology and organizational settings 99, 128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1536410554801138366,84,1990
Leadership in an Age of Uncertainty,D Ancona,"Center for Business Research Brief 6 (1), 1-3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1160235608868267020,81,2005
A look at groups from the functional perspective,"AB Hollingshead, G Wittenbaum, DG Ancona, KA Jehn, PB Paulus, ...","THEORIES OF SMALL GROUPS, MS Poole & AB Hollingshead, eds., Thousand Oaks …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9449289638561965858,79,2005
The group and what happens on the way to “Yes’,"DG Ancona, RA Friedman, DM Kolb","Negotiation Journal 7 (2), 155-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9728949302371353179,61,1991
The classics and the contemporary--a new blend of small group theory,DG Ancona,"Alfred P. Sloan School of Management, Massachusetts Institute of Technology …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10253011634758004535,60,2003
Cross-functional teams: Blessing or curse for new product development,"DG Ancona, D Caldwell","Transforming organizations, 154-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11730327117262884803,60,1992
Improving the performance of new product teams,"DG Ancona, D Caldwell","Research-Technology Management 50 (5), 37-43",,49,2007
Improving the performance of new product teams,"DG Ancona, D Caldwell","Research-Technology Management 50 (5), 37-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8616399946295804284,49,2007
Introduction to the special issue,MB Goodman,Corporate Communications: An International Journal,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11723003012338302484,48,2010
The effect of temporal entrainment on the ability of teams to change their routines,"M Zellmer-Bruhn, MJ Waller, D Ancona","Time in groups, 135-158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5940784778667864242,47,2004
Compose teams to assure successful boundary activity,"D Ancona, D Caldwell","Handbook of principles of organizational behavior, 295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15349021293229422328,41,2009
Making teamwork work: Boundary management in product development teams,"DG Ancona, DF Caldwell","Managing strategic innovation and change: A collection of readings, 433-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8898143727834352217,40,1997
The X-factor: Six steps to leading high-performing X-teams.,"D Ancona, H Bresman, D Caldwell",Organizational dynamics,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15565054105215582895,39,2009
The dance of entrainment: Temporally navigating across multiple pacers,"D Ancona, MJ Waller","Workplace Temporalities, 115-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2929571880839259443,37,2007
"Begging, borrowing and building on ideas from the outside to create pulsed innovation inside teams","DG Ancona, H Bresman","Creativity and innovation in organizational teams, 183-198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1662211784438748637,35,2006
Entrainment--cycles and synergy in organizational behavior,"DG Ancona, CL Chong","Alfred P. Sloan School of Management, Massachusetts Institute of Technology …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4336101557649915388,4691128826538206434",27,2003
Special topic forum on time and organizational research-Introduction,"PS Goodman, DG Ancona, BS Lawrence, ML Tushman","Academy of Management Review 26 (4), 507-511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14702668535525999955,27,2001
Structural balance in teams,"D Ancona, W Isaacs","Exploring positive relationships at work, 225-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11679627347669357714,20,2017
Distributed leadership,"D Ancona, E Backman","Leadership Excellence 27 (1), 11-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12969245013130371375,19,2010
"Attempting Work Reform: The Case of"" Parkside"" Hospital","MD Hanlon, D Nadler, DG Ancona",Wiley-Interscience,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15017405279102028144,19,1985
X-Teams: New ways of leading in a new world,"D Ancona, E Backman, H Bresman",Ivey Business Journal Online 72 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16467186961403410006,18,2008
TIMING IS EVERYTHING: ENTRAINMENT AND PERFORMANCE IN ORGANIZATION THEORY.,"DG Ancona, CL Chong","Academy of Management Proceedings 1992 (1), 166-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10940814953177252196,16,1992
Speeding product development--making teamwork work,"DG Ancona, DF Caldwell","Alfred P. Sloan School of Management, Massachusetts Institute of Technology …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13498942938465631845,15,2003
Teamwork at the top: creating high performing executive teams,"DG Ancona, D Nadler","Alfred P. Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7002147761900429236,14,1989
The functional perspective,"JN Cummings, DG Ancona","The Handbook of group research and practice, 107-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10104164417970317574,13,2005
Introduction to the special issue: time in organizations,"PS Goodman, BS Lawrence, DJ Ancona, MJ Tushman","Academy of Management Review 26 (4), 507-511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6632218583969233276,8,2001
"Zespoły X: jak budować zespoły, które odnoszą sukces","DG Ancona, H Bresman, A Kozłowska",Oficyna a Wolters Kluwer Business,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9409166810445873301,7,2013
The changing role of teams in organizations: strategies for survival,DG Ancona,"Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3650571428690594879,7,1991
Two roads to green: a tale of bureaucratic versus distributed leadership models of change,"DG Ancona, E Backman, KW Isaacs",Oxford University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2706799729308343178,6,2015
In praise of the incomplete leader,"D Ancona, TW Malone, WJ Orlikowski, PM Senge","IEEE Engineering Management Review 37 (3), 29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2107361429447789369,6,2009
Bridging the boundary--external process and performance in organizational teams,"DG Ancona, DF Caldwell","Cambridge, Mass.: Sloan School of Management, Massachusetts Institute of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16544881053070529967,6,1991
"Management issues facing new product teams in high technology companies. Advances in Industrial and Labour Relations, Vol. 4","D Ancona, D Caldwell","JAI Press, Greenwich, CT",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11416540505667875606,6,1987
Relational Leadership: New Developments in Theory and Practice,"JH Gittell, A Douglass, D Ancona, E Backman, K Parrot","Waltham, MA: Brandeis University.(White paper)",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10530757834286573366,5,2011
What do we really want? A manifesto for the Organizations of the 21st Century,"D Ancona, L Bailyn, E Brynjolfsson, J Carroll, T Kochan, D Lessard, ...","Inventing the Organizations of the 21st Century”, Malone, Thomas et al.(eds …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3239094192483371031,5,2003
Introduction to special topic forum on time and organizational research,"D Ancona, P Goodman, B Lawrence, M Tushman",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1877093446383569149,4,2001
Elogio del líder incompleto,"D Ancona, TW Malone, WJ Orlikowski, PM Senge","Harvard Business Review 85 (2), 66-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11328186019914761595,3,2007
Nimble leadership,"D Ancona, E Backman, K Isaacs","Harvard Business Review 97, 74-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2091902491748722483,2,2019
HBR's 10 must reads on leadership,D Ancona,Harvard Business Review Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7300631328909629309,2,2011
"X-Teams: How To Build Teams That Lead, Innovate, And Succeed","H Bresman, D Ancona",Harvard Business Review,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2638055813085693463,2,2007
Time and timing in top management teams,"DG Ancona, CL Chong","Alfred P. Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8313851921637486134,2,1993
PERFORMANCE STRATEGIES FOR INTERDEPENDENT ORGANIZATIONAL TEAMS.,"DF Caldwell, DG Ancona","Academy of Management Proceedings 1991 (1), 163-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5358750151497392440,2,1991
Cross functional teams: blessing or curse for new problem development,"DG Ancona, DE Caldwell","Alfred P. Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11631362092313667956,2,1990
The Ins and Outs of Leading Teams,"CL Pearce, HP Sims",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9185333379529135966,1,2009
Three perspectives on organizations,"D Ancona, T Kochan, J Van Maanen, E Westney",Managing for the future: Organizational behavior and processes,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16328294095443913333,1,2005
"Book Reviews--Strategies for Learning: Small-Group Activities in American, Japanese, and Swedish Industry by Robert E. Cole",D Ancona,"Administrative Science Quarterly 36 (2), 309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12920556115818897579,1,1991
Group development in organizations: from the outside in,DG Ancona,"Cambridge, Mass.: Sloan School of Management, Massachusetts Institute of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4287101708546906211,1,1986
Nimble Leadership Walking the line between creativity and chaos,"D Ancona, E Backman, K Isaacs","HARVARD BUSINESS REVIEW 97 (4), 74-+",,0,2019
Identity Structure as an Escape from Entrapment,"I Cojuharenco, D Ancona","Academy of Management Proceedings 2013 (1), 11365",,0,2013
Contributors and Editor,"M Alavi, TM Amabile, D Ancona, BB Baltes, A Bandura, MR Barrick, ...",HANDBOOK OF PRINCIPLES OF ORGANIZATIONAL BEHAVIOR,,0,2009
Organizational Dynamics Volume 38,"D Ancona, H Bresman, MS Augustine, CD Cooper, JL Barsoux, ...","Connective 38 (3), 225-233",,0,2009
Reading 26 Beyond Task and Maintenance: Defining External Functions in Groups,"DG Ancona, DF Caldwell","Small Groups, 515-530",,0,2008
X-teams: Extroverted Teams that Lead and Innovate,"DG Ancona, G Gurley",Board of Trustees of the Leland Stanford Junior University,,0,2008
「分散型リーダーシップ」 のすすめ 完全なるリーダーはいらない (Feature Articles 「脱」 管理主義のリーダーシップ),"D Ancona, TW Malone, WJ Orlikowski","Diamond ハーバード・ビジネス・レビュー 32 (9), 48-61",,0,2007
"Thinking Outside the Team: Most team leaders focus on building internal dynamics, but a team's success has more to do with external factors","D Ancona, H Bresman","HR MAGAZINE 52 (9), 133",,0,2007
A Look at Groups From the Functional Perspective,"GM Wittenbaum, PB Paulus, RY Hirokawa, DG Ancona, RS Peterson, ...","Theories of Small Groups: Interdisciplinary Perspectives, 21",,0,2004
Team design and performance: a study of short-term enterpreneurial teams,"DG Ancona, MD Foo",Massachusetts Institute of Technology,,0,1999
CYCLES AND SYNCHRONY: THE TEMPORAL ROLE OF CONTEXT,"D Ancona, CL Chong",,,0,1999
Selected modules from managing for the future,DG Ancona,South-Western Pub,,0,1998
Following the Phenomena: Time and Timing in Teams,DG Ancona,"Interdisciplinary Committee on Organizational Studies (ICOS), University of …",,0,1997
ORGANIZATION & MANAGEMENT THEORY.,"DG Ancona, C Chee-Leong, PD Collins","Academy of Management Proceedings, 165-195",,0,1992
"[BOOK REVIEW] Strategies for learning, small-group activities in American, Japanese, and Swedish industry",RE Cole,"Administrative Science Quarterly 36, 309-312",,0,1991
The New Professionals: Managing Today's High-Tech Employees By Mary Ann Von Glinow (Book Review),DG Ancona,"Sloan Management Review 30 (4), 83",,0,1989
Understanding the task of the new product team,"DG Ancona, DF Caldwell","Sloan School of Management, Massachusetts Institute of Technology",,0,1987
Process-performance Relationships in Task Groups,DG Ancona,Columbia University,,0,1982
tions: A Guantitative Approach to tłue Assessment of Organizational Culture,"DG ANCONA, D CALDWELL, B Task",,,0,0
The editors and staff of JET-M would like to express their sincere thanks and appreciation to the many scholars who helped in reviewing manuscripts for JET-M. In addition to …,"D Ancona, S Burley, C Christensen, WE Egelhoff, A GrifSin, TL Grzfith, ...",,,0,0
13The Comparative Advantage of X-Teams,"D Ancona, H Bresman, K Kaeufer","Inventing the Organizations of the 21st Century, 283",,0,0
