Title,Authors,Platform,Cited_url,Cited_count,Year
TAG: A tiny aggregation service for ad-hoc sensor networks,"S Madden, MJ Franklin, JM Hellerstein, W Hong","ACM SIGOPS Operating Systems Review 36 (SI), 131-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15109435484888639161,3990,2002
Directed diffusion for wireless sensor networking,"C Intanagonwiwat, R Govindan, D Estrin, J Heidemann, F Silva","IEEE/ACM Transactions on Networking (ToN) 11 (1), 2-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7301927131588407878,3514,2003
TinyDB: an acquisitional query processing system for sensor networks,"SR Madden, MJ Franklin, JM Hellerstein, W Hong","ACM Transactions on database systems (TODS) 30 (1), 122-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8626088275659328767,2588,2005
Telegraphcq: Continuous dataflow processing for an Uncertain world.,"S Chandrasekaran, O Cooper, A Deshpande, MJ Franklin, JM Hellerstein, ...","Cidr 2, 4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10786411096733434131,2000,2003
TinyOS: An operating system for sensor networks,"P Levis, S Madden, J Polastre, R Szewczyk, K Whitehouse, A Woo, D Gay, ...","Ambient intelligence, 115-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16672264386160627744,1996,2005
C-store: a column-oriented DBMS,"M Stonebraker, DJ Abadi, A Batkin, X Chen, M Cherniack, M Ferreira, ...",Proceedings of the 31st international conference on Very large data bases …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12924804892742402591,1427,2005
Model-driven data acquisition in sensor networks,"A Deshpande, C Guestrin, SR Madden, JM Hellerstein, W Hong",Proceedings of the Thirtieth international conference on Very large data …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8820744877068121712,1413,2004
A comparison of approaches to large-scale data analysis,"A Pavlo, E Paulson, A Rasin, DJ Abadi, DJ DeWitt, S Madden, ...",Proceedings of the 2009 ACM SIGMOD International Conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10701937720107735039,1379,2009
CarTel: a distributed mobile sensor computing system,"B Hull, V Bychkovsky, Y Zhang, K Chen, M Goraczko, A Miu, E Shih, ...",Proceedings of the 4th international conference on Embedded networked sensor …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1803088067285561279,1337,2006
The design of an acquisitional query processor for sensor networks,"S Madden, MJ Franklin, JM Hellerstein, W Hong",Proceedings of the 2003 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14504340415813180027,1298,2003
The pothole patrol: using a mobile sensor network for road surface monitoring,"J Eriksson, L Girod, B Hull, R Newton, S Madden, H Balakrishnan",Proceedings of the 6th international conference on Mobile systems …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6749899763340708365,12047235226750441317",1028,2008
"VTrack: accurate, energy-aware road traffic delay estimation using mobile phones","A Thiagarajan, L Ravindranath, K LaCurts, S Madden, H Balakrishnan, ...",Proceedings of the 7th ACM conference on embedded networked sensor systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7458146813718642581,934,2009
Continuously adaptive continuous queries over streams,"S Madden, M Shah, JM Hellerstein, V Raman",Proceedings of the 2002 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1537661248458276928,859,2002
Scalable semantic web data management using vertical partitioning,"DJ Abadi, A Marcus, SR Madden, K Hollenbach",Proceedings of the 33rd international conference on Very large data bases …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13457259027098625118,852,2007
The end of an architectural era:(it's time for a complete rewrite),"M Stonebraker, S Madden, DJ Abadi, S Harizopoulos, N Hachem, ...",Proceedings of the 33rd international conference on Very large data bases …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1845876197174939675,806,2007
Fjording the stream: An architecture for queries over streaming sensor data,"S Madden, MJ Franklin","icde 2, 555",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13784030639897270537,693,2002
Integrating compression and execution in column-oriented database systems,"D Abadi, S Madden, M Ferreira",Proceedings of the 2006 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8745139660521680810,687,2006
