Title,Authors,Platform,Cited_url,Cited_count,Year
"MicroRNAs: genomics, biogenesis, mechanism, and function",DP Bartel,"cell 116 (2), 281-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11879172199875667526,32097,2004
MicroRNAs: target recognition and regulatory functions,DP Bartel,"cell 136 (2), 215-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4292218884247059284,15910,2009
"Conserved seed pairing, often flanked by adenosines, indicates that thousands of human genes are microRNA targets","BP Lewis, CB Burge, DP Bartel","cell 120 (1), 15-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2767324901057173901,11804,2005
Most mammalian mRNAs are conserved targets of microRNAs,"RC Friedman, KKH Farh, CB Burge, DP Bartel","Genome research 19 (1), 92-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16130633581083078604,6817,2009
Prediction of mammalian microRNA targets,"BP Lewis, I Shih, MW Jones-Rhoades, DP Bartel, CB Burge","Cell 115 (7), 787-798","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16152461650078927457,9925383231373735805",5469,2003
Microarray analysis shows that some microRNAs downregulate large numbers of target mRNAs,"LP Lim, NC Lau, P Garrett-Engele, A Grimson, JM Schelter, J Castle, ...","Nature 433 (7027), 769",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1904202191300682184,5022,2005
An abundant class of tiny RNAs with probable regulatory roles in Caenorhabditis elegans,"NC Lau, LP Lim, EG Weinstein, DP Bartel","Science 294 (5543), 858-862","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9298564232662143657,13969174371543604017",3969,2001
MicroRNA targeting specificity in mammals: determinants beyond seed pairing,"A Grimson, KKH Farh, WK Johnston, P Garrett-Engele, LP Lim, DP Bartel","Molecular cell 27 (1), 91-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12916228638567345907,3739,2007
RNAi: double-stranded RNA directs the ATP-dependent cleavage of mRNA at 21 to 23 nucleotide intervals,"PD Zamore, T Tuschl, PA Sharp, DP Bartel","Cell 101 (1), 25-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9420628181206554502,3738,2000
MicroRNAs modulate hematopoietic lineage differentiation,"CZ Chen, L Li, HF Lodish, DP Bartel","science 303 (5654), 83-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=959770846507752290,3602,2004
Mammalian microRNAs predominantly act to decrease target mRNA levels,"H Guo, NT Ingolia, JS Weissman, DP Bartel","Nature 466 (7308), 835",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14609777352388331209,3526,2010
The impact of microRNAs on protein output,"D Baek, J Villén, C Shin, FD Camargo, SP Gygi, DP Bartel","Nature 455 (7209), 64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=131728420773330113,3518,2008
MicroRNAs and their regulatory roles in plants,"MW Jones-Rhoades, DP Bartel, B Bartel","Annu. Rev. Plant Biol. 57, 19-53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11380065858564227349,2381,2006
Control of developmental regulators by Polycomb in human embryonic stem cells,"TI Lee, RG Jenner, LA Boyer, MG Guenther, SS Levine, RM Kumar, ...","Cell 125 (2), 301-313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16203265725106001722,2341,2006
Prediction of plant microRNA targets,"MW Rhoades, BJ Reinhart, LP Lim, CB Burge, B Bartel, DP Bartel","cell 110 (4), 513-520",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11306392574258627384,2323,2002
MicroRNAs in plants,"BJ Reinhart, EG Weinstein, MW Rhoades, B Bartel, DP Bartel","Genes & development 16 (13), 1616-1626",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7758823740779208628,2292,2002
Predicting effective microRNA target sites in mammalian mRNAs,"V Agarwal, GW Bell, JW Nam, DP Bartel","elife 4, e05005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1261081630227149043,2231,2015
"Computational identification of plant microRNAs and their targets, including a stress-induced miRNA","MW Jones-Rhoades, DP Bartel","Molecular cell 14 (6), 787-799",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15221493314351216985,2174,2004
MicroRNA-directed cleavage of HOXB8 mRNA,"S Yekta, I Shih, DP Bartel","Science 304 (5670), 594-596",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15570314568040793122,2037,2004
A uniform system for microRNA annotation,"V Ambros, B Bartel, DP Bartel, CB Burge, JC Carrington, X Chen, ...","Rna 9 (3), 277-279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11815804998819181381,1997,2003
The widespread impact of mammalian MicroRNAs on mRNA repression and evolution,"KKH Farh, A Grimson, C Jan, BP Lewis, WK Johnston, LP Lim, CB Burge, ...","Science 310 (5755), 1817-1821",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14920028089725191662,1604,2005
The microRNAs of Caenorhabditis elegans,"LP Lim, NC Lau, EG Weinstein, A Abdelhakim, S Yekta, MW Rhoades, ...","Genes & development 17 (8), 991-1008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8695842398282976063,1566,2003
Microarray profiling of microRNAs reveals frequent coexpression with neighboring miRNAs and host genes,"S Baskerville, DP Bartel","Rna 11 (3), 241-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16094412507081645772,1530,2005
