Title,Authors,Platform,Cited_url,Cited_count,Year
Equity issues and offering dilution,"P Asquith, DW Mullins Jr","Journal of financial economics 15 (1-2), 61-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6916896585673252688,2228,1986
"Merger bids, uncertainty, and stockholder returns",P Asquith,"journal of Financial Economics 11 (1-4), 51-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15456739888902208069,1479,1983
The gains to bidding firms from merger,"P Asquith, RF Bruner, DW Mullins Jr","Journal of financial economics 11 (1-4), 121-139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12047171109214331710,1463,1983
The impact of initiating dividend payments on shareholders' wealth,"P Asquith, DW Mullins Jr","Journal of business, 77-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5168965575959205628,1283,1983
Anatomy of financial distress: An examination of junk-bond issuers,"P Asquith, R Gertner, D Scharfstein","The Quarterly Journal of Economics 109 (3), 625-658","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14653497546591310128,2223825947457192475",1101,1994
Information content of equity analyst reports,"P Asquith, MB Mikhail, AS Au","Journal of financial economics 75 (2), 245-282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11737519948081476252,933,2005
"Short interest, institutional ownership, and stock returns","P Asquith, PA Pathak, JR Ritter","Journal of Financial Economics 78 (2), 243-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6732489491619614086,872,2005
"Signalling with dividends, stock repurchases, and equity issues","P Asquith, DW Mullins Jr","Financial management, 27-44","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18177154961112847652,1323344186725107377,1312978033604035768",474,1986
Performance pricing in bank debt contracts,"P Asquith, A Beatty, J Weber","Journal of Accounting and Economics 40 (1-3), 101-128","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11486783655143173179,13445798393039271950",428,2005
An empirical investigation of short interest,"P Asquith, LK Meulbroek","Division of Research, Harvard Business School",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1553461213531665614,370,1995
The impact of merger bids on the participating firms' security holders,"P Asquith, EH Kim","The Journal of Finance 37 (5), 1209-1228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10795420032832922526,359,1982
"Event risk, covenants, and bondholder returns in leveraged buyouts","P Asquith, TA Wizman","Journal of Financial Economics 27 (1), 195-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2422109273183247107,348,1990
Earnings and stock splits,"P Asquith, P Healy, K Palepu","Accounting Review, 387-403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11709440106846613038,331,1989
Merger returns and the form of financing,"P Asquith, RF Bruner, DW Mullins","Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16157179188776677125,282,1990
"Original issue high yield bonds: Aging analyses of defaults, exchanges, and calls","P Asquith, DW Mullins Jr, ED Wolff","The Journal of Finance 44 (4), 923-952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8662602968306559837,241,1989
Convertible debt: Corporate call policy and voluntary conversion,"P Asquith, DW Mullins Jr","The Journal of Finance 46 (4), 1273-1289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=366951906890636898,154,1991
Convertible bonds are not called late,P Asquith,"The Journal of Finance 50 (4), 1275-1289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6279976632026358551,147,1995
The market for borrowing corporate bonds,"P Asquith, AS Au, T Covert, PA Pathak","Journal of Financial Economics 107 (1), 155-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3464404294270765098,84,2013
Short sales and trade classification algorithms,"P Asquith, R Oman, C Safaya","Journal of Financial Markets 13 (1), 157-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13993670242156572488,75,2010
The effects of mandatory transparency in financial market design: Evidence from the corporate bond market,"P Asquith, T Covert, P Pathak",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=148927314295409324,58,2013
Short interest and stock returns,"P Asquith, PA Pathak, JR Ritter",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8466442459928099898,28,2004
Convertible debt--a dynamic test of call policy,P Asquith,"Alfred P. Sloan School of Management, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15029331593615852634,25,1992
"A two-event study of merger bids, market uncertainty, and stockholder returns",P Asquith,"University of Chicago, Department of Economics",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9210398307998312027,20,1980
Der Föderalismus und die Arbeitslosigkeit: eine vernachlässigte Beziehung,N Berthold,Wirtschaftswissenschaftliche Beiträge des Lehrstuhls für …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1656733054789810707,18,1998
A test of IPO theories using reverse mergers,"P Asquith, KF Rock",Available at SSRN 1737742,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10691101817580111141,13,2011
"Lessons in corporate finance: A case studies approach to financial tools, financial policies, and valuation","P Asquith, LA Weiss",John Wiley & Sons,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9436342656296849408,11,2019
Fire the caterer: a test of catering theory for corporate dividend payout policy,AW Lue,Massachusetts Institute of Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7588558002126237605,1,2011
The Lee-Ready Algorithm Fails When Classifying Short Sales,"P Asquith, R Oman, C Safaya",Unpublished working paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=790142352548908356,1,2006
The Impact of merger bids on the welfare of the participating firms' securityholders,P Asquith,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9313931044430184536,1,1981
Classification of eye-state using EEG recordings: speed-up gains using signal epochs and mutual information measure,"PM Asquith, H Ihshaish",Proceedings of the 23rd International Database Applications & Engineering …,,0,2019
Post Merger Integration: A Tailored Approach to Sustainable Transaction Success,"S Aaronovitch, CS Malcom, M Agarwal, M Agarwal, B Aditya, M Agarwal, ...",The Globalisation of Indian Business: Cross Border Mergers and Acquisitions …,,0,2018
"Rebuttal of Short Sales, Long Sales, and the Lee-Ready Trade Classification Algorithm Revisited","P Asquith, R Oman, C Safaya","Long Sales, and the Lee-Ready Trade Classification Algorithm Revisited …",,0,2012
The Effect of Short Sales Constraints on Shorting Volume and Price Formation,"PA Pathak, P Asquith",,,0,2006
"Almeida, Heitor and Daniel Wolfenzon, The effect of external finance on the equilibrium allocation of capital","P Asquith, MB Mikhail, AS Au","Journal of Financial Economics 75, 735",,0,2005
Working Paper4264-02 September 2002,"MB Mikhail, P Asquith, A Au",,,0,2002
MANAGING EDITORS,"J Karpoff, G Alexander, P Asquith, S Bhagat, S Brown, L Dann, W Ferson, ...",,,0,1994
Editorial collaborators Volumes 35 and 36,"Y AMIHUD, K AMIN, P ASQUITH, C BALDWIN, B BARBER, ...","Journal of Financial Economics 36, 385-3Z7",,0,1994
MANAGING EDITORS,"P Asquith, NF Chen, R Geske, C Harvey, G Jarrell, R Korajczyk, ...",,,0,1993
MANAGING EDITORS,"P Malatesta, G Alexander, P Asquith, R Jarrow, R Masulis, J McConnell, ...",,,0,1991
"Authors of Articles in the Subject Index for page numbers, in italics.",M Ayadi,Accounting Review 64 (1),,0,1989
Earnings and stock splits,"PM Healy, P Asquith, KG Palepu","Cambridge, Mass.: Sloan School of Management, Massachusetts Institute of …",,0,1987
CONOMIC,"V SCHWERT, RM STULZ, EF FAMA, P ASQUITH, F BLACK, U BREEDEN, ...","Journal of Financial Economics, 139",,0,1986
MUKHTAR AL1,"P ASQUITH, S BHATTACHARYA, M BRADLEY, S BROWN, A CHRISTIE, ...","Journal of Fmanclal Economics 10, 487-488",,0,1982
"Lessons in Corporate Finance: A Case Studies Approach to Financial Tools, Financial Policies, and Valuation (Wiley Finance)","P Asquith, LA Weiss",,,0,0
Principal Fields of Interest,P Asquith,,,0,0
"The Effects of Mandatory Transparency in Financial Market Design: Evidence from the Corporate Bond Market1 Paul Asquith Thomas R. Covert Parag A. Pathak2 This draft: April 4, 2019",P Asquith,,,0,0
Leveraged Betas and the Cost of Equity,"P Asquith, DM Mullins",,,0,0
JaumaJ of Financial Economics 11 (1983) 475. North-Holland Publishing Company,"P Asquith, RF Bruner, DW Mullins Jr",,,0,0
