Title,Authors,Platform,Cited_url,Cited_count,Year
Robot analysis and control,"H Asada, JJE Slotine",John Wiley & Sons,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11356554820065116776,9640681202398917755,13470037460186802822",1548,1986
Kinematic analysis of workpart fixturing for flexible assembly with automatically reconfigurable fixtures,"H Asada, A By","IEEE Journal on Robotics and Automation 1 (2), 86-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=441563133531917632,559,1985
Mobile monitoring with wearable photoplethysmographic biosensors,"HH Asada, P Shaltis, A Reisner, S Rhee, RC Hutchinson","IEEE engineering in medicine and biology magazine 22 (3), 28-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15437758532571320549,505,2003
A geometrical representation of manipulator dynamics and its application to arm design,H Asada,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8863426358798606891,422,1983
Patient monitoring finger ring sensor,"HH Asada, BH Yang, KYS Siu, KW Chang","US Patent 5,964,701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=490378988457912101,370,1999
Statics,"H Asada, K Youcef-Toumi",MIT press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=160343360268082069,365,1987
Artifact-resistant power-efficient design of finger-ring plethysmographic sensors,"S Rhee, BH Yang, HH Asada","IEEE transactions on biomedical engineering 48 (7), 795-805",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13521701837065464645,364,2001
Adaptable control of HVAC systems,"CC Federspiel, H Asada","US Patent 5,170,935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13798915569421647881,320,1992
A new method for identifying orders of input-output models for nonlinear dynamic systems,"X He, H Asada","1993 American Control Conference, 2520-2523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6652773827855380400,297,1993
Introduction to robotics,SK Saha,Tata McGraw-Hill Education,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17793457606034035257,294,2014
Utility of the photoplethysmogram in circulatory monitoring,"A Reisner, PA Shaltis, D McCombie, HH Asada",Anesthesiology: The Journal of the American Society of Anesthesiologists 108 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9723405672412747727,276,2008
Analysis and design of a direct-drive arm with a five-bar-link parallel drive mechanism,"H Asada, K Youcef-Toumi",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8291591480167389273,276,1984
Inverse dynamics of flexible robot arms: Modeling and computation for trajectory control,"H Asada, ZD Ma, H Tokumaru",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4158511126507899748,216,1990
Modeling of vapor compression cycles for multivariable feedback control of HVAC systems,"XD He, S Liu, HH Asada","Journal of dynamic systems, measurement, and control 119 (2), 183-191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12768923954768670690,211,1997
Control of a direct-drive arm,"H Asada, T Kanade, I Takeyama","Journal of Dynamic Systems, Measurement, and Control 105 (3), 136-142","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14468329687988878662,8868260050361088576",210,1983
