Title,Authors,Platform,Cited_url,Cited_count,Year
Human arm trajectory formation.,"W Abend, E Bizzi, P Morasso","Brain: a journal of neurology 105 (Pt 2), 331-348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6922251381546161962,1279,1982
"Neural, mechanical, and geometric factors subserving arm posture in humans","FA Mussa-Ivaldi, N Hogan, E Bizzi","Journal of Neuroscience 5 (10), 2732-2743",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17273918204210162547,1177,1985
Consolidation in human motor memory,"T Brashers-Krug, R Shadmehr, E Bizzi","Nature 382 (6588), 252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5888274738916803648,1014,1996
Combinations of muscle synergies in the construction of a natural motor behavior,"A d'Avella, P Saltiel, E Bizzi","Nature neuroscience 6 (3), 300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15244298838621520111,983,2003
Characteristics of motor programs underlying arm movements in monkeys,"A Polit, E Bizzi","journal of Neurophysiology 42 (1), 183-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3443052072604333316,909,1979
Posture control and trajectory formation during arm movement,"E Bizzi, N Accornero, W Chapple, N Hogan","Journal of Neuroscience 4 (11), 2738-2744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2541072559870359289,866,1984
Computations underlying the execution of movement: a biological perspective,"E Bizzi, FA Mussa-Ivaldi, S Giszter","Science 253 (5017), 287-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15698639337022016656,744,1991
Convergent force fields organized in the frog's spinal cord,"SF Giszter, FA Mussa-Ivaldi, E Bizzi","Journal of neuroscience 13 (2), 467-491",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7702436618500373395,711,1993
Mechanisms underlying achievement of final head position,"E Bizzi, A Polit, P Morasso","Journal of neurophysiology 39 (2), 435-444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2080902714477498269,689,1976
Does the nervous system use equilibrium-point control to guide single and multiple joint,"E Bizzi, N Hogan, FA Mussa-valdi, S Giszter","Behavioral and brain sciences 15, 603-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9430617271855884087,606,1992
The construction of movement by the spinal cord,"MC Tresch, P Saltiel, E Bizzi","Nature neuroscience 2 (2), 162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12367315538832017013,516,1999
Shared and specific muscle synergies in natural motor behaviors,"A d'Avella, E Bizzi","Proceedings of the National Academy of Sciences 102 (8), 3076-3081",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11179511697588666485,509,2005
Eye-head coordination in monkeys: evidence for centrally patterned organization,"E Bizzi, RE Kalil, V Tagliasco","Science 173 (3995), 452-454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10976651183361618738,490,1971
Effect of load disturbances during centrally initiated movements,"E Bizzi, P Dev, P Morasso, A Polit","Journal of Neurophysiology 41 (3), 542-556",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15352815061847908958,486,1978
Processes controlling arm movements in monkeys,"A Polit, E Bizzi","Science 201 (4362), 1235-1237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6569140942784975471,478,1978
Motor learning by field approximation,"F Gandolfo, FA Mussa-Ivaldi, E Bizzi","Proceedings of the National Academy of Sciences 93 (9), 3843-3846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14535692216057669173,471,1996
Arm trajectory formation in monkeys,"E Bizzi, N Accornero, W Chapple, N Hogan","Experimental Brain Research 46 (1), 139-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1448812948022829090,467,1982
Linear combinations of primitives in vertebrate motor control,"FA Mussa-Ivaldi, SF Giszter, E Bizzi","Proceedings of the National Academy of Sciences 91 (16), 7534-7538",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13071629422740672663,438,1994
Combining modules for movement,"E Bizzi, VCK Cheung, A d'Avella, P Saltiel, M Tresch","Brain research reviews 57 (1), 125-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9705751718818366642,427,2008
