Title,Authors,Platform,Cited_url,Cited_count,Year
IT governance: How top performers manage IT decision rights for superior results,"P Weill, JW Ross",Harvard Business Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16582930290685743179,12025347383592786725",2869,2004
Enterprise architecture as strategy: Creating a foundation for business execution,"JW Ross, P Weill, D Robertson",Harvard Business Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=798646956674491247,1716,2006
Develop long-term competitiveness through IT assets,"JW Ross, CM Beath, DL Goodhue","Sloan management review 38 (1), 31-42","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6870682576849457892,3452721037390163825",1655,1996
Learning to implement enterprise systems: An exploratory study of the dialectics of change,"D Robey, JW Ross, MC Boudreau","Journal of Management Information Systems 19 (1), 17-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13192314281868193631,1329,2002
From the vendor's perspective: exploring the value proposition in information technology outsourcing,"N Levina, JW Ross","MIS quarterly, 331-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18317809420124838498,927,2003
14Eight imperatives for the new IT organization,"JF Rockart, MJ Earl, JW Ross",Inventing the Organizations of the 21st Century 297,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11026331992469099928,864,1996
The ERP revolution: surviving vs. thriving,"JW Ross, MR Vitale","Information systems frontiers 2 (2), 233-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3089487835293581443,809,2000
A matrixed approach to designing IT governance,"P Weill, J Ross","MIT Sloan management review 46 (2), 26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10511003633843859368,648,2005
Creating a strategic IT architecture competency: Learning in stages,JW Ross,"MIS Quarterly Executive 2 (1), 31-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4270883022455481906,608,2003
Six IT decisions your IT people shouldn't make,"JW Ross, P Weill","Harvard business review 80 (11), 84-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10173672884149229051,410,2002
Governança de TI: tecnologia da informação: como as empresas com melhor desempenho administram os direitos decisórios de TI na busca por resultados superiores,"P Weill, JW Ross",M. Books,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7859347556336359457,321,2006
New approaches to IT investment,IT As,MIT Sloan management review,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12819718224139156232,285,2002
IT governance on one page,"P Weill, JW Ross",MIT Sloan Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11417450790887011927,249,2004
Preparing for utility computing: The role of IT architecture and relationship management,"JW Ross, G Westerman","IBM systems journal 43 (1), 5-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9001079149295432060,247,2004
Surprising facts about implementing ERP,JW Ross,"IT professional 1 (4), 65-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10356085931470600281,188,1999
IT savvy: What top executives must know to go from pain to gain,"P Weill, JW Ross",Harvard Business Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15441403986903722388,173,2009
You may not need big data after all,"JW Ross, CM Beath, A Quaadgras","Harvard Business Review 91 (12), 90-+",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15593382400897356303,169,2013
The evolving role of the CIO,"JW Ross, DF Feeny","Center for Information Systems Research, Sloan School of Management …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8174680710418596643,164,1999
Finding value in the information explosion,"C Beath, I Becerra-Fernandez, J Ross, J Short","MIT Sloan Management Review 53 (4), 18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6699468689327517411,153,2012
Sustainable IT outsourcing success: Let enterprise architecture be your guide.,"JW Ross, CM Beath",MIS Quarterly Executive 5 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13969990307207911794,148,2006
How big old companies navigate digital transformation,"I Sebastian, J Ross, C Beath, M Mocker, K Moloney, N Fonstad",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3614495138416880724,131,2017
The untapped potential of IT chargeback,"JW Ross, MR Vitale, CM Beath","MIS Quarterly, 215-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6698588038267983716,85,1999
Dow Corning Corporation: business processes and information technology,J Ross,"Journal of Information Technology 14 (3), 253-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7836956351401070920,81,1999
"The continuing ERP revolution: Sustainable lessons, new modes of delivery","J Ross, MR Vitale, LP Willcocks",Second-wave enterprise resource planning systems: Implementing for …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1710460638877100499,65,2003
How to develop a great digital strategy,"JW Ross, CM Beath, IM Sebastian","MIT Sloan Management Review 58 (2), 7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10024842297294674633,63,2017
Enterprise architecture is not just for architects,"JW Ross, A Quaadgras",CISR Research Briefings 7 (9),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8215527636607457646,53,2012
Designing and executing digital strategies,"JW Ross, I Sebastian, C Beath, M Mocker, K Moloney, N Fonstad",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15559959784161138775,52,2016
From place to space: Migrating to profitable electronic commerce business models,"JW Ross, MR Vitale, P Weill",MIT Sloan Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16782811313492128616,49,2001
Enterprise Architecture: Driving business benefits from IT,JW Ross,MIT Sloan Research Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2272210751230296199,47,2006
