Title,Authors,Platform,Cited_url,Cited_count,Year
Phosphorylation and regulation of Akt/PKB by the rictor-mTOR complex,"DD Sarbassov, DA Guertin, SM Ali, DM Sabatini","Science 307 (5712), 1098-1101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3325867167801792645,6352,2005
Guidelines for the use and interpretation of assays for monitoring autophagy,"DJ Klionsky, FC Abdalla, H Abeliovich, RT Abraham, A Acevedo-Arozena, ...","Autophagy 8 (4), 445-544","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5775822219693224114,5466665393835199140,4059919776471603702,1876156459998835933,13302895010617927245,16282780193062256303,5713720473168416412,4211412878870255143,17009721662892082548,7442614592246118819,5274681938658297609",6010,2012
mTOR signaling in growth control and disease,"M Laplante, DM Sabatini","cell 149 (2), 274-293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11990129683035058952,5833,2012
"mTOR: from growth signal integration to cancer, diabetes and ageing","R Zoncu, A Efeyan, DM Sabatini","Nature reviews Molecular cell biology 12 (1), 21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5913911770031084960,3382,2011
CellProfiler: image analysis software for identifying and quantifying cell phenotypes,"AE Carpenter, TR Jones, MR Lamprecht, C Clarke, IH Kang, O Friman, ...","Genome biology 7 (10), R100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11680963210515374635,3174,2006
Defining the role of mTOR in cancer,"DA Guertin, DM Sabatini","Cancer cell 12 (1), 9-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2999079685081563673,2815,2007
mTOR interacts with raptor to form a nutrient-sensitive complex that signals to the cell growth machinery,"DH Kim, DD Sarbassov, SM Ali, JE King, RR Latek, ...","Cell 110 (2), 163-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3141822378751819399,2744,2002
"Rictor, a novel binding partner of mTOR, defines a rapamycin-insensitive and raptor-independent pathway that regulates the cytoskeleton","DD Sarbassov, SM Ali, DH Kim, DA Guertin, RR Latek, ...","Current biology 14 (14), 1296-1302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1209657548550100333,2558,2004
Prolonged rapamycin treatment inhibits mTORC2 assembly and Akt/PKB,"DD Sarbassov, SM Ali, S Sengupta, JH Sheen, PP Hsu, AF Bagley, ...","Molecular cell 22 (2), 159-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10632813606372362078,2542,2006
The Rag GTPases bind raptor and mediate amino acid signaling to mTORC1,"Y Sancak, TR Peterson, YD Shaul, RA Lindquist, CC Thoreen, ...","Science 320 (5882), 1496-1501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5737633050250977032,2037,2008
Genetic screens in human cells using the CRISPR-Cas9 system,"T Wang, JJ Wei, DM Sabatini, ES Lander","Science 343 (6166), 80-84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9484162487302912620,1807,2014
mTOR signaling at a glance,"M Laplante, DM Sabatini","Journal of cell science 122 (20), 3589-3594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10305715700649072084,1775,2009
Cancer cell metabolism: Warburg and beyond,"PP Hsu, DM Sabatini","Cell 134 (5), 703-707",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12521554017738396907,1764,2008
"mTOR signaling in growth, metabolism, and disease","RA Saxton, DM Sabatini","Cell 168 (6), 960-976",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15719885118210121701,1729,2017
Ragulator-Rag complex targets mTORC1 to the lysosomal surface and is necessary for its activation by amino acids,"Y Sancak, L Bar-Peled, R Zoncu, AL Markhard, S Nada, DM Sabatini","Cell 141 (2), 290-303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6985876077517466158,1681,2010
Growing roles for the mTOR pathway,"DD Sarbassov, SM Ali, DM Sabatini","Current opinion in cell biology 17 (6), 596-603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13103556840029846109,1630,2005
A lentiviral RNAi library for human and mouse genes applied to an arrayed viral high-content screen,"J Moffat, DA Grueneberg, X Yang, SY Kim, AM Kloepfer, G Hinkle, ...","Cell 124 (6), 1283-1298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12213702255292540028,1522,2006
RAFT1: a mammalian protein that binds to FKBP12 in a rapamycin-dependent fashion and is homologous to yeast TORs,"DM Sabatini, H Erdjument-Bromage, M Lui, P Tempst, SH Snyder","Cell 78 (1), 35-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18129537209081277967,1486,1994
An ATP-competitive mammalian target of rapamycin inhibitor reveals rapamycin-resistant functions of mTORC1,"CC Thoreen, SA Kang, JW Chang, Q Liu, J Zhang, Y Gao, LJ Reichling, ...","Journal of Biological Chemistry 284 (12), 8023-8032",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17945367461704055066,1468,2009
mTOR and cancer: insights into a complex relationship,DM Sabatini,"Nature Reviews Cancer 6 (9), 729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12336783169917319825,1383,2006
"Ablation in mice of the mTORC components raptor, rictor, or mLST8 reveals that mTORC2 is required for signaling to Akt-FOXO and PKCα, but not S6K1","DA Guertin, DM Stevens, CC Thoreen, AA Burds, NY Kalaany, J Moffat, ...","Developmental cell 11 (6), 859-871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6473895344513381774,1380,2006
Systematic RNA interference reveals that oncogenic ,"DA Barbie, P Tamayo, JS Boehm, SY Kim, SE Moody, IF Dunn, ...","Nature 462 (7269), 108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12887308759513601950,1175,2009
PRAS40 is an insulin-regulated inhibitor of the mTORC1 protein kinase,"Y Sancak, CC Thoreen, TR Peterson, RA Lindquist, SA Kang, E Spooner, ...","Molecular cell 25 (6), 903-915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1114737403833524082,1169,2007
RAFT1 phosphorylation of the translational regulators p70 S6 kinase and 4E-BP1,"PE Burnett, RK Barrow, NA Cohen, SH Snyder, DM Sabatini","Proceedings of the National Academy of Sciences 95 (4), 1432-1437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14607005294727231343,1160,1998
Microarrays of cells expressing defined cDNAs,"J Ziauddin, DM Sabatini","Nature 411 (6833), 107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2367198589714531181,1155,2001
