Title,Authors,Platform,Cited_url,Cited_count,Year
An integrative theory of prefrontal cortex function,"EK Miller, JD Cohen","Annual review of neuroscience 24 (1), 167-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2915089201281361214,11077,2001
The prefrontal cortex and cognitive control,EK Miller,"Nature Reviews Neuroscience 1 (1), 59-66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=858842111728563103,1909,2000
Top-down versus bottom-up control of attention in the prefrontal and posterior parietal cortices,"TJ Buschman, EK Miller","science 315 (5820), 1860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13535836224422780107,1866,2007
Neural mechanisms of visual working memory in prefrontal cortex of the macaque,"EK Miller, CA Erickson, R Desimone","The Journal of Neuroscience 16 (16), 5154-5167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12465238777628673600,1503,1996
A neural basis for visual search in inferior temporal cortex,"L Chelazzi, EK Miller, J Duncan, R Desimone","Nature 363 (6427), 345-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18270934854476418493,1454,1993
Categorical representation of visual stimuli in the primate prefrontal cortex,"DJ Freedman, M Riesenhuber, T Poggio, EK Miller","Science 291 (5502), 312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14114576810288773418,1042,2001
Integration of what and where in the primate prefrontal cortex,"SC Rao, G Rainer, EK Miller","Science 276 (5313), 821",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7358794006317656662,1003,1997
Single neurons in prefrontal cortex encode abstract rules,"JD Wallis, KC Anderson, EK Miller","Nature 411 (6840), 953-956",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11718208017515076277,923,2001
Activity of neurons in anterior inferior temporal cortex during a short-term memory task,"EK Miller, L Li, R Desimone","The Journal of neuroscience 13 (4), 1460-1478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7954053869128759776,818,1993
Responses of neurons in inferior temporal cortex during memory-guided visual search,"L Chelazzi, J Duncan, EK Miller, R Desimone","Journal of Neurophysiology 80 (6), 2918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11667236185114193703,756,1998
Representation of the quantity of visual items in the primate prefrontal cortex,"A Nieder, DJ Freedman, EK Miller","Science 297 (5587), 1708",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5176930810559754630,748,2002
The importance of mixed selectivity in complex cognitive tasks,"M Rigotti, O Barak, MR Warden, XJ Wang, ND Daw, EK Miller, S Fusi","Nature 497 (7451), 585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2707751672275136220,721,2013
A neural mechanism for working and recognition memory in inferior temporal cortex,"EK Miller, L Li, R Desimone","Science 254 (5036), 1377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12331211087572078012,701,1991
