Title,Authors,Platform,Cited_url,Cited_count,Year
Random effects structure for confirmatory hypothesis testing: Keep it maximal,"DJ Barr, R Levy, C Scheepers, HJ Tily","Journal of memory and language 68 (3), 255-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15687810816302463725,4342,2013
Expectation-based syntactic comprehension,R Levy,"Cognition 106 (3), 1126-1177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8944009173529760674,1348,2008
A new approach to cross-modal multimedia retrieval,"N Rasiwasia, J Costa Pereira, E Coviello, G Doyle, GRG Lanckriet, ...","Proceedings of the 18th ACM international conference on Multimedia, 251-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16723015740314141275,873,2010
Speakers optimize information density through syntactic reduction,"RP Levy, TF Jaeger","Advances in neural information processing systems, 849-856",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8186065962768214414,390,2007
Tregex and Tsurgeon: tools for querying and manipulating tree data structures.,"R Levy, G Andrew","LREC, 2231-2234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18043890186217392824,336,2006
The effect of word predictability on reading time is logarithmic,"NJ Smith, R Levy","Cognition 128 (3), 302-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6674307518876132092,296,2013
"Is it harder to parse Chinese, or the Chinese Treebank?","R Levy, C Manning",Proceedings of the 41st Annual Meeting on Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2811476145552487329,289,2003
On the role of correlation and abstraction in cross-modal multimedia retrieval,"JC Pereira, E Coviello, G Doyle, N Rasiwasia, GRG Lanckriet, R Levy, ...","IEEE transactions on pattern analysis and machine intelligence 36 (3), 521-535",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9077991323969965795,267,2013
Eye movement evidence that readers maintain and act on uncertainty about past linguistic input,"R Levy, K Bicknell, T Slattery, K Rayner","Proceedings of the National Academy of Sciences 106 (50), 21086-21090",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4042039959912546846,205,2009
The chicken or the egg? A probabilistic analysis of English binomials,"SB Benor, R Levy","Language, 233-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9646671827873877473,179,2006
A generative model for semantic role labeling,"CA Thompson, R Levy, CD Manning","European Conference on Machine Learning, 397-408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=134871669892136335,109,2003
A noisy-channel model of rational human sentence comprehension under uncertain input,R Levy,Proceedings of the conference on empirical methods in natural language …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16555543719958474077,106,2008
Anticipating explanations in relative clause processing,"H Rohde, R Levy, A Kehler","Cognition 118 (3), 339-358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7846886653143676227,103,2011
The syntactic complexity of Russian relative clauses,"R Levy, E Fedorenko, E Gibson","Journal of memory and language 69 (4), 461-495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8297870275566793779,99,2013
A rational model of eye movement control in reading,"K Bicknell, R Levy",Proceedings of the 48th annual meeting of the Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10001485734806755583,91,2010
Expectation and locality effects in German verb-final structures,"RP Levy, F Keller","Journal of memory and language 68 (2), 199-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14108997784845585459,86,2013
Integrating surprisal and uncertain-input models in online sentence comprehension: formal techniques and empirical results,R Levy,Proceedings of the 49th Annual Meeting of the Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18120870239860916882,85,2011
Modeling the effects of memory on human online sentence processing with particle filters,"RP Levy, F Reali, TL Griffiths","Advances in neural information processing systems, 937-944",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4703276605246293229,85,2009
Pragmatic reasoning through semantic inference,"L Bergen, R Levy, N Goodman",Semantics and Pragmatics 9,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1433855075217315997,83,2016
Probabilistic models of word order and syntactic discontinuity,RP Levy,Stanford University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14049030932809210314,72,2005
Deep dependencies from context-free statistical parsers: correcting the surface dependency approximation,"R Levy, CD Manning",Proceedings of the 42nd Annual Meeting on Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6023435902034071484,72,2004
That's what she (could have) said: How alternative utterances affect language use,"L Bergen, N Goodman, R Levy",Proceedings of the Annual Meeting of the Cognitive Science Society 34 (34),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1715564965610763481,68,2012
Embedded implicatures as pragmatic inferences under compositional lexical uncertainty,"C Potts, D Lassiter, R Levy, MC Frank","Journal of Semantics 33 (4), 755-802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7632945999341859424,66,2016
Optimal processing times in reading: a formal model and empirical investigation,"NJ Smith, R Levy",Proceedings of the Annual Meeting of the Cognitive Science Society 30 (30),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8947003243332577728,66,2008
The processing of extraposed structures in English,"R Levy, E Fedorenko, M Breen, E Gibson","Cognition 122 (1), 12-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13889492640212161260,65,2012
Comprehension priming as rational expectation for repetition: Evidence from syntactic processing,"M Myslín, R Levy","Cognition 147, 29-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11839582904352037079,59,2016
Task effects reveal cognitive flexibility responding to frequency and predictability: Evidence from eye movements in reading and proofreading,"ER Schotter, K Bicknell, I Howard, R Levy, K Rayner","Cognition 131 (1), 1-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2599986990419064697,57,2014
Coordination and neutralization in HPSG,"R Levy, C Pollard",Proceedings of the 8th international conference on Head-Driven Phrase …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4569198582335987853,54,2001
