Title,Authors,Platform,Cited_url,Cited_count,Year
Infinite-dimensional Lie algebras,VG Kac,Cambridge university press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13537079152298410776,8900412675322356472,7647077935959249608",7061,1990
Lie superalgebras,VG Kac,"Advances in mathematics 26 (1), 8-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9804862962842970330,2577,1977
Quantum calculus,"V Kac, P Cheung",Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15747761392308375275,1661,2001
Vertex algebras for beginners,VG Kac,American Mathematical Soc.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3070920847004338628,1202,1998
Basic representations of affine Lie algebras and dual resonance models,"IB Frenkel, VG Kac","Inventiones mathematicae 62 (1), 23-66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9367711635537962070,971,1980
Bombay lectures on highest weight representations of infinite dimensional Lie algebras,"VG Kac, AK Raina, N Rozhkovskaya",World scientific,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5766936074033573988,7249593332431424752,10107473051603627677",875,2013
"Infinite-dimensional Lie algebras, theta functions and modular forms","VG Kac, DH Peterson",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12443544979630020418,830,1984
Representations of classical Lie superalgebras,V Kac,"Differential geometrical methods in mathematical physics II, 597-626",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1219427180996283000,612,1978
A sketch of Lie superalgebra theory,VG Kac,"Communications in Mathematical Physics 53 (1), 31-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6779190447836116761,572,1977
"Infinite root systems, representations of graphs and invariant theory",VG Kac,"Inventiones mathematicae 56 (1), 57-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3248400689225433063,490,1980
Representations of quantum groups at roots of 1,"C De Concini, VG Kac, C Procesi","Modern quantum field theory (Bombay, 1990), 333-335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5132954874523447260,486,1991
Simple irreducible graded Lie algebras of finite growth,VG Kac,"Mathematics of the USSR-Izvestiya 2 (6), 1271",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11589444218520639702,457,1968
Structure of representations with highest weight of infinite-dimensional Lie algebras,"VG Kac, DA Kazhdan","Advances in Mathematics 34 (1), 97-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13999310747905644505,426,1979
Contravariant form for infinite-dimensional Lie algebras and superalgebras,VG Kac,"Group theoretical methods in physics, 441-445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15518156850659890984,411,1979
Some remarks on nilpotent orbits,VG Kac,"Journal of Algebra 64 (1), 190-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6627244681798754877,367,1980
Modular invariant representations of infinite-dimensional Lie algebras and superalgebras,"VG Kac, M Wakimoto","Proceedings of the National Academy of Sciences 85 (14), 4956-4960",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9777844108298322360,351,1988
"Infinite-dimensional algebras, Dedekind's η-function, classical Möbius function and the very strange formula",VG Kac,"Advances in Mathematics 30 (2), 85-136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13850469893718771074,341,1978
Spin and wedge representations of infinite-dimensional Lie algebras and groups,"VG Kac, DH Peterson","Proceedings of the National Academy of Sciences 78 (6), 3308-3312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16519490499822139441,302,1981
Infinite flag varieties and conjugacy theorems,"DH Peterson, VG Kac","Proceedings of the National Academy of Sciences 80 (6), 1778-1782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13749879450110808989,299,1983
Modular and conformal invariance constraints in representation theory of affine algebras,"VG Kac, M Wakimoto","Advances in Mathematics 70 (2), 156-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11905899596986080129,281,1988
Quasifinite highest weight modules over the Lie algebra of differential operators on the circle,"V Kac, A Radul","Communications in mathematical physics 157 (3), 429-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6096086987377394088,275,1993
W_ {1+\infty} and W (gl_N) with central charge N,"E Frenkel, V Kac, A Radul, W Wang",arXiv preprint hep-th/9405121,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6441396727342068611,267,1994
Moduli spaces of curves and representation theory,"E Arbarello, C De Concini, VG Kac, C Procesi","Communications in Mathematical physics 117 (1), 1-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3183886893639572868,266,1988
Integrable highest weight modules over affine superalgebras and number theory,"VG Kac, M Wakimoto","Lie theory and geometry, 415-456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17148991593505568698,246,1994
Realization of the basic representations of the Euclidean Lie algebras,"VG Kac, DA Kazhdan, J Lepowsky, RL Wilson","Advances in Mathematics 42 (1), 83-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8362714449575950298,227,1981
Infinite-dimensioned Lie algebras and Dedekind's,VG Kats,"Functional Analysis and its Applications 8 (1), 68-70","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4350322857799400594,4932705780771251662",225,1974
"Root systems, representations of quivers and invariant theory",VG Kac,"Invariant theory, 74-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11931055133047800737,221,1983
Classification of simple Z-graded Lie superalgebras and simple Jordan superalgebras,VG Kac,"Communications in Algebra 5 (13), 1375-1400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8386966631032221483,215,1977
Characters and fusion rules for,"E Frenkel, V Kac, M Wakimoto","Communications in Mathematical Physics 147 (2), 295-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4025948072664379508,209,1992
The ,"VG Kac, JW van de Leur","Journal of Mathematical Physics 44 (8), 3245-3293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3941549523993943076,200,2003
Quantum coadjoint action,"C De Concini, VG Kac, C Procesi","Journal of the American Mathematical Society 5 (1), 151-189",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8809565644795948152,199,1992
Classification of infinite-dimensional simple linearly compact Lie superalgebras,VG Kac,"Advances in Mathematics 139 (1), 1-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9364996557370054516,198,1998
