Title,Authors,Platform,Cited_url,Cited_count,Year
Biological insights from 108 schizophrenia-associated genetic loci,"S Ripke, BM Neale, A Corvin, JTR Walters, KH Farh, PA Holmans, P Lee, ...","Nature 511 (7510), 421","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=948586485079853669,9796430692729700128,8388381787324321159,7210280607352106152,4373441037593769189",3662,2014
LD score regression distinguishes confounding from polygenicity in genome-wide association studies,"B Bulik-Sullivan, PR Loh, H Finucane, S Ripke, J Yang, N Patterson, ...","Nature Genetics 47 (3), 291-5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17351201403481069022,18296503625278561137",1293,2015
An atlas of genetic correlations across human diseases and traits,"B Bulik-Sullivan, HK Finucane, V Anttila, A Gusev, FR Day, PR Loh, ...","Nature genetics 47 (11), 1236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3431384129534191586,1199,2015
Schizophrenia risk from complex variation of complement component 4,"A Sekar, AR Bialas, H de Rivera, A Davis, TR Hammond, N Kamitaki, ...","Nature 530 (7589), 177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12692730205236993070,1020,2016
Partitioning heritability by functional annotation using genome-wide association summary statistics,"HK Finucane, B Bulik-Sullivan, A Gusev, G Trynka, Y Reshef, PR Loh, ...","Nature genetics 47 (11), 1228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6576370727819547224,734,2015
Partitioning heritability of regulatory and cell-type-specific variants across 11 common diseases,"A Gusev, SH Lee, G Trynka, H Finucane, BJ Vilhjálmsson, H Xu, C Zang, ...","The American Journal of Human Genetics 95 (5), 535-552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5271594080598530370,381,2014
Modeling linkage disequilibrium increases accuracy of polygenic risk scores,"BJ Vilhjálmsson, J Yang, HK Finucane, A Gusev, S Lindström, S Ripke, ...","The American Journal of Human Genetics 97 (4), 576-592","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16067214223583261131,10768677047844465462",334,2015
Polygenic dissection of diagnosis and clinical dimensions of bipolar disorder and schizophrenia,"DM Ruderfer, AH Fanous, S Ripke, A McQuillin, RL Amdur, PV Gejman, ...","Molecular psychiatry 19 (9), 1017",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3251195755120867032,226,2014
Contrasting genetic architectures of schizophrenia and other complex diseases using fast variance-components analysis,"PR Loh, G Bhatia, A Gusev, HK Finucane, BK Bulik-Sullivan, SJ Pollack, ...",Nature Genetics doi: 10.1038/ng.3431,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7183607273172271883,223,2015
Whole-exome sequencing and homozygosity analysis implicate depolarization-regulated neuronal genes in autism,"MH Chahrour, WY Timothy, ET Lim, B Ataman, ME Coulter, RS Hill, ...","PLoS genetics 8 (4), e1002635",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12591921574427945107,174,2012
