Title,Authors,Platform,Cited_url,Cited_count,Year
Improved luminosity determination in pp collisions at ,"G Aad, T Abajyan, B Abbott, J Abdallah, SA Khalek, AA Abdelalim, ...","The European Physical Journal C 73 (8), 2518","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11477579481550698253,13548342395637949587",2183,2013
Quantum-enhanced measurements: beating the standard quantum limit,"V Giovannetti, S Lloyd, L Maccone","Science 306 (5700), 1330-1336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12614616700912132227,1998,2004
Universal quantum simulators,S Lloyd,"Science, 1073-1078",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8540209488500471178,1916,1996
Advances in quantum metrology,"V Giovannetti, S Lloyd, L Maccone","Nature photonics 5 (4), 222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1614741167934399577,1784,2011
Gaussian quantum information,"C Weedbrook, S Pirandola, R García-Patrón, NJ Cerf, TC Ralph, ...","Reviews of Modern Physics 84 (2), 621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12014221578888835752,1708,2012
Josephson persistent-current qubit,"JE Mooij, TP Orlando, L Levitov, L Tian, CH Van der Wal, S Lloyd","Science 285 (5430), 1036-1039",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10456068654816765861,1662,1999
Luminosity determination in pp collisions at ,"G Aad, B Abbott, J Abdallah, AA Abdelalim, A Abdesselam, O Abdinov, ...","The European Physical Journal C 71 (4), 1630","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16158292068729758796,1889770266282885076,3527804381507113899,4408965443932603893,8306270645090081738,3740984892557822212",1485,2011
Quantum metrology,"V Giovannetti, S Lloyd, L Maccone","Physical review letters 96 (1), 010401","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2564351151885212559,2092855827053571002",1418,2006
Dynamical suppression of decoherence in two-state quantum systems,"L Viola, S Lloyd","Physical Review A 58 (4), 2733","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11862921802255128088,10905352688663772104",1384,1998
Dynamical decoupling of open quantum systems,"L Viola, E Knill, S Lloyd","Physical Review Letters 82 (12), 2417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12377416485575876661,1383,1999
Quantum superposition of macroscopic persistent-current states,"CH Van Der Wal, ACJ Ter Haar, FK Wilhelm, RN Schouten, C Harmans, ...","Science 290 (5492), 773-777",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4128044040339142075,1236,2000
Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC,"G Aad, T Abajyan, B Abbott, J Abdallah, SA Khalek, O Abdinov, R Aben, ...","Physics Letters B 726 (1-3), 88-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=686220583956310503,1059,2013
Environment-assisted quantum walks in photosynthetic energy transfer,"M Mohseni, P Rebentrost, S Lloyd, A Aspuru-Guzik","The Journal of chemical physics 129 (17), 11B603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13795559251709689901,1050,2008
LHAPDF6: parton density access in the LHC precision era,"A Buckley, J Ferrando, S Lloyd, K Nordström, B Page, M Rüfenacht, ...","The European Physical Journal C 75 (3), 132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14271916651501039993,938,2015
Ultimate physical limits to computation,S Lloyd,"Nature 406 (6799), 1047",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15133656841481485762,903,2000
A potentially realizable quantum computer,S Lloyd,"Science 261 (5128), 1569-1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15648804500229130873,858,1993
Quantum computation over continuous variables,"S Lloyd, SL Braunstein","Quantum Information with Continuous Variables, 9-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6096007371261425130,847,1999
Superconducting persistent-current qubit,"TP Orlando, JE Mooij, L Tian, CH Van Der Wal, LS Levitov, S Lloyd, ...","Physical Review B 60 (22), 15398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7511520149980748241,842,1999
Experimental realization of a quantum algorithm,"IL Chuang, LMK Vandersypen, X Zhou, DW Leung, S Lloyd","Nature 393 (6681), 143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1976344803984262863,837,1998
Almost any quantum logic gate is universal,S Lloyd,"Physical Review Letters 75 (2), 346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8638241843949341119,821,1995
Quantum algorithm for linear systems of equations,"AW Harrow, A Hassidim, S Lloyd","Physical review letters 103 (15), 150502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13352786056652435900,819,2009
Environment-assisted quantum transport,"P Rebentrost, M Mohseni, I Kassal, S Lloyd, A Aspuru-Guzik","New Journal of Physics 11 (3), 033003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14408457243592831333,766,2009
Programming the universe: a quantum computer scientist takes on the cosmos,S Lloyd,Vintage,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10243514483276410892,752,2006
Adiabatic quantum computation is equivalent to standard quantum computation,"D Aharonov, W Van Dam, J Kempe, Z Landau, S Lloyd, O Regev","SIAM review 50 (4), 755-787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10052464671959949861,694,2008
Search for squarks and gluinos using final states with jets and missing transverse momentum with the ATLAS detector in s= 7 TeV proton–proton collisions,"G Aad, B Abbott, J Abdallah, AA Abdelalim, A Abdesselam, O Abdinov, ...","Physics Letters B 710 (1), 67-85","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9412179707364787837,3275875682752009267",660,2012
Measurements of the Higgs boson production and decay rates and coupling strengths using pp collision data at ,"G Aad, B Abbott, J Abdallah, O Abdinov, R Aben, M Abolins, OS AbouZeid, ...","The European Physical Journal C 76 (1), 6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11863220960318642037,1753213302050249117,11522930422901377827,12606707888086789866,18391514272251567105,2184867608868610884",640,2016
Capacity of the noisy quantum channel,S Lloyd,"Physical Review A 55 (3), 1613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16486650421129519734,612,1997
Measurement of σ (pp→ bb¯ X) at s= 7 TeV in the forward region,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, M Agari, ...","Physics Letters B 694 (3), 209-216","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10202922771314474969,7002192082577003011,6016072352006880551,16158138781089469252,12108061307476656819,1486291541750085092",567,2010
Computational capacity of the universe,S Lloyd,"Physical Review Letters 88 (23), 237901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15600579424324824358,559,2002
Quantum machine learning,"J Biamonte, P Wittek, N Pancotti, P Rebentrost, N Wiebe, S Lloyd","Nature 549 (7671), 195-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9067294451785984222,553,2017
Complexity as thermodynamic depth,"S Lloyd, H Pagels","Annals of physics 188 (1), 186-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3979938693799258019,537,1988
Quantum support vector machine for big data classification,"P Rebentrost, M Mohseni, S Lloyd","Physical review letters 113 (13), 130503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17385639700440397748,468,2014
Simulation of many-body Fermi systems on a universal quantum computer,"DS Abrams, S Lloyd","Physical Review Letters 79 (13), 2586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5998081472726002731,460,1997
The ATLAS Inner Detector commissioning and calibration,"G Aad, B Abbott, J Abdallah, AA Abdelalim, A Abdesselam, O Abdinov, ...","The European Physical Journal C 70 (3), 787-821","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15410052704623405648,14518913563411228407",457,2010
Quantum algorithm providing exponential speed increase for finding eigenvalues and eigenvectors,"DS Abrams, S Lloyd","Physical Review Letters 83 (24), 5162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10484839679662749806,440,1999
"Information measures, effective complexity, and total information","M Gell‐Mann, S Lloyd","Complexity 2 (1), 44-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16083047640192815632,429,1996
Search for new phenomena in final states with an energetic jet and large missing transverse momentum in pp collisions at ,"G Aad, B Abbott, J Abdallah, SA Khalek, O Abdinov, R Aben, B Abi, ...","The European Physical Journal C 75 (7), 299","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3839092736677844674,8093145623950991283",428,2015
Quantum-enhanced positioning and clock synchronization,"V Giovannetti, S Lloyd, L Maccone","Nature 412 (6845), 417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4909401156310603367,392,2001
Enhanced sensitivity of photodetection via quantum illumination,S Lloyd,"Science 321 (5895), 1463-1465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=301349068504707498,390,2008
Quantum coherent tunable coupling of superconducting qubits,"AO Niskanen, K Harrabi, F Yoshihara, Y Nakamura, S Lloyd, JS Tsai","Science 316 (5825), 723-726",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4670837417889455165,373,2007
Coherent quantum feedback,S Lloyd,"Physical Review A 62 (2), 022108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7509686771527164496,365,2000
Quantum principal component analysis,"S Lloyd, M Mohseni, P Rebentrost","Nature Physics 10 (9), 631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4314742816485083497,360,2014
Universal control of decoupled quantum systems,"L Viola, S Lloyd, E Knill","Physical Review Letters 83 (23), 4888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15776545067184141766,348,1999
