Title,Authors,Platform,Cited_url,Cited_count,Year
"No contagion, only interdependence: measuring stock market comovements","KJ Forbes, R Rigobon","The journal of Finance 57 (5), 2223-2261","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6951332183886514055,12821250402668804172,4315820914992930160",4475,2002
A reassessment of the relationship between inequality and growth,KJ Forbes,"American economic review 90 (4), 869-887","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8080479158600294412,3081510259474967288",2444,2000
"Capital flow waves: Surges, stops, flight, and retrenchment","KJ Forbes, FE Warnock","Journal of International Economics 88 (2), 235-251","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4087210078844929117,9979570122235829673",1161,2012
Measuring Contagion: ,"K Forbes, R Rigobon","International financial contagion, 43-66","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10082352726477193744,9032832387599804655,3590486906436546356",911,2001
International financial contagion,"S Claessens, K Forbes",Springer Science & Business Media,,552,2013
A decomposition of global linkages in financial markets over time,"KJ Forbes, MD Chinn","Review of economics and statistics 86 (3), 705-722","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10339883810473429274,17213023206540599674,9370428964168608358",511,2004
Financial constraints and growth: Multinational and local firm responses to currency depreciations,"MA Desai, CF Foley, KJ Forbes","The Review of Financial Studies 21 (6), 2857-2888","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9579964919455591338,4257963109888102040,10362633116162561183,6699164250266129309,5153060415521894162,17698100227226662387",385,2007
The initial impact of the crisis on emerging market countries [with comments and discussion],"OJ Blanchard, H Faruqee, M Das, KJ Forbes, LL Tesar","Brookings papers on economic activity, 263-323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7526222627203156017,381,2010
The Asian flu and Russian virus: the international transmission of crises in firm-level data,KJ Forbes,"Journal of International Economics 63 (1), 59-92","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7541580204643892854,15463956172834406925,16135573994060071989",363,2004
One cost of the Chilean capital controls: increased financial constraints for smaller traded firms,KJ Forbes,"Journal of International Economics 71 (2), 294-323","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3618096827610251390,17806696483694726820,16515217158208205728",332,2007
"Contagion in Latin America: definitions, measurement, and policy implications","R Rigobón, K Forbes","Economía Journal 1 (Spring 2001), 1-46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8702653919548430125,3338043726822683048,3754535758592089546",308,2001
Are trade linkages important determinants of country vulnerability to crises?,KJ Forbes,"Preventing currency crises in emerging markets, 77-132","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15492577532968472735,9651609651228068946",270,2002
"Watch what I do, not what I say: The unintended consequences of the Homeland Investment Act","D Dharmapala, CF Foley, KJ Forbes","The Journal of Finance 66 (3), 753-787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15129245856333697785,246,2011
Why do foreigners invest in the United States?,KJ Forbes,"Journal of International Economics 80 (1), 3-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8956975813018844618,245,2010
The'Big C': Identifying and mitigating contagion,KJ Forbes,MIT Sloan Research Paper,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2174451523100805701,13302143310344960937",231,2012
Bubble thy neighbour: Portfolio effects and externalities from capital controls,"K Forbes, M Fratzscher, T Kostka, R Straub","Journal of International Economics 99, 85-104","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=22621080360808459,4080723374682096370,12520884459645624996,10889576071440955853",220,2016
How do large depreciations affect firm performance?,KJ Forbes,"IMF Staff Papers 49 (1), 214-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=506885552662902918,216,2002
The microeconomic evidence on capital controls: no free lunch,KJ Forbes,Capital Controls and Capital Flows in Emerging Economies: Policies …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13889715090979607130,2676404873902852476",206,2007
Capital-flow management measures: What are they good for?,"K Forbes, M Fratzscher, R Straub","Journal of International Economics 96, S76-S97","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12302265779755901157,2327759965208305701,17895902416163874708",184,2015
Trade linkages and output‐multiplier effects: A structural VAR approach with a focus on Asia,"T Abeysinghe, K Forbes","Review of International Economics 13 (2), 356-375","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4858337633415322001,16894628956975397124,71613965806839419,10861450666344507992",160,2005
Debt-and equity-led capital flow episodes,"KJ Forbes, FE Warnock",National Bureau of Economic Research,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8956535304822943739,12498769582834441794,13658238926047543914",99,2012
