Title,Authors,Platform,Cited_url,Cited_count,Year
The price of robustness,"D Bertsimas, M Sim","Operations research 52 (1), 35-53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6703128100960724788,3317,2004
Introduction to linear optimization,"D Bertsimas, JN Tsitsiklis","Athena Scientific 6, 479-530","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1723148537368479010,13711756111397394215,16036409142352730926,16379215598066508054,805158028665852274,8918068022933586539,12191933113504902296",3221,1997
Theory and applications of robust optimization,"D Bertsimas, DB Brown, C Caramanis","SIAM review 53 (3), 464-501","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2393929283224555925,17455856442599243605,9378443218188504234",1728,2011
Robust discrete optimization and network flows,"D Bertsimas, M Sim","Mathematical programming 98 (1-3), 49-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1793571682166180567,1703,2003
Adaptive robust optimization for the security constrained unit commitment problem,"D Bertsimas, E Litvinov, XA Sun, J Zhao, T Zheng","IEEE transactions on power systems 28 (1), 52-63","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10066490661214555813,14636172420750933386",1068,2012
Optimal control of execution costs,"D Bertsimas, AW Lo","Journal of Financial Markets 1 (1), 1-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1916740740600088718,1016,1998
Simulated annealing,"D Bertsimas, J Tsitsiklis","Statistical science 8 (1), 10-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15186661386483241881,878,1993
The air traffic flow management problem with enroute capacities,"D Bertsimas, SS Patterson","Operations research 46 (3), 406-422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16598970836035692357,630,1998
A stochastic and dynamic vehicle routing problem in the Euclidean plane,"DJ Bertsimas, G Van Ryzin","Operations Research 39 (4), 601-615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17707736331705955631,557,1991
A robust optimization approach to inventory theory,"D Bertsimas, A Thiele","Operations research 54 (1), 150-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1789133874858091860,553,2006
May-June 1992. A Vehicle Routing Problem with Stochastic Demand,DJ Bertsimas,"Operations Research 40 (3), 574-585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10842584083976388401,508,0
Robust linear optimization under general norms,"D Bertsimas, D Pachamanova, M Sim","Operations Research Letters 32 (6), 510-516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13320609466542289112,466,2004
Optimal inequalities in probability theory: A convex optimization approach,"D Bertsimas, I Popescu","SIAM Journal on Optimization 15 (3), 780-804","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16034537951158343178,6287477802813991631",425,2005
"A new generation of vehicle routing research: robust algorithms, addressing uncertainty","DJ Bertsimas, D Simchi-Levi","Operations Research 44 (2), 286-304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5254051837832751455,424,1996
Optimization over integers,"D Bertsimas, R Weismantel","Dynamic Ideas 13, 471-503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6691494895113182006,420,2005
"Shortfall as a risk measure: properties, optimization and applications","D Bertsimas, GJ Lauprete, A Samarov","Journal of Economic Dynamics and control 28 (7), 1353-1381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17595002563681724523,353,2004
Stochastic and dynamic vehicle routing in the Euclidean plane with multiple capacitated vehicles,"DJ Bertsimas, G Van Ryzin","Operations Research 41 (1), 60-76","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4871973338057099572,1105306662770557881",351,1993
Tractable approximations to robust conic optimization problems,"D Bertsimas, M Sim","Mathematical programming 107 (1-2), 5-36","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6152770192278367158,7705739452234155775",349,2006
The multi-airport ground-holding problem in air traffic control,"PB Vranas, DJ Bertsimas, AR Odoni","Operations Research 42 (2), 249-261","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14362602801081242949,5783523901786291767",336,1994
An integer optimization approach to large-scale air traffic flow management,"D Bertsimas, G Lulli, A Odoni","Operations research 59 (1), 211-227","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6302414711901001446,2037522225067559470",314,2011
The price of fairness,"D Bertsimas, VF Farias, N Trichakis","Operations research 59 (1), 17-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3026635409847669722,311,2011
Revenue management in a dynamic network environment,"D Bertsimas, I Popescu","Transportation science 37 (3), 257-277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13035803395084858261,309,2003
Constructing uncertainty sets for robust linear optimization,"D Bertsimas, DB Brown","Operations research 57 (6), 1483-1495","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17307967396556460934,3516334725862574884",302,2009
A priori optimization,"DJ Bertsimas, P Jaillet, AR Odoni","Operations Research 38 (6), 1019-1033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8283976938450419660,302,1990
Probabilistic combinatorial optimization problems,D Bertsimas,Massachusetts Institute of Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=207297279336538062,266,1988
The traffic flow management rerouting problem in air traffic control: A dynamic network flow approach,"D Bertsimas, SS Patterson","Transportation Science 34 (3), 239-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10852443249600251914,265,2000
Data-driven robust optimization,"D Bertsimas, V Gupta, N Kallus","Mathematical Programming 167 (2), 235-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16431026327386173350,255,2018
Robust game theory,"M Aghassi, D Bertsimas","Mathematical Programming 107 (1-2), 231-273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9440864026639613696,254,2006
"Survivable networks, linear programming relaxations and the parsimonious property","MX Goemans, DJ Bertsimas","Mathematical Programming 60 (1-3), 145-166","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6240370806700695390,9170237246434706791,1684551897707993085,11559189255381446611",250,1993
"Restless bandits, linear programming relaxations, and a primal-dual index heuristic","D Bertsimas, J Niño-Mora","Operations Research 48 (1), 80-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10288770497995627041,233,2000
Best subset selection via a modern optimization lens,"D Bertsimas, A King, R Mazumder","The annals of statistics 44 (2), 813-852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3499026676892713138,230,2016
Robust and data-driven optimization: modern decision-making under uncertainty,"D Bertsimas, A Thiele","INFORMS Tutorials in Operations Research: Models, Methods, and Applications …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13368310699461992023,228,2006
On the relation between option and stock prices: a convex optimization approach,"D Bertsimas, I Popescu","Operations Research 50 (2), 358-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13340854033845282977,224,2002
A robust optimization approach to supply chain management,"D Bertsimas, A Thiele",International Conference on Integer Programming and Combinatorial …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17257891458341121866,11722518795087402727",210,2004
Optimization of multiclass queueing networks: Polyhedral and nonlinear characterizations of achievable performance,"D Bertsimas, IC Paschalidis, JN Tsitsiklis","The Annals of Applied Probability, 43-75","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=133244251926551302,6067800819810852067",210,1994
Dynamic ground-holding policies for a network of airports,"PBM Vranas, D Bertsimas, AR Odoni","Transportation Science 28 (4), 275-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1325227681903144393,209,1994
Solving convex programs by random walks,"D Bertsimas, S Vempala, S Vempala, S Vempala",Proceedings of the thiry-fourth annual ACM symposium on Theory of computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9200678779201884451,208,2002
Robust multiperiod portfolio management in the presence of transaction costs,"D Bertsimas, D Pachamanova","Computers & Operations Research 35 (1), 3-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13734028172347919724,197,2008
"Conservation laws, extended polymatroids and multiarmed bandit problems; a polyhedral approach to indexable systems","D Bertsimas, J Niño-Mora","Mathematics of Operations Research 21 (2), 257-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2731592741220165773,197,1996
Algorithm for cardinality-constrained quadratic optimization,"D Bertsimas, R Shioda","Computational Optimization and Applications 43 (1), 1-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12492006740806640839,191,2009
Optimality of affine policies in multistage robust optimization,"D Bertsimas, DA Iancu, PA Parrilo","Mathematics of Operations Research 35 (2), 363-394","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9982045291231570110,5821751384060985723",189,2010
Hedging derivative securities and incomplete markets: an ϵ-arbitrage approach,"D Bertsimas, L Kogan, AW Lo","Operations research 49 (3), 372-397","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11387436524700633236,15471831228689331886,6738977581540988539,2712648611918283127,11565280293442179199",178,2001
An approximate dynamic programming approach to multidimensional knapsack problems,"D Bertsimas, R Demir","Management Science 48 (4), 550-565",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=365351862668551895,166,2002
Simulation-based booking limits for airline revenue management,"D Bertsimas, S De Boer","Operations Research 53 (1), 90-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16578693156663865568,164,2005
Algorithmic prediction of health-care costs,"D Bertsimas, MV Bjarnadóttir, MA Kane, JC Kryder, R Pandey, S Vempala, ...","Operations Research 56 (6), 1382-1392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=639380118821279626,159,2008
Models for minimax stochastic linear optimization problems with risk aversion,"D Bertsimas, XV Doan, K Natarajan, CP Teo","Mathematics of Operations Research 35 (3), 580-602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4535165662651926857,157,2010
When is time continuous?,"D Bertsimas, L Kogan, AW Lo",Quantitative Analysis In Financial Markets: Collected Papers of the New York …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3774894512733411933,155,2001
A soft robust model for optimization under ambiguity,"A Ben-Tal, D Bertsimas, DB Brown","Operations research 58 (4-part-2), 1220-1234","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8087203797101330500,7913252989547382115",152,2010
Finite adaptability in multistage linear optimization,"D Bertsimas, C Caramanis","IEEE Transactions on Automatic Control 55 (12), 2751-2766",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16989726388184224277,152,2010
Computational approaches to stochastic vehicle routing problems,"D Bertsimas, P Chervi, M Peterson","Transportation science 29 (4), 342-352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=254586431813252316,146,1995
Tractable stochastic analysis in high dimensions via robust optimization,"C Bandi, D Bertsimas","Mathematical programming 134 (1), 23-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17421492162903502159,144,2012
Fluid models of sequencing problems in open queueing networks; an optimal control approach,"F Avram, D Bertsimas, M Ricard","Institute for Mathematics and its Applications 71, 199","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12090152645669413774,1030903516183654697,13316460252474919002",144,1995
On the efficiency-fairness trade-off,"D Bertsimas, VF Farias, N Trichakis","Management Science 58 (12), 2234-2250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4680816358248344512,142,2012
Stochastic and dynamic vehicle routing with general demand and interarrival time distributions,"DJ Bertsimas, G Van Ryzin","Advances in Applied Probability 25 (4), 947-978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4413127057111120521,141,1993
R. Shioda R. 2003.“Restaurant Revenue Management.”,D Bertsimas,"Operations Research 51 (3), 472-486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11605033633824323324,140,0
Further results on the probabilistic traveling salesman problem,"D Bertsimas, LH Howell","European Journal of Operational Research 65 (1), 68-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5900301757741502971,139,1993
"Portfolio construction through mixed-integer programming at Grantham, Mayo, Van Otterloo and Company","D Bertsimas, C Darnell, R Soucy","Interfaces 29 (1), 49-66","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12688595334512567166,14679204024122628674",118,1999
On the power and limitations of affine policies in two-stage adaptive optimization,"D Bertsimas, V Goyal","Mathematical programming 134 (2), 491-531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2715654484639360614,117,2012
Optimal classification trees,"D Bertsimas, J Dunn","Machine Learning 106 (7), 1039-1082",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11327707799219524668,116,2017
"Locating discretionary service facilities, II: maximizing market size, minimizing inconvenience","O Berman, D Bertsimas, RC Larson","Operations Research 43 (4), 623-632","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15166565919990932546,13797621886311720551",114,1995
On central limit theorems in geometrical probability,"F Avram, D Bertsimas","The Annals of Applied Probability 3 (4), 1033-1046",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17783716963734212633,111,1993
A hierarchy of near-optimal policies for multistage adaptive optimization,"D Bertsimas, DA Iancu, PA Parrilo","IEEE Transactions on Automatic Control 56 (12), 2809-2824",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11306156781100700775,110,2011
Asymptotically optimal algorithms for job shop scheduling and packet routing,"D Bertsimas, D Gamarnik","Journal of Algorithms 33 (2), 296-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16551808912844355050,109,1999
"Fairness, efficiency, and flexibility in organ allocation for kidney transplantation","D Bertsimas, VF Farias, N Trichakis","Operations Research 61 (1), 73-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5235964188962442866,107,2013
Constrained stochastic LQC: a tractable approach,"D Bertsimas, DB Brown","IEEE Transactions on automatic control 52 (10), 1826-1841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5988637123796229386,106,2007
Dynamic pricing: A learning approach,"D Bertsimas, G Perakis","Mathematical and computational models for congestion charging, 45-79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7648027977230770449,101,2006
Optimal control of execution costs for portfolios,"D Bertsimas, P Hummel, AW Lo","Computing in Science & Engineering 1 (6), 40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8521471294319955396,98,2000
From predictive to prescriptive analytics,"D Bertsimas, N Kallus",Management Science,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4832689918196177155,95,2019
Performance of multiclass Markovian queueing networks via piecewise linear Lyapunov functions,"D Bertsimas, D Gamarnik, JN Tsitsiklis","The Annals of Applied Probability 11 (4), 1384-1428","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12898583844204914019,9957561320600438503,16012604296431742119,11317214784114929300,2118478960617347673",95,2001
On dependent randomized rounding algorithms,"D Bertsimas, C Teo, R Vohra","Operations Research Letters 24 (3), 105-114","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17953871918147351832,17537236080571851251",95,1999
Probabilistic service level guarantees in make-to-stock manufacturing systems,"D Bertsimas, IC Paschalidis","Operations Research 49 (1), 119-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9750085594273446030,93,2001
Asymptotic buffer overflow probabilities in multiclass multiplexers: An optimal control approach,"D Bertsimas, IC Paschalidis, JN Tsitsiklis","IEEE Transactions on Automatic Control 43 (3), 315-335","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10757732532473888370,17488573050492323031,15010618454437288354,8314755890745954921",92,1998
Data-driven estimation in equilibrium using inverse optimization,"D Bertsimas, V Gupta, IC Paschalidis","Mathematical Programming 153 (2), 595-633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1806759817116724842,91,2015
The distributional Little's law and its applications,"D Bertsimas, D Nakazato","Operations Research 43 (2), 298-310","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1680131827276054216,10692277404039733037,9862686504312877988",91,1995
The probabilistic minimum spanning tree problem,DJ Bertsimas,"Networks 20 (3), 245-275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6658559827663928914,90,1990
Robust optimization for unconstrained simulation-based problems,"D Bertsimas, O Nohadani, KM Teo","Operations research 58 (1), 161-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4550979553406741123,89,2010
Classification and regression via integer optimization,"D Bertsimas, R Shioda","Operations Research 55 (2), 252-271","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=82490487792009987,15946517343555200396",89,2007
Moment problems and semidefinite optimization,"D Bertsimas, J Sethuraman","Handbook of semidefinite programming, 469-509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7130662598073214819,87,2000
"Semidefinite relaxations, multivariate normal distributions, and order statistics","D Bertsimas, Y Ye","Handbook of Combinatorial Optimization, 1473-1491",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6282533279680413025,87,1998
The minimum spanning tree constant in geometrical probability and under the independent model: a unified approach,"F Avram, D Bertsimas","The Annals of Applied Probability 2 (1), 113-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2462510236197859090,85,1992
Design of near optimal decision rules in multistage adaptive mixed-integer optimization,"D Bertsimas, A Georghiou","Operations Research 63 (3), 610-627",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14554078277006892991,84,2015
Robust optimization with simulated annealing,"D Bertsimas, O Nohadani","Journal of Global Optimization 48 (2), 323-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6912617248337274976,84,2010
Depression and costs of health care,"CA Welch, D Czerwinski, B Ghimire, D Bertsimas","Psychosomatics 50 (4), 392-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12264880599876068833,84,2009
A new algorithm for state-constrained separated continuous linear programs,"X Luo, D Bertsimas","SIAM Journal on control and optimization 37 (1), 177-210","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13263712443407534212,13480664608711033403,13720601673576659936,1255626176407662862",83,1998
Rounding algorithms for covering problems,"D Bertsimas, R Vohra","Mathematical Programming 80 (1), 63-89","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12698152018999299364,8650289522125811254,701055518013300461,8782979546624791438",82,1998
Stability conditions for multiclass fluid queueing networks,"D Bertsimas, D Gamarnik, JN Tsitsiklis","IEEE Transactions on Automatic Control 41 (11), 1618-1631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17791218533615807031,79,1996
An analytic approach to a general class of G/G/s queueing systems,D Bertsimas,"Operations Research 38 (1), 139-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4776109310866027847,79,1990
Special issue papers: dynamic pricing and inventory control for multiple products,"D Bertsimas, S De Boer","Journal of Revenue and Pricing Management 3 (4), 303-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13308758313737478397,78,2005
Models and algorithms for transient queueing congestion at airports,"MD Peterson, DJ Bertsimas, AR Odoni","Management Science 41 (8), 1279-1295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3355443152865282335,78,1995
Equitable and efficient coordination in traffic flow management,"C Barnhart, D Bertsimas, C Caramanis, D Fearing","Transportation science 46 (2), 262-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11953516629838923879,77,2012
On the power of robust solutions in two-stage stochastic and adaptive optimization problems,"D Bertsimas, V Goyal","Mathematics of Operations Research 35 (2), 284-305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4880051034767864556,76,2010
On the large deviations behavior of acyclic networks of ,"D Bertsimas, IC Paschalidis, JN Tsitsiklis","The Annals of Applied Probability 8 (4), 1027-1069","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13146804650376894911,7734279208729980836,868724095996048870",75,1998
Reformulation versus cutting-planes for robust optimization,"D Bertsimas, I Dunning, M Lubin","Computational Management Science 13 (2), 195-217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3352198805416157489,73,2016
"Data, Models and Decisions: The Fundamentals of Management","D Bertsimas, R Freund",Southern Western College Topics Covered Include,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15448080786688066512,73,2000
Transient laws of non-stationary queueing systems and their applications,"D Bertsimas, G Mourtzinou","Queueing Systems 25 (1-4), 115-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1795596005471970795,73,1997
Tsitsiklis,D Bertsimas,"JN, Introduction to Linear Optimization. Athena Scientific",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3777813135863182415,70,1997
On the spacefilling curve heuristic for the Euclidean traveling salesman problem Technical report,"D Bertsimas, M Grigni","Oper. Res. Lett 8, 241-244","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1427078467648465257,14297355032405507736",70,0
Multistage robust mixed-integer optimization with adaptive partitions,"D Bertsimas, I Dunning","Operations Research 64 (4), 980-998",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10992749205645320448,68,2016
Large deviations analysis of the generalized processor sharing policy,"D Bertsimas, IC Paschalidis, JN Tsitsiklis","Queueing Systems 32 (4), 319-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2659039352907672545,67,1999
Inverse optimization: A new perspective on the Black-Litterman model,"D Bertsimas, V Gupta, IC Paschalidis","Operations research 60 (6), 1389-1403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2117976828742489312,66,2012
A learning approach for interactive marketing to a customer segment,"D Bertsimas, AJ Mersereau","Operations Research 55 (6), 1120-1135","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10850148127124655401,6305330274364998658",66,2007
Robust queueing theory,"C Bandi, D Bertsimas, N Youssef","Operations Research 63 (3), 676-700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16742357094251317316,65,2015
Tight bounds on expected order statistics,"D Bertsimas, K Natarajan, CP Teo","Probability in the Engineering and Informational Sciences 20 (4), 667-686",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14230329927464764067,65,2006
