Title,Authors,Platform,Cited_url,Cited_count,Year
A global geometric framework for nonlinear dimensionality reduction,"JB Tenenbaum, V De Silva, JC Langford","science 290 (5500), 2319-2323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14602426245887619907,12836,2000
The large‐scale structure of semantic networks: Statistical analyses and a model of semantic growth,"M Steyvers, JB Tenenbaum","Cognitive science 29 (1), 41-78","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17584566984588547699,14468160828108008888",1321,2005
"How to grow a mind: Statistics, structure, and abstraction","JB Tenenbaum, C Kemp, TL Griffiths, ND Goodman","science 331 (6022), 1279-1285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2667398573353002097,1189,2011
Human-level concept learning through probabilistic program induction,"BM Lake, R Salakhutdinov, JB Tenenbaum","Science 350 (6266), 1332-1338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11844685101409624506,1101,2015
Hierarchical topic models and the nested Chinese restaurant process,"TL Griffiths, MI Jordan, JB Tenenbaum, DM Blei","Advances in neural information processing systems, 17-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14596356293577721913,1083,2004
Topics in semantic representation.,"TL Griffiths, M Steyvers, JB Tenenbaum","Psychological review 114 (2), 211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5463233927600326418,1006,2007
Global versus local methods in nonlinear dimensionality reduction,"VD Silva, JB Tenenbaum","Advances in neural information processing systems, 721-728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8693952747906987279,993,2003
Theory-based Bayesian models of inductive learning and reasoning,"JB Tenenbaum, TL Griffiths, C Kemp","Trends in cognitive sciences 10 (7), 309-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6741344960992898446,827,2006
Word learning as Bayesian inference.,"F Xu, JB Tenenbaum","Psychological review 114 (2), 245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5476233692839102256,792,2007
Separating style and content with bilinear models,"JB Tenenbaum, WT Freeman","Neural Computation 12 (6), 1247-1283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9055885772599598246,772,2000
