Title,Authors,Platform,Cited_url,Cited_count,Year
Diffuse-charge dynamics in electrochemical systems,"MZ Bazant, K Thornton, A Ajdari","Physical review E 70 (2), 021506",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4413867679690074855,784,2004
Towards an understanding of induced-charge electrokinetics at large applied voltages in concentrated solutions,"MZ Bazant, MS Kilic, BD Storey, A Ajdari","Advances in colloid and interface science 152 (1-2), 48-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=332327593910890533,675,2009
Steric effects in the dynamics of electrolytes at large applied voltages. I. Double-layer charging,"MS Kilic, MZ Bazant, A Ajdari","Physical review E 75 (2), 021502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=770631416949345136,663,2007
Induced-charge electro-osmosis,"TM Squires, MZ Bazant","Journal of Fluid Mechanics 509, 217-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14004114459113281237,659,2004
Induced-charge electrokinetic phenomena: theory and microfluidic applications,"MZ Bazant, TM Squires","Physical Review Letters 92 (6), 066101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4092836326991102070,644,2004
Double layer in ionic liquids: Overscreening versus crowding,"MZ Bazant, BD Storey, AA Kornyshev","Physical Review Letters 106 (4), 046102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12655904982478513022,608,2011
Particle size dependence of the ionic diffusivity,"R Malik, D Burch, M Bazant, G Ceder","Nano letters 10 (10), 4123-4127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4854273905728985197,555,2010
"Theory of SEI formation in rechargeable batteries: capacity fade, accelerated aging and lifetime prediction","MB Pinson, MZ Bazant","Journal of the Electrochemical Society 160 (2), A243-A250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6810902031715060102,522,2013
Interatomic potential for silicon defects and disordered phases,"JF Justo, MZ Bazant, E Kaxiras, VV Bulatov, S Yip","Physical review B 58 (5), 2539",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5197605623177943317,484,1998
Environment-dependent interatomic potential for bulk silicon,"MZ Bazant, E Kaxiras, JF Justo","Physical Review B 56 (14), 8542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12129948754486732615,477,1997
Steric effects in the dynamics of electrolytes at large applied voltages. II. Modified Poisson-Nernst-Planck equations,"MS Kilic, MZ Bazant, A Ajdari","Physical review E 75 (2), 021503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14735806765927273066,439,2007
Suppression of Phase Separation in LiFePO,"P Bai, DA Cogswell, MZ Bazant","Nano letters 11 (11), 4890-4896",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3258436941170295137,344,2011
Induced-charge electrophoresis of metallodielectric particles,"S Gangwal, OJ Cayre, MZ Bazant, OD Velev","Physical review letters 100 (5), 058302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4360386969869225456,338,2008
Analysis of granular flow in a pebble-bed nuclear reactor,"CH Rycroft, GS Grest, JW Landry, MZ Bazant","Physical review E 74 (2), 021306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1866790079095446708,315,2006
Theory of chemical kinetics and charge transfer based on nonequilibrium thermodynamics,MZ Bazant,"Accounts of chemical research 46 (5), 1144-1160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8073942641829396898,314,2013
Intercalation dynamics in rechargeable battery materials: General theory and phase-transformation waves in LiFePO4,"GK Singh, G Ceder, MZ Bazant","Electrochimica Acta 53 (26), 7599-7613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10784128156274418474,295,2008
Transition of lithium growth mechanisms in liquid electrolytes,"P Bai, J Li, FR Brushett, MZ Bazant","Energy & Environmental Science 9 (10), 3221-3229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3758007944403347008,278,2016
Breaking symmetries in induced-charge electro-osmosis and electrophoresis,"TM Squires, MZ Bazant","Journal of Fluid Mechanics 560, 65-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8736286604305324267,278,2006
Current-voltage relations for electrochemical thin films,"MZ Bazant, KT Chu, BJ Bayly","SIAM journal on applied mathematics 65 (5), 1463-1484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8466021259868646973,277,2005
Coherency Strain and the Kinetics of Phase Separation in LiFePO,"DA Cogswell, MZ Bazant","ACS nano 6 (3), 2215-2225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13601738793223746256,271,2012
Statistical error in particle simulations of hydrodynamic phenomena,"NG Hadjiconstantinou, AL Garcia, MZ Bazant, G He","Journal of computational physics 187 (1), 274-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4488497060669611431,257,2003
Nonlinear dynamics of capacitive charging and desalination by porous electrodes,"PM Biesheuvel, MZ Bazant","Physical review E 81 (3), 031502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8936327124888503680,256,2010
Induced-charge electrokinetic phenomena,MZ Bazant,"Electrokinetics and Electrohydrodynamics in Microsystems, 221-297","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4519604025907087419,8909575327796355165",219,2011
Induced-charge electrokinetic phenomena,"MZ Bazant, TM Squires","Current Opinion in Colloid & Interface Science 15 (3), 203-213",,219,2010
Fast ac electro-osmotic micropumps with nonplanar electrodes,"JP Urbanski, T Thorsen, JA Levitan, MZ Bazant","Applied Physics Letters 89 (14), 143508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14031844793816538606,216,2006
Nonequilibrium thermodynamics of porous electrodes,"TR Ferguson, MZ Bazant","Journal of The Electrochemical Society 159 (12), A1967-A1985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16490381279795958238,215,2012
Size-dependent spinodal and miscibility gaps for intercalation in nanoparticles,"D Burch, MZ Bazant","Nano letters 9 (11), 3795-3800",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16998701764529222833,190,2009
Overlimiting current in a microchannel,"EV Dydek, B Zaltzman, I Rubinstein, DS Deng, A Mani, MZ Bazant","Physical review letters 107 (11), 118301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2964777788888610810,186,2011
Attractive forces in microporous carbon electrodes for capacitive deionization,"PM Biesheuvel, S Porada, M Levi, MZ Bazant","Journal of solid state electrochemistry 18 (5), 1365-1376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13827200774829819682,184,2014
Diffuse charge and Faradaic reactions in porous electrodes,"PM Biesheuvel, Y Fu, MZ Bazant","Physical Review E 83 (6), 061507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3771121479374419968,182,2011
Theoretical prediction of fast 3D AC electro-osmotic pumps,"MZ Bazant, Y Ben","Lab on a Chip 6 (11), 1455-1461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13578344336823353684,178,2006
Current-induced transition from particle-by-particle to concurrent intercalation in phase-separating battery electrodes,"Y Li, F El Gabaly, TR Ferguson, RB Smith, NC Bartelt, JD Sugar, ...","Nature materials 13 (12), 1149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14534064832330307359,174,2014
Tensorial hydrodynamic slip,"MZ Bazant, OI Vinogradova","Journal of Fluid Mechanics 613, 125-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16168574359377513514,172,2008
Experimental observation of induced-charge electro-osmosis around a metal wire in a microchannel,"JA Levitan, S Devasenathipathy, V Studer, Y Ben, T Thorsen, TM Squires, ...",Colloids and Surfaces A: Physicochemical and Engineering Aspects 267 (1-3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8928423546019045121,170,2005
Origin and hysteresis of lithium compositional spatiodynamics within battery primary particles,"J Lim, Y Li, DH Alsem, H So, SC Lee, P Bai, DA Cogswell, X Liu, N Jin, ...","Science 353 (6299), 566-571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9920850123619658249,158,2016
Electrochemical thin films at and above the classical limiting current,"KT Chu, MZ Bazant","Siam Journal on Applied Mathematics 65 (5), 1485-1505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11596405739766333021,154,2005
Modeling of covalent bonding in solids by inversion of cohesive energy curves,"MZ Bazant, E Kaxiras","Physical review letters 77 (21), 4370",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16014599820960940446,152,1996
Rate-Dependent Morphology of Li,"B Horstmann, B Gallant, R Mitchell, WG Bessler, Y Shao-Horn, MZ Bazant","The journal of physical chemistry letters 4 (24), 4217-4222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14001268945169114789,144,2013
Charge transfer kinetics at the solid–solid interface in porous electrodes,"P Bai, MZ Bazant","Nature communications 5, 3585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1212178182037266463,139,2014
Effects of nanoparticle geometry and size distribution on diffusion impedance of battery electrodes,"J Song, MZ Bazant","Journal of The Electrochemical Society 160 (1), A15-A24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4841331107263896169,136,2013
