Title,Authors,Platform,Cited_url,Cited_count,Year
The Laplacian pyramid as a compact image code,"P Burt, E Adelson","IEEE Transactions on communications 31 (4), 532-540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11650651392044296280,8054,1983
The design and use of steerable filters,"WT Freeman, EH Adelson","IEEE Transactions on Pattern Analysis & Machine Intelligence, 891-906",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10166670535670508895,3999,1991
Spatiotemporal energy models for the perception of motion,"EH Adelson, JR Bergen","Josa a 2 (2), 284-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10749086880817846297,3963,1985
The plenoptic function and the elements of early vision,"EH Adelson, JR Bergen","Vision and Modeling Group, Media Laboratory, Massachusetts Institute of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3382592858606971739,1942,1991
Shiftable multiscale transforms,"EP Simoncelli, WT Freeman, EH Adelson, DJ Heeger","IEEE transactions on Information Theory 38 (2), 587-607","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8490752581543157585,15238485879706416605",1819,1992
Representing moving images with layers,"JYA Wang, EH Adelson","IEEE Transactions on Image Processing 3 (5), 625-638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18360943598902846102,1524,1994
A multiresolution spline with application to image mosaics,"PJ Burt, EH Adelson","ACM transactions on Graphics 2 (4), 217-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16072616433531144450,1434,1983
Phenomenal coherence of moving visual patterns,"EH Adelson, JA Movshon","Nature 300 (5892), 523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7320758538892793839,1295,1982
Single lens stereo with a plenoptic camera,"EH Adelson, JYA Wang","IEEE Transactions on Pattern Analysis & Machine Intelligence, 99-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2759642694776734834,1155,1992
Pyramid methods in image processing,"EH Adelson, CH Anderson, JR Bergen, PJ Burt, JM Ogden","RCA engineer 29 (6), 33-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1007165708168168771,1118,1984
The analysis of moving patterns,JA Movshon,"Pattern recognition mechanisms, 117-151","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7909673324687651278,713310532942055786",1040,1986
Motion illusions as optimal percepts,"Y Weiss, EP Simoncelli, EH Adelson","Nature neuroscience 5 (6), 598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16928023464124433108,1039,2002
Noise removal via Bayesian wavelet coring,"EP Simoncelli, EH Adelson","Proceedings of 3rd IEEE International Conference on Image Processing 1, 379-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15282813470673248226,870,1996
Analyzing and recognizing walking figures in XYT,"SA Niyogi, EH Adelson","CVPR 94, 469-474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5282995231863595324,824,1994
Perceptual organization and the judgment of brightness,EH Adelson,"Science 262 (5142), 2042-2044",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16582645111530489017,644,1993
24 Lightness Perception and Lightness Illusions,EH Adelson,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5719632400628685796,640,2000
Image statistics and the perception of surface qualities,"I Motoyoshi, S Nishida, L Sharan, EH Adelson","Nature 447 (7141), 206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14117991711283579544,551,2007
Probability distributions of optical flow,"EP Simoncelli, EH Adelson, DJ Heeger",Proceedings. 1991 IEEE Computer Society Conference on Computer Vision and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12896969589904621386,534,1991
Orthogonal pyramid transforms for image coding.,"EH Adelson, E Simoncelli, R Hingorani","Visual Communications and image processing II 845, 50-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10082562721029980399,496,1987
Recovering intrinsic images from a single image,"MF Tappen, WT Freeman, EH Adelson","Advances in neural information processing systems, 1367-1374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6125742585666051424,485,2003
Digital signal encoding and decoding apparatus,EH Adelson,"US Patent 4,939,515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10173616921443330607,421,1990
Early vision and texture perception,"JR Bergen, EH Adelson","Nature 333 (6171), 363-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3157522845347621392,411,1988
Real-world illumination and the perception of surface reflectance properties,"RW Fleming, RO Dror, EH Adelson","Journal of vision 3 (5), 3-3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=959492833092130620,402,2003
Layered representation for motion analysis,"JYA Wang, EH Adelson",Proceedings of IEEE Conference on Computer Vision and Pattern Recognition …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=198530404556844048,396,1993
A unified mixture framework for motion segmentation: Incorporating spatial coherence and estimating the number of models,"Y Weiss, EH Adelson",Proceedings CVPR IEEE Computer Society Conference on Computer Vision and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=254099024254568903,338,1996
Directionally selective complex cells and the computation of motion energy in cat visual cortex,"RC Emerson, JR Bergen, EH Adelson","Vision research 32 (2), 203-218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12773946357098226294,338,1992
Transparent motion perception as detection of unbalanced motion signals. I. Psychophysics,"N Qian, RA Andersen, EH Adelson","Journal of Neuroscience 14 (12), 7357-7366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5761000706271573090,334,1994
Motion magnification,"C Liu, A Torralba, WT Freeman, F Durand, EH Adelson","ACM transactions on graphics (TOG) 24 (3), 519-526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1049915870896356014,310,2005
Specular reflections and the perception of shape,"RW Fleming, A Torralba, EH Adelson","Journal of vision 4 (9), 10-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18219878786318520007,304,2004
Apparent ridges for line drawing,"T Judd, F Durand, E Adelson","ACM Transactions on Graphics (TOG) 26 (3), 19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12015113527058573461,297,2007
