Title,Authors,Platform,Cited_url,Cited_count,Year
"Innovator's DNA, Updated, with a New Preface: Mastering the Five Skills of Disruptive Innovators","J Dyer, H Gregersen, CM Christensen",Harvard Business Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3437190156014218306,14251203496259428606,4547035346950829311",1045,2019
Bundling human capital with organizational context: The impact of international assignment experience on multinational firm performance and CEO pay,"MA Carpenter, WG Sanders, HB Gregersen","Academy of management journal 44 (3), 493-511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4108855855585364143,923,2001
Global assignments: Successfully expatriating and repatriating international managers,"S Black, HB Gregersen, ME Mendenhall",Jossey-Bass,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10890693731452107919,914,1992
The right way to manage expats,"JS Black, HB Gregersen","Harvard business review 77 (2), 52-53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5294336390233183282,905,1999
Antecedents to cross-cultural adjustment for expatriates in Pacific Rim assignments,"JS Black, HB Gregersen","Human relations 44 (5), 497-515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=386513990040813738,835,1991
Globalizing people through international assignements,JS Black,Addison-Wesley,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15859079264879617829,782,1999
You can take it with you: Individual differences and expatriate effectiveness.,"MA Shaffer, DA Harrison, H Gregersen, JS Black, LA Ferzandi","Journal of Applied psychology 91 (1), 109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17510143976825081438,752,2006
Developing leaders for the global frontier,"HB Gregersen, AJ Morrison, JS Black","Sloan management review 40 (1), 21-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8610735702936069101,698,1998
Task interdependence and extrarole behavior: A test of the mediating effects of felt responsibility.,"JL Pearce, HB Gregersen","Journal of applied psychology 76 (6), 838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16693361461093202567,627,1991
The other half of the picture: Antecedents of spouse cross-cultural adjustment,"JS Black, HB Gregersen","Journal of international business studies 22 (3), 461-477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=191140406534580893,540,1991
Toward a theoretical framework of repatriation adjustment,"JS Black, HB Gregersen, ME Mendenhall","Journal of International Business Studies 23 (4), 737-760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7154181562461357664,519,1992
Antecedents to commitment to a parent company and a foreign operation,"HB Gregersen, JS Black","Academy of Management journal 35 (1), 65-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6754819661592198575,481,1992
Global explorers: The next generation of leaders,"JS Black, AJ Morrison, HB Gregersen",Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9720859301572548805,453,2013
When Yankee comes home: Factors related to expatriate and spouse repatriation adjustment,"JS Black, HB Gregersen","Journal of International Business Studies 22 (4), 671-694",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10406167223238325082,381,1991
"Entrepreneur behaviors, opportunity recognition, and the origins of innovative ventures","JH Dyer, HB Gregersen, C Christensen","Strategic Entrepreneurship Journal 2 (4), 317-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6479251026325645197,368,2008
A multifaceted approach to expatriate retention in international assignments,"HB Gregersen, JS Black","Group & Organization Studies 15 (4), 461-485",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4696558639554004375,352,1990
