Title,Authors,Platform,Cited_url,Cited_count,Year
Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 716 (1), 30-61","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8663470026986383108,13509996614094306721",14576,2012
Observation of a new boson with mass near 125 GeV in pp collisions at ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Journal of High Energy Physics 2013 (6), 81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7818861038406050561,1540,2013
Combined results of searches for the standard model Higgs boson in pp collisions at s= 7 TeV,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 710 (1), 26-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10984039559992434115,1119,2012
Study of high- pT charged particle su p pression in PbPb com pared to p p collisions at ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","The European Physical Journal C 72 (3), 1945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15285576614024799029,718,2012
Study of the Mass and Spin-Parity of the Higgs Boson Candidate via Its Decays to ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physical Review Letters 110 (8), 081803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13461181565164773990,711,2013
"Observation of long-range, near-side angular correlations in pPb collisions at the LHC","S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 718 (3), 795-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5568839845575792058,613,2013
Search for neutral Higgs bosons decaying to tau pairs in pp collisions at s= 7TeV,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 713 (2), 68-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15953200056285913980,383,2012
Centrality dependence of dihadron correlations and azimuthal anisotropy harmonics in PbPb collisions at ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...",The European Physical Journal C 72 (5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1056955103878436678,366,2012
Search for dark matter and large extra dimensions in monojet events in pp collisions at ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Journal of High Energy Physics 2012 (9), 94","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11602972285672569371,3136678237295684916",363,2012
Jet momentum dependence of jet quenching in PbPb collisions at sNN= 2.76 TeV,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 712 (3), 176-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9039362339457536597,357,2012
Measurements of differential jet cross sections in proton-proton collisions at ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physical Review D 87 (11), 112002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14027366984363266670,325,2013
Observation of Sequential ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physical review letters 109 (22), 222301","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3898869412471728394,11043853822418301025",312,2012
Measurement of the inelastic proton–proton cross section at s= 7 TeV,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 722 (1-3), 5-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10985122213804008377,295,2013
Measurement of Inclusive ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physical review letters 112 (19), 191802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5864518464058572460,292,2014
Search for the standard model Higgs boson decaying into two photons in pp collisions at s= 7TeV,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Physics Letters B 710 (3), 403-425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=416820437368197617,278,2012
Search for anomalous ,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Journal of High Energy Physics 2012 (9), 29","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9138416940211407390,7645825587195257924",261,2012
