Title,Authors,Platform,Cited_url,Cited_count,Year
Dynamic nuclear polarization at high magnetic fields,"T Maly, GT Debelouchina, VS Bajaj, KN Hu, CG Joo, ML Mak–Jurkauskas, ...","The Journal of chemical physics 128 (5), 02B611",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2542255632011009582,678,2008
Vacuum electronic high power terahertz sources,"JH Booske, RJ Dobbs, CD Joye, CL Kory, GR Neil, GS Park, J Park, ...","IEEE Transactions on Terahertz Science and Technology 1 (1), 54-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8540273349508106287,674,2011
Dynamic nuclear polarization with a cyclotron resonance maser at 5 T,"LR Becerra, GJ Gerfen, RJ Temkin, DJ Singel, RG Griffin","Physical Review Letters 71 (21), 3561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8826748537655394880,406,1993
High frequency dynamic nuclear polarization,"QZ Ni, E Daviso, TV Can, E Markhasin, SK Jawla, TM Swager, RJ Temkin, ...","Accounts of Chemical Research 46 (9), 1933-1941",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12838604005617585466,341,2013
Characteristics and applications of fast-wave gyrodevices,"KL Felch, BG Danly, HR Jory, KE Kreischer, W Lawson, B Levush, ...","Proceedings of the IEEE 87 (5), 752-781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18214838822502520305,304,1999
Generalized nonlinear harmonic gyrotron theory,"BG Danly, RJ Temkin","The Physics of fluids 29 (2), 561-567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11172573829470388196,280,1986
High-field dynamic nuclear polarization for solid and solution biological NMR,"AB Barnes, G De Paëpe, PCA Van Der Wel, KN Hu, CG Joo, VS Bajaj, ...","Applied magnetic resonance 34 (3-4), 237-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17728754724814114245,279,2008
Solid-state dynamic nuclear polarization at 263 GHz: spectrometer design and experimental results,"M Rosay, L Tometich, S Pawsey, R Bader, R Schauwecker, M Blank, ...","Physical Chemistry Chemical Physics 12 (22), 5850-5860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7141226053487055093,267,2010
Dynamic nuclear polarization at 9 T using a novel 250 GHz gyrotron microwave source,"VS Bajaj, CT Farrar, MK Hornstein, I Mastovsky, J Vieregg, J Bryant, ...","Journal of Magnetic Resonance 160 (2), 85-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8041604311739822446,267,2003
Observation of frequency-locked coherent terahertz Smith-Purcell radiation,"SE Korbly, AS Kesar, JR Sirigiri, RJ Temkin","Physical review letters 94 (5), 054803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1512685276246691749,206,2005
