Title,Authors,Platform,Cited_url,Cited_count,Year
Neuroscience,"MF Bear, BW Connors, MA Paradiso",Lippincott Williams & Wilkins,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13218450193499461097,14695596615258457666,14595533783491969615",4119,2007
LTP and LTD: an embarrassment of riches,"RC Malenka, MF Bear","Neuron 44 (1), 5-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5105652140332370748,3716,2004
Homosynaptic long-term depression in area CA1 of hippocampus and effects of ,"SM Dudek, MF Bear",How We Learn; How We Remember: Toward An Understanding Of Brain And Neural …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5237995151220348237,1799,1995
Learning induces long-term potentiation in the hippocampus,"JR Whitlock, AJ Heynen, MG Shuler, MF Bear","science 313 (5790), 1093-1097",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3889437499033941272,1687,2006
The mGluR theory of fragile X mental retardation,"MF Bear, KM Huber, ST Warren","Trends in neurosciences 27 (7), 370-377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4167187884220641804,1491,2004
Metaplasticity: the plasticity of synaptic plasticity,"WC Abraham, MF Bear","Trends in neurosciences 19 (4), 126-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=743311876123931554,1427,1996
Synaptic plasticity: LTP and LTD,"MF Bear, RC Malenka","Current opinion in neurobiology 4 (3), 389-399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2160023462770689570,1365,1994
Altered synaptic plasticity in a mouse model of fragile X mental retardation,"KM Huber, SM Gallagher, ST Warren, MF Bear","Proceedings of the National Academy of Sciences 99 (11), 7746-7750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17966091651809489526,1189,2002
Regulation of distinct AMPA receptor phosphorylation sites during bidirectional synaptic plasticity,"HK Lee, M Barbarosie, K Kameyama, MF Bear, RL Huganir","Nature 405 (6789), 955",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14922557820887039780,1127,2000
BDNF regulates the maturation of inhibition and the critical period of plasticity in mouse visual cortex,"ZJ Huang, A Kirkwood, T Pizzorusso, V Porciatti, B Morales, MF Bear, ...","Cell 98 (6), 739-755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2761919000673242992,1094,1999
Role for rapid dendritic protein synthesis in hippocampal mGluR-dependent long-term depression,"KM Huber, MS Kayser, MF Bear","Science 288 (5469), 1254-1256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3552228932875554931,932,2000
Modulation of visual cortical plasticity by acetylcholine and noradrenaline,"MF Bear, W Singer","Nature 320 (6058), 172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6477051521793622033,930,1986
"Blockade of"" NMDA"" receptors disrupts experience-dependent plasticity of kitten striate cortex","A Kleinschmidt, MF Bear, W Singer","Science 238 (4825), 355-358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1570361930587954222,920,1987
Correction of fragile X syndrome in mice,"G Dölen, E Osterweil, BSS Rao, GB Smith, BD Auerbach, S Chattarji, ...","Neuron 56 (6), 955-962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2523160095628863244,897,2007
Neurociências: desvendando o sistema nervoso,"MF Bear, BW Connors, MA Paradiso",Artmed Editora,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10280270360018323067,710,2002
NMDA induces long-term synaptic depression and dephosphorylation of the GluR1 subunit of AMPA receptors in hippocampus,"HK Lee, K Kameyama, RL Huganir, MF Bear","Neuron 21 (5), 1151-1162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18356571776960131640,665,1998
Long-term depression in hippocampus,"MF Bear, WC Abraham","Annual review of neuroscience 19 (1), 437-462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7243299363322529153,654,1996
A physiological basis for a theory of synapse modification,"MF Bear, LN Cooper, FF Ebner","Science 237 (4810), 42-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3760779715001183403,615,1987
"Rapid, experience-dependent expression of synaptic NMDA receptors in visual cortex ","EM Quinlan, BD Philpot, RL Huganir, MF Bear","Nature neuroscience 2 (4), 352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10683057113504488737,601,1999
Bidirectional long-term modification of synaptic effectiveness in the adult and immature hippocampus,"SM Dudek, MF Bear","Journal of Neuroscience 13 (7), 2910-2918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1613529575667101307,590,1993
Experience-dependent modification of synaptic plasticity in visual cortex,"A Kirkwood, MG Rioult, MF Bear","Nature 381 (6582), 526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18032156516253943321,583,1996
Disruption of experience-dependent synaptic modifications in striate cortex by infusion of an NMDA receptor antagonist,"MF Bear, A Kleinschmidt, QA Gu, W Singer","Journal of Neuroscience 10 (3), 909-925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6039250357944702546,566,1990
Internalization of ionotropic glutamate receptors in response to mGluR activation,"EM Snyder, BD Philpot, KM Huber, X Dong, JR Fallon, MF Bear","Nature neuroscience 4 (11), 1079",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13961247359418056068,553,2001
