Title,Authors,Platform,Cited_url,Cited_count,Year
Mesoscale iron enrichment experiments 1993-2005: Synthesis and future directions,"PW Boyd, T Jickells, CS Law, S Blain, EA Boyle, KO Buesseler, KH Coale, ...","science 315 (5812), 612-617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15910133129529905797,1149,2007
Emergent biogeography of microbial communities in a model ocean,"MJ Follows, S Dutkiewicz, S Grant, SW Chisholm","science 315 (5820), 1843-1846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10583363090687061203,673,2007
"Oceanic sources, sinks, and transport of atmospheric CO2","N Gruber, M Gloor, SEM Fletcher, SC Doney, S Dutkiewicz, MJ Follows, ...","Glob. Biogeochem. Cycles 23, 1601-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8405718287398748314,420,2009
Inverse estimates of anthropogenic CO,"SE Mikaloff Fletcher, N Gruber, AR Jacobson, SC Doney, S Dutkiewicz, ...",Global Biogeochemical Cycles 20 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7814277475883676481,306,2006
Single-Cell Genomics Reveals Hundreds of Coexisting Subpopulations in Wild Prochlorococcus,"N Kashtan, SE Roggensack, S Rodrigue, JW Thompson, SJ Biller, A Coe, ...","Science 344 (6182), 416-420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8477500051657439679,304,2014
A holistic approach to marine eco-systems biology,"E Karsenti, SG Acinas, P Bork, C Bowler, C De Vargas, J Raes, M Sullivan, ...","PLoS biology 9 (10), e1001177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16622462832774883509,262,2011
Patterns of diversity in marine phytoplankton,"AD Barton, S Dutkiewicz, G Flierl, J Bragg, MJ Follows","Science 327 (5972), 1509-1511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16829095553482521015,250,2010
Rethinking the marine carbon cycle: factoring in the multifarious lifestyles of microbes,"AZ Worden, MJ Follows, SJ Giovannoni, S Wilken, AE Zimmerman, ...","Science 347 (6223), 1257594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5405242280243300998,249,2015
Evaluation of ocean model ventilation with CFC-11: comparison of 13 global ocean models,"JC Dutay, JL Bullister, SC Doney, JC Orr, R Najjar, K Caldeira, ...","Ocean Modelling 4 (2), 89-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15327100433079930114,239,2002
Evaluating global ocean carbon models: The importance of realistic physics,"SC Doney, K Lindsay, K Caldeira, JM Campin, H Drange, JC Dutay, ...",Global Biogeochemical Cycles 18 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7974822251050818869,222,2004
The role of nutricline depth in regulating the ocean carbon cycle,"P Cermeño, S Dutkiewicz, RP Harris, M Follows, O Schofield, ...","Proceedings of the National Academy of Sciences 105 (51), 20344-20349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17272967706140370984,204,2008
Decoupling of iron and phosphate in the global ocean,"P Parekh, MJ Follows, EA Boyle",Global Biogeochemical Cycles 19,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3411893025580949887,199,2005
The Ekman transfer of nutrients and maintenance of new production over the North Atlantic,"RG Williams, MJ Follows","Deep Sea Research-Part I-Oceanographic Research Papers 45 (2), 461-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14803929877839959773,192,1998
Evaluation of ocean carbon cycle models with data-based metrics,"K Matsumoto, JL Sarmiento, RM Key, O Aumont, JL Bullister, K Caldeira, ...",American Geophysical Union,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13124692008392135150,185,2004
"Impact of circulation on export production, dissolved organic matter, and dissolved oxygen in the ocean: Results from Phase II of the Ocean Carbon‐cycle Model Intercomparison …","RG Najjar, X Jin, F Louanchi, O Aumont, K Caldeira, SC Doney, JC Dutay, ...",Global Biogeochemical Cycles 21 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2463036684274725396,183,2007
Modeling diverse communities of marine microbes,"MJ Follows, S Dutkiewicz","Annual Review of Marine Science 3, 427-451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14250344713326896944,172,2011
"Preformed phosphate, soft tissue pump and atmospheric CO2","T Ito, MJ Follows","Journal of Marine Research 63 (4), 813-839",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9008158196621916372,172,2005
Modeling the global ocean iron cycle,"P Parekh, MJ Follows, EA Boyle",American Geophysical Union,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18353838128519667674,164,2004
Modeling the coupling of ocean ecology and biogeochemistry,"S Dutkiewicz, M Follows, JG Bragg, ...",MIT Joint Program on the Science and Policy of Global Change,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14130280031124438507,157,2009
A size‐structured food‐web model for the global ocean,"BA Ward, S Dutkiewicz, O Jahn, MJ Follows","Limnology and Oceanography 57 (6), 1877-1891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15827979687292357287,152,2012
Ocean dynamics and the carbon cycle: Principles and mechanisms,"RG Williams, MJ Follows",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=187839789528197596,151,2011
Interannual variability of phytoplankton abundances in the North Atlantic,"S Dutkiewicz, M Follows, J Marshall, WW Gregg","Deep Sea Research Part II: Topical Studies in Oceanography 48 (10), 2323-2344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14214532781640451687,147,2001
Interactions of the iron and phosphorus cycles: A three‐dimensional model study,"S Dutkiewicz, MJ Follows, P Parekh",Global Biogeochemical Cycles 19 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9371657483105397777,141,2005
Iron conservation by reduction of metalloenzyme inventories in the marine diazotroph Crocosphaera watsonii,"MA Saito, EM Bertrand, S Dutkiewicz, VV Bulygin, DM Moran, ...","Proceedings of the National Academy of Sciences 108 (6), 2184-2189",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14393896444476059849,138,2011
Physical transport of nutrients and the maintenance of biological production,"RG Williams, MJ Follows","Ocean Biogeochemistry, 19-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18203627258908532866,136,2003
"The co-evolution of the nitrogen, carbon and oxygen cycles in the Proterozoic ocean","K Fennel, M Follows, PG Falkowski","American Journal of Science 305 (6-8), 526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15308239841612870836,134,2005
Inverse estimates of the oceanic sources and sinks of natural CO,"SE Mikaloff Fletcher, N Gruber, AR Jacobson, M Gloor, SC Doney, ...",Global Biogeochemical Cycles 21 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15377100525239388417,133,2007
Mechanisms of air‐sea CO,"GA McKinley, MJ Follows, J Marshall",Global Biogeochemical Cycles 18 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11139898035371274693,124,2004
Impact of ocean acidification on the structure of future phytoplankton communities,"S Dutkiewicz, JJ Morris, MJ Follows, J Scott, O Levitan, ST Dyhrman, ...","Nature Climate Change 5 (11), 1002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11195168955839224602,113,2015
An analysis of the carbon balance of the Arctic Basin from 1997 to 2006,"AD McGuire, DJ Hayes, DW Kicklighter, M Manizza, Q Zhuang, M Chen, ...","Tellus B: Chemical and Physical Meteorology 62 (5), 455-474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12650043959554508608,113,2010
