Title,Authors,Platform,Cited_url,Cited_count,Year
Are overconfident CEOs better innovators?,"D Hirshleifer, A Low, SH Teoh","The journal of finance 67 (4), 1457-1498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7456927349563430440,945,2012
Managerial risk-taking behavior and equity-based compensation,A Low,"Journal of Financial Economics 92 (3), 470-490","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17749903182368682844,6122380601866674841",610,2009
Why do firms appoint CEOs as outside directors?,"R Fahlenbrach, A Low, RM Stulz","Journal of Financial Economics 97 (1), 12-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8706877947948348686,305,2010
Non-executive employee stock options and corporate innovation,"X Chang, K Fu, A Low, W Zhang","Journal of financial economics 115 (1), 168-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8408846472754345217,186,2015
The dark side of outside directors: Do they quit when they are most needed?,"R Fahlenbrach, A Low, RM Stulz",National Bureau of Economic Research,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12224950981291621748,99,2010
"Persistence in firm policies, firm origin, and corporate culture: Evidence from corporate spin-offs","H Cronqvist, A Low, M Nilsson","EFA 2007 Ljubljana Meetings Paper, 2007-1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17945115345558318352,7814678975608495894",61,2009
Do independent director departures predict future bad events?,"R Fahlenbrach, A Low, RM Stulz","The Review of Financial Studies 30 (7), 2313-2358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12412220639955265493,46,2017
Friendly boards and innovation,"JK Kang, WL Liu, A Low, L Zhang","Journal of Empirical Finance 45, 1-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8394729710115966278,35,2018
Career concerns and the busy life of the young CEO,"X Li, A Low, AK Makhija","Journal of Corporate Finance, Forthcoming, 2011-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15845644109415729505,31,2014
Monitoring the monitor: Distracted institutional investors and board governance,"C Liu, A Low, RW Masulis, L Zhang",European Corporate Governance Institute (ECGI)-Finance Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10000040448897531158,20,2017
Career concerns and the busy life of the young CEO,"X Li, A Low, AK Makhija","Journal of Corporate Finance 47, 88-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17494977710113620197,18,2017
Managerial risk-taking behavior and equity-based compensation,A Low,"Fisher College of Business Working Paper, 003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3332284049692174442,17,2008
The importance of network recommendations in the director labor market,"R Fahlenbrach, H Kim, A Low",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6219401546377641895,6,2018
The impact of shareholder power on bondholders: Evidence from mergers and acquisitions,"A Low, AK Makhija, AB Sanders","Ohio State University, Charles A. Dice Center for Research in Financial …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15755447716777499153,6,2007
Does corporate culture matter for firm policies,"H Cornqvist, A Low, M Nilsson",online] http://www. sifr. org/PDFs/sifr-wp48. pdf (accessed 26 February 2014),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12557347209752316243,5,2006
