Title,Authors,Platform,Cited_url,Cited_count,Year
All‐inorganic colloidal perovskite quantum dots: a new class of lasing materials with favorable characteristics,"Y Wang, X Li, J Song, L Xiao, H Zeng, H Sun","Advanced Materials 27 (44), 7101-7108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13967501849632819857,587,2015
Nonlinear absorption and low-threshold multiphoton pumped stimulated emission from all-inorganic perovskite nanocrystals,"Y Wang, X Li, X Zhao, L Xiao, H Zeng, H Sun","Nano letters 16 (1), 448-453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4580692763891990267,282,2016
"Room-temperature luminescence of excitons in ZnO/(Mg, Zn) O multiple quantum wells on lattice-matched substrates","T Makino, CH Chia, NT Tuan, HD Sun, Y Segawa, M Kawasaki, A Ohtomo, ...","Applied Physics Letters 77 (7), 975-977",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17285105941287774171,277,2000
Hierarchical Assembly of ZnO Nanostructures on SnO,"C Cheng, B Liu, H Yang, W Zhou, L Sun, R Chen, SF Yu, J Zhang, ...","ACS nano 3 (10), 3069-3076",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17847013163432786950,261,2009
Surface plasmon enhanced band edge luminescence of ZnO nanorods by capping Au nanoparticles,"CW Cheng, EJ Sie, B Liu, CHA Huan, TC Sum, HD Sun, HJ Fan","Applied Physics Letters 96 (7), 071107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8643861816853360263,260,2010
Mono-sized single-wall carbon nanotubes formed in channels of ,"ZK Tang, HD Sun, J Wang, J Chen, G Li","Applied Physics Letters 73 (16), 2287-2289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3829031626479265312,250,1998
Ultrathin three-dimensional thermal cloak,"H Xu, X Shi, F Gao, H Sun, B Zhang","Physical Review Letters 112 (5), 054301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12915122784621253408,223,2014
"TiO2/(CdS, CdSe, CdSeS) nanorod heterostructures and photoelectrochemical properties","J Luo, L Ma, T He, CF Ng, S Wang, H Sun, HJ Fan","The Journal of Physical Chemistry C 116 (22), 11956-11963",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=810442636403511297,218,2012
Room temperature excitonic whispering gallery mode lasing from high‐quality hexagonal ZnO microdisks,"R Chen, B Ling, XW Sun, HD Sun","Advanced Materials 23 (19), 2199-2204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1125488018665462407,216,2011
Enhancement of exciton binding energies in ZnO/ZnMgO multiquantum wells,"HD Sun, T Makino, Y Segawa, M Kawasaki, A Ohtomo, K Tamura, ...","Journal of applied physics 91 (4), 1993-1997",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7324543828636353444,192,2002
