Title,Authors,Platform,Cited_url,Cited_count,Year
Low bandgap semiconducting polymers for polymeric photovoltaics,"C Liu, K Wang, X Gong, AJ Heeger","Chemical Society Reviews 45 (17), 4825-4846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1140559914593802716,283,2016
Single-junction polymer solar cells with over 10% efficiency by a novel two-dimensional donor–acceptor conjugated copolymer,"C Liu, C Yi, K Wang, Y Yang, RS Bhatta, M Tsige, S Xiao, X Gong","ACS applied materials & interfaces 7 (8), 4928-4935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11096495288886147612,258,2015
High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO 2,"D Yang, R Yang, K Wang, C Wu, X Zhu, J Feng, X Ren, G Fang, S Priya, ...","Nature communications 9 (1), 3239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9945947277658443077,197,2018
"Hole-Conductor-Free, Metal-Electrode-Free TiO","H Zhou, Y Shi, Q Dong, H Zhang, Y Xing, K Wang, Y Du, T Ma","The journal of physical chemistry letters 5 (18), 3241-3246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=627350196587653960,188,2014
Bulk heterojunction perovskite hybrid solar cells with large fill factor,"K Wang, C Liu, P Du, J Zheng, X Gong","Energy & Environmental Science 8 (4), 1245-1255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3563465109618497657,161,2015
Low-Temperature and Solution-Processed Amorphous WO,"K Wang, Y Shi, Q Dong, Y Li, S Wang, X Yu, M Wu, T Ma","The journal of physical chemistry letters 6 (5), 755-759",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4488428549473053072,160,2015
Insight into Perovskite Solar Cells Based on SnO,"Q Dong, Y Shi, K Wang, Y Li, S Wang, H Zhang, Y Xing, Y Du, X Bai, T Ma","The Journal of Physical Chemistry C 119 (19), 10212-10217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4368457493644719972,135,2015
Inverted organic photovoltaic cells,"K Wang, C Liu, T Meng, C Yi, X Gong","Chemical Society Reviews 45 (10), 2937-2975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5437847241037065110,117,2016
"High‐Performance Red, Green, and Blue Electroluminescent Devices Based on Blue Emitters with Small Singlet–Triplet Splitting and Ambipolar Transport Property","K Wang, F Zhao, C Wang, S Chen, D Chen, H Zhang, Y Liu, D Ma, ...","Advanced Functional Materials 23 (21), 2672-2680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1167148368344719413,116,2013
Highly narrowband photomultiplication type organic photodetectors,"W Wang, F Zhang, M Du, L Li, M Zhang, K Wang, Y Wang, B Hu, Y Fang, ...","Nano letters 17 (3), 1995-2002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1628183425633681444,111,2017
Low-Temperature Processed and Carbon-Based ZnO/CH,"H Zhou, Y Shi, K Wang, Q Dong, X Bai, Y Xing, Y Du, T Ma","The Journal of Physical Chemistry C 119 (9), 4600-4605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11060788735903791012,111,2015
Molecular weight effect on the efficiency of polymer solar cells,"C Liu, K Wang, X Hu, Y Yang, CH Hsu, W Zhang, S Xiao, X Gong, Y Cao","ACS applied materials & interfaces 5 (22), 12163-12167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16293566186621378750,109,2013
Inorganic–organic hybrid polymer with multiple redox for high-density data storage,"B Hu, C Wang, J Wang, J Gao, K Wang, J Wu, G Zhang, W Cheng, ...","Chemical Science 5, 3404-3408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8072571525287371328,101,2014
Efficient perovskite hybrid solar cells by highly electrical conductive PEDOT: PSS hole transport layer,"X Huang, K Wang, C Yi, T Meng, X Gong","Advanced Energy Materials 6 (3), 1501773",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=961394225284651537,85,2016
Novel carbazol-pyridine-carbonitrile derivative as excellent blue thermally activated delayed fluorescence emitter for highly efficient organic light-emitting devices,"W Liu, CJ Zheng, K Wang, Z Chen, DY Chen, F Li, XM Ou, YP Dong, ...","ACS applied materials & interfaces 7 (34), 18930-18936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4445104701099320371,85,2015
A dual functional additive for the HTM layer in perovskite solar cells,"H Zhang, Y Shi, F Yan, L Wang, K Wang, Y Xing, Q Dong, T Ma","Chemical Communications 50 (39), 5020-5022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7821837912421049989,84,2014
High performance planar heterojunction perovskite solar cells with fullerene derivatives as the electron transport layer,"C Liu, K Wang, P Du, T Meng, X Yu, SZD Cheng, X Gong","ACS applied materials & interfaces 7 (2), 1153-1159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13028610344960416698,83,2015
Novel Strategy to Develop Exciplex Emitters for High‐Performance OLEDs by Employing Thermally Activated Delayed Fluorescence Materials,"W Liu, JX Chen, CJ Zheng, K Wang, DY Chen, F Li, YP Dong, CS Lee, ...","Advanced Functional Materials 26 (12), 2002-2008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6173235488163299753,82,2016
Amorphous Inorganic Electron‐Selective Layers for Efficient Perovskite Solar Cells: Feasible Strategy Towards Room‐Temperature Fabrication,"K Wang, Y Shi, B Li, L Zhao, W Wang, X Wang, X Bai, S Wang, C Hao, ...","Advanced Materials 28 (9), 1891-1897",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3827292534707402494,79,2016
Ni,"H Peng, C Wei, K Wang, T Meng, G Ma, Z Lei, X Gong","ACS applied materials & interfaces 9 (20), 17067-17075",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4687844856252773972,77,2017
Efficient perovskite hybrid photovoltaics via alcohol‐vapor annealing treatment,"C Liu, K Wang, C Yi, X Shi, AW Smith, X Gong, AJ Heeger","Advanced Functional Materials 26 (1), 101-110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7309952073506047109,75,2016
π-Bridge-Independent 2-(Benzo[,"K Wang, Y Firdaus, M Babics, F Cruciani, Q Saleem, A El Labban, ...","Chemistry of Materials 28 (7), 2200-2208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8965561540534527295,71,2016
Solid‐state synthesis of ZnO nanostructures for quasi‐solid dye‐sensitized solar cells with high efficiencies up to 6.46%,"Y Shi, K Wang, Y Du, H Zhang, J Gu, C Zhu, L Wang, W Guo, A Hagfeldt, ...","Advanced Materials 25 (32), 4413-4419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12651180699196731047,69,2013
Efficient Solution‐Processed Bulk Heterojunction Perovskite Hybrid Solar Cells,"C Liu, K Wang, P Du, C Yi, T Meng, X Gong","Advanced Energy Materials 5 (12), 1402024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3075418523790472163,68,2015
Improving spectral response of monocrystalline silicon photovoltaic modules using high efficient luminescent down‐shifting Eu,"J Liu, K Wang, W Zheng, W Huang, CH Li, XZ You","Progress in Photovoltaics: Research and Applications 21 (4), 668-675",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4073137061500437898,68,2013
Fibrous scaffolds potentiate the paracrine function of mesenchymal stem cells: A new dimension in cell-material interaction,"N Su, PL Gao, K Wang, JY Wang, Y Zhong, Y Luo","Biomaterials 141, 74-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11486195191525039033,63,2017
Synthesis of conjugated polymers via an exclusive direct-arylation coupling reaction: a facile and straightforward way to synthesize thiophene-flanked benzothiadiazole …,"X Wang, K Wang, M Wang",Polymer Chemistry,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7593309866457256625,62,2015
Ultrasensitive solution-processed perovskite hybrid photodetectors,"C Liu, K Wang, C Yi, X Shi, P Du, AW Smith, A Karim, X Gong","Journal of Materials Chemistry C 3 (26), 6600-6606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7181778596091935308,58,2015
A Universal Double‐Side Passivation for High Open‐Circuit Voltage in Perovskite Solar Cells: Role of Carbonyl Groups in Poly (methyl methacrylate),"J Peng, JI Khan, W Liu, E Ugur, T Duong, Y Wu, H Shen, K Wang, H Dang, ...","Advanced Energy Materials 8 (30), 1801208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17500918400850410991,57,2018
From micro to macro: the hierarchical design in a micropatterned scaffold for cell assembling and transplantation,"K Wang, X Wang, C Han, W Hou, J Wang, L Chen, Y Luo","Advanced Materials 29 (2), 1604600",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6314642466884664292,57,2017
Polyaniline-modified oriented graphene hydrogel film as the free-standing electrode for flexible solid-state supercapacitors,"P Du, HC Liu, C Yi, K Wang, X Gong","ACS applied materials & interfaces 7 (43), 23932-23940",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8878582756761655539,57,2015
Avoiding energy loss on TADF emitters: controlling the dual conformations of D–A structure molecules based on the pseudoplanar segments,"K Wang, CJ Zheng, W Liu, K Liang, YZ Shi, SL Tao, CS Lee, XM Ou, ...","Advanced Materials 29 (47), 1701476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1235034623673055963,55,2017
"New multifunctional phenanthroimidazole–phosphine oxide hybrids for high-performance red, green and blue electroluminescent devices","K Wang, S Wang, J Wei, S Chen, D Liu, Y Liu, Y Wang","Journal of Materials Chemistry C 2 (33), 6817-6826",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7602447852246464939,53,2014
Ultrasensitive solution-processed broad-band photodetectors using CH 3 NH 3 PbI 3 perovskite hybrids and PbS quantum dots as light harvesters,"C Liu, K Wang, P Du, E Wang, X Gong, AJ Heeger","Nanoscale 7 (39), 16460-16469",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13988242071598750704,52,2015
CH,"Y Shi, Y Xing, Y Li, Q Dong, K Wang, Y Du, X Bai, S Wang, Z Chen, T Ma","The Journal of Physical Chemistry C 119 (28), 15868-15873",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12190089920421282606,51,2015
W (Nb) Ox-based efficient flexible perovskite solar cells: From material optimization to working principle,"K Wang, Y Shi, L Gao, R Chi, K Shi, B Guo, L Zhao, T Ma","Nano Energy 31, 424-431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17051402170903418891,48,2017
"Direct arylation polymerization: a green, streamlining synthetic approach to π-conjugated polymers","K Wang, M Wang","Current Organic Chemistry 17 (9), 999-1012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14141320801168439120,48,2013
Efficiencies of perovskite hybrid solar cells influenced by film thickness and morphology of CH3NH3PbI3− xClx layer,"K Wang, C Liu, P Du, L Chen, J Zhu, A Karim, X Gong","Organic Electronics 21, 19-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10230423842375873343,45,2015
The influence of binary processing additives on the performance of polymer solar cells,"C Liu, X Hu, C Zhong, M Huang, K Wang, Z Zhang, X Gong, Y Cao, ...","Nanoscale 6 (23), 14297-14304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1560016703153143322,43,2014
Isomeric thermally activated delayed fluorescence emitters for color purity-improved emission in organic light-emitting devices,"DY Chen, W Liu, CJ Zheng, K Wang, F Li, SL Tao, XM Ou, XH Zhang","ACS applied materials & interfaces 8 (26), 16791-16798",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1998029094052706787,41,2016
Balanced Ambipolar Poly(diketopyrrolopyrrole‐,"K Wang, G Wang, M Wang","Macromolecular rapid communications 36 (24), 2162-2170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2851624593955003437,41,2015
Highly fluorescent and bioresorbable polymeric nanoparticles with enhanced photostability for cell imaging,"S Huang, LS Liu, K Wang, C Yang, Y Luo, Y Zhang, B Cao, Y Kang, ...","Nanoscale 7, 889-895",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4211182126505936543,41,2015
Coumarin-based thermally activated delayed fluorescence emitters with high external quantum efficiency and low efficiency roll-off in the devices,"JX Chen, W Liu, CJ Zheng, K Wang, K Liang, YZ Shi, XM Ou, XH Zhang","ACS applied materials & interfaces 9 (10), 8848-8854",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7595622077418369856,40,2017
