Title,Authors,Platform,Cited_url,Cited_count,Year
Using the Facebook group as a learning management system: An exploratory study,"Q Wang, HL Woo, CL Quek, Y Yang, M Liu","British Journal of Educational Technology 43 (3), 428-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3503779113601550435,680,2012
Teacher efficacy in the context of teaching low achieving students,"LS Yeo, RP Ang, WH Chong, VS Huan, CL Quek","Current Psychology 27 (3), 192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4649785228158384439,173,2008
"Student perceptions of chemistry laboratory learning environments, student–teacher interactions and attitudes in secondary school gifted education classes in Singapore","QC Lang, AFL Wong, BJ Fraser","Research in Science Education 35 (2-3), 299-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14503726252391472065,149,2005
Singapore students’ and teachers’ perceptions of computer-supported project work classroom learning environments,"AFL Wong, CL Quek, S Divaharan, WC Liu, J Peer, MD Williams","Journal of Research on Technology in Education 38 (4), 449-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1474004997746970753,98,2006
Teacher-student interaction and gifted students' attitudes toward chemistry in laboratory classrooms in Singapore,"QC Lang, AFL Wong, BJ Fraser","Journal of Classroom Interaction, 18-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7364077827084053237,75,2005
Using Facebook for teaching and learning: a review of the literature,"Y Yang, Q Wang, HL Woo, CL Quek",International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6103775462333478537,66,2011
Teacher-student relationship: The influence of teacher interpersonal behaviours and perceived beliefs about teachers on the school adjustment of low achieving students in Asian …,"WH Chong, VS Huan, CL Quek, LS Yeo, RP Ang","School Psychology International 31 (3), 312-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5482324247734963639,46,2010
"Pre-service teachers™ beliefs, attitudes and expectations: a review of the literature","SNY Chong, IYF Wong, CL Quek",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=108604198751648750,43,2005
Gender differences in the perceptions of chemistry laboratory classroom environments,"CL Quek, AFL Wong, BJ Fraser","Queensland Journal of Educational Research 18 (2), 164-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17424702251576486040,35,2002
Teacher—Student Relationship Inventory: Testing for invariance across upper elementary and junior high samples,"RP Ang, WH Chong, VS Huan, CL Quek, LS Yeo","Journal of Psychoeducational Assessment 26 (4), 339-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16898919132659374951,34,2008
Analysing high school students' participation and interaction in an asynchronous online project-based learning environment,CL Quek,Australasian Journal of Educational Technology 26 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5377904564497457629,33,2010
Evaluating students’ perceptions and attitudes toward computer-mediated project-based learning environment: A case study,"LYB Seet, CL Quek","Learning Environments Research 13 (2), 173-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5961745190310051897,32,2010
How teacher-student relationship influenced student attitude towards teachers and school,"VSL Huan, GCL Quek, LS Yeo, RP Ang, WH Chong","The Asia-Pacific Education Researcher 21 (1), 151-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15630080824648416138,31,2012
Secondary school students’ perceptions of teacher–student interaction and students’ attitudes towards project work,"CL Quek, AFL Wong, S Divaharan, WC Liu, J Peer, MD Williams","Learning Environments Research 10 (3), 177-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2043095503449838121,26,2007
Designing and improving a blended synchronous learning environment: An educational design research,"Q Wang, CL Quek, X Hu",The International Review of Research in Open and Distributed Learning 18 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8234262910356445000,23,2017
Using asynchronous online discussions in primary school project work,"A Jamaludin, QC Lang",Australasian Journal of Educational Technology 22 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17383089719017735557,22,2006
Determinants and effects of perceptions of chemistry classroom learning environments in secondary school gifted education classes in Singapore,"CL Quek, AFL Wong, BJ Fraser",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14472770914859597280,22,2001
Exploring the affordances of Facebook for teaching and learning,"Q Wang, HL Woo, CL Quek",University of Bahrain,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=398940269820138819,19,2012
Modelling relationships between students’ academic achievement and community of inquiry in an online learning environment for a blended course,"JLF Choy, CL Quek","Australasian Journal of Educational Technology 32 (4), 106-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5730189025987689316,17,2016
Engaging in project work,CL Quek,MCGRAW-HILL EDUCATION-EUROPE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13265968807527848707,14,2006
Is my project work classroom environment conducive for student collaboration?,"CL Quek, AFL Wong","Teaching and Learning 23 (2), 107-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16222937351540288365,13,2002
Teacher–student interaction among gifted chemistry students in Singapore secondary schools,"CL Quek, AFL Wong, BJ Fraser",Annual meeting of the National Association for Research in Science Teaching …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8469085299030697944,10,1998
Students’ perspectives on the design and implementation of a blended synchronous learning environment,"Q Wang, C Huang, CL Quek",Australasian Journal of Educational Technology 34 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11668110900385081837,9,2018
Investigating design and technology students' peer interactions in a technology-mediated learning environment: A case study,"TM Yeo, CL Quek",Australasian Journal of Educational Technology 27 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2574631033000989197,9,2011
Project-based learning and students’ motivation: The Singapore context,"WC Liu, S Divaharan, J Peer, CL Quek, AFL Wong, MD Williams",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4164026333856778035,9,2004
Investigating design and technology students' participation and learning in a technology mediated learning environment,"TM Yeo, CL Quek",Australasian Journal of Educational Technology 24 (5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13434022544864741985,8,2008
Perceived usefulness of Facebook for teaching and learning: the student teacher’s perspective,"Q Wang, HL Woo, CL Quek","International Journal of Web Based Communities 9 (2), 243-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13943371387240937626,7,2013
Computer mediated communication as a collaborative tool for facilitating student-centered learning in project-based classrooms,"QC Lang, J Peer, S Divaharan, LW Chia, MD Williams, AFL Wong, ...","Educational Technology, 48-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9847707528347109945,7,2005
Exploring beginning teachers’ attitudes and beliefs on classroom management.,QC Lang,New Horizons in Education 61 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6021464148871617950,5,2013
"Fraser. B. & Wong, AFL (2001, December)",CL Quek,Determinants and effects of perceptions of Chemistry classroom learning …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5922777523972052674,5,0
Teachers' time investment in online teaching,"Q Wang, CL Quek, B Zhong",International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11957715972295249775,4,2017
Exploring Teachers' Perceptions of Wikis for Learning Classroom Cases,"QC Lang, W Qiyun","The Australian Journal of Teacher Education 39 (2), 101-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=516715769925753171,4,2014
Use of Facebook for Teaching and Learning: A Review of the Research,"Q Wang, H Woo, C Quek, Y Yang",International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2256674738811458181,4,2011
Preschool teachers’ perceptions of school learning environment and job satisfaction,"PMJ Lee, CL Quek","Learning Environments Research 21 (3), 369-386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7831412976436022430,3,2018
Designing a computer-supported project-based learning environment for high school students: A case study,CL Quek,Journal for Computing Teachers 3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10803765197112550662,3,2009
Analyzing my students’ face-to-face philosophy classroom discussions: An exploratory study,"MF Yip, DSH Au, CL Quek",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10105516258564636208,3,2006
Evaluating e-learning environments in Singapore lower secondary science classrooms,"QC Lang, AFL Wong","Technology-Rich Learning Environments: A Future Perspective, 285-305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2495716987592240857,3,2003
How do Singaporean and German students collaborate using online discussions in classroom project work?,"MF Yip, CL Quek, BYL Seet, AFL Wong","Teaching and Learning 24 (2), 169-179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17518112992211997101,3,2003
Laboratory classroom environment and teacher-student interaction among gifted chemistry students in Singapore secondary schools,CL Quek,Curtin University of Technology.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16343041964876266818,3,2001
Scaffolding high school students’ divergent idea generation in a computer-mediated design and technology learning environment,"TM Yeo, CL Quek","International Journal of Technology and Design Education 24 (3), 275-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6169422547222668893,2,2014
Developing an asynchronous computer mediated communication tool for project-based learning,CL Quek,"2010 4th International Conference on Distance Learning and Education, 222-225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14085296625633220439,2,2010
Supporting beginning teachers' case–based learning in a technology-mediated learning environment,"CL Quek, Q Wang",,,2,2010
Supporting beginning teachers' case–based learning in a technology-mediated learning environment,"CL Quek, Q Wang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5097963247600573987,2,2010
In-service teachers' experiential learning in a Weblog-based environment,CL Quek,International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5009862974705659486,2,2009
Pre-service teachers’ collaborative project crafting in computer-supported classroom learning environment,CL Quek,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4038013428054467154,2,2005
Stream differences in asynchronous online discussions: Analysing student cohesion and roles in technology-mediated project work classrooms,"A Jamaludin, CL Quek",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15898999865238630342,2,2005
Are My Students Collaborating Effectively in My Classroom?.,"CL Quek, AFL Wong",For full text: http://www. aare. edu. au/01pap/que01466. htm.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3781986018890229825,2,2001
Validation of Attitudes and Beliefs on Classroom Control Inventory among Beginning Teachers in Singapore Schools,"CL Quek, C Liu, S Kang, Q Wang, DAM Nonis","The Asia-Pacific Education Researcher 24 (1), 157-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4765123291091600319,1,2015
"Benefits, challenges and strategies of implementing blended learning in tertiary institutes","RH Chan, CL Quek",International Journal of Social Media and Interactive Learning Environments …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14530705235203610208,1,2014
What is happening in my first year pre-service teachers’ online learning environment?,CL Quek,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7437585866114233153,1,2007
Conceptualising a framework for engaged learning in the context of IT masterplan II in Singapore,"YH Teo, CS Chai, DWL Hung, CL Quek","Teaching and Learning 25 (1), 31-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5810985611617054632,1,2004
Approaches to effective use of Facebook for teaching and learning,"Q Wang, HL Woo, CL Quek","Hangzhou, China: Proceedings of 15th Global Chinese Conference on Computers …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=296360051655315783,1,0
Adult Learners’ Self-Directed Learning in a Blended Synchronous Learning Environment,"ZA TAY, CLG QUEK","EdMedia+ Innovate Learning, 307-312",,0,2019
Developing Students' Critical Thinking through Asynchronous Online Discussions: A Literature Review.,"SY Foo, CL Quek","Malaysian Online Journal of Educational Technology 7 (2), 37-58",,0,2019
Validation of Classroom Teacher Interaction Skills Scale,"YJ Tan, CLG Quek, G Fulmer","The Asia-Pacific Education Researcher, 1-18",,0,2019
Design of an interactive online learning environment,"Q Wang, CL Quek",National Institute of Education (Singapore),,0,2018
Methicillin-Resistant Staphylococcus aureus and blaCTX-M positive Enterobacteriaceae from retail beef and pork in Singapore,"THH Koh, D Wong, NK bin Aron, CL Quek, D Cao, LY Hsu","bioRxiv, 098111",,0,2017
Engaging Beginning Teachers in Classroom Management Case Analysis: What Effective Teachers Should Experience and Practise,"CL Quek, AFL Wong, SL Chua",Pearson Education South Asia Pte Limited,,0,2016
Design for blended synchronous learning using video conferencing: a design-based research,"Q Wang, CL Quek",International Journal of Social Media and Interactive Learning Environments …,,0,2016
