Title,Authors,Platform,Cited_url,Cited_count,Year
Random walks on graphs for salient object detection in images,"V Gopalakrishnan, Y Hu, D Rajan","IEEE Transactions on Image processing 19 (12), 3232-3242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8851471833195649172,190,2010
Salient region detection by modeling distributions of color and orientation,"V Gopalakrishnan, Y Hu, D Rajan","IEEE Transactions on Multimedia 11 (5), 892-905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1916690267541747375,187,2009
Salient region detection using weighted feature maps based on the human visual attention model,"Y Hu, X Xie, WY Ma, LT Chia, D Rajan","Pacific-Rim Conference on Multimedia, 993-1000","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6963343454655894673,2660801133179931209",147,2004
Simultaneous estimation of super-resolved scene and depth map from low resolution defocused observations,"D Rajan, S Chaudhuri","IEEE Transactions on Pattern Analysis and Machine Intelligence 25 (9), 1102-1117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4209278717295046541,141,2003
Improving image matting using comprehensive sampling sets,"E Shahrian, D Rajan, B Price, S Cohen",Proceedings of the IEEE Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14848576051856890903,120,2013
Image colorization using similar images,"RK Gupta, AYS Chia, D Rajan, ES Ng, H Zhiyong","Proceedings of the 20th ACM international conference on Multimedia, 369-378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10354093735483439997,118,2012
Multi-objective super resolution: concepts and examples,"D Rajan, S Chaudhuri, MV Joshi","IEEE Signal Processing Magazine 20 (3), 49-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12117706800955111044,108,2003
Random walks on graphs to model saliency in images,"V Gopalakrishnan, Y Hu, D Rajan","2009 IEEE Conference on Computer Vision and Pattern Recognition, 1698-1705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=643014303573930487,93,2009
Generalized interpolation and its application in super-resolution imaging,"D Rajan, S Chaudhuri","Image and Vision Computing 19 (13), 957-969",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17639049204647049644,89,2001
Depth really Matters: Improving Visual Salient Region Detection with Depth.,"K Desingh, KM Krishna, D Rajan, CV Jawahar",BMVC,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4046852287656928884,84,2013
Weighted color and texture sample selection for image matting,"E Shahrian, D Rajan","2012 IEEE Conference on Computer Vision and Pattern Recognition, 718-725",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8946780423412041532,84,2012
Foreground motion detection by difference-based spatial temporal entropy image,"G Jing, CE Siong, D Rajan","2004 IEEE Region 10 Conference TENCON 2004., 379-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3840527104543165543,83,2004
An MRF-based approach to generation of super-resolution images from blurred observations,"D Rajan, S Chaudhuri","Journal of Mathematical Imaging and Vision 16 (1), 5-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12434697246892519668,67,2002
Video processing from electro-optical sensors for object detection and tracking in a maritime environment: a survey,"DK Prasad, D Rajan, L Rachmawati, E Rajabally, C Quek","IEEE Transactions on Intelligent Transportation Systems 18 (8), 1993-2016",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10400453028575070471,60,2017
A split and merge based ellipse detector with self-correcting capability,"AYS Chia, S Rahardja, D Rajan, MK Leung","IEEE Transactions on Image Processing 20 (7), 1991-2006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13260171220628600747,60,2010
Robust subspace analysis for detecting visual attention regions in images,"Y Hu, D Rajan, LT Chia",Proceedings of the 13th annual ACM international conference on Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3857552875809163264,59,2005
Human activities recognition using depth images,"R Gupta, AYS Chia, D Rajan","Proceedings of the 21st ACM international conference on Multimedia, 283-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14761478766214144979,57,2013
Adaptive hierarchical multi-class SVM classifier for texture-based image classification,"S Liu, H Yi, LT Chia, D Rajan","2005 IEEE International Conference on Multimedia and Expo, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=115422387254158239,53,2005
A new motion histogram to index motion content in video segments,"H Yi, D Rajan, LT Chia","Pattern recognition letters 26 (9), 1221-1231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8573413580188601215,53,2005
Motion detection with adaptive background and dynamic thresholds,"G Jing, D Rajan, CE Siong",2005 5th International Conference on Information Communications & Signal …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16449078113626385414,52,2005
Multimodal semantic analysis and annotation for basketball video,"S Liu, M Xu, H Yi, LT Chia, D Rajan","EURASIP Journal on Applied Signal Processing 2006, 182-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5960866707969222526,49,2006
Regularized feature reconstruction for spatio-temporal saliency detection,"Z Ren, S Gao, LT Chia, D Rajan","IEEE Transactions on Image Processing 22 (8), 3120-3132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14855406073676445123,44,2013
Improved saliency detection based on superpixel clustering and saliency propagation,"Z Ren, Y Hu, LT Chia, D Rajan","Proceedings of the 18th ACM international conference on Multimedia, 1099-1102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13070384058074255417,44,2010
Data fusion techniques for super-resolution imaging,"D Rajan, S Chaudhuri","Information Fusion 3 (1), 25-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5463055390948659341,44,2002
Adaptive local context suppression of multiple cues for salient visual attention detection,"Y Hu, D Rajan, LT Chia","2005 IEEE International Conference on Multimedia and Expo, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9457308297151740812,43,2005
Human action recognition using pose-based discriminant embedding,"B Saghafi, D Rajan","Signal Processing: Image Communication 27 (1), 96-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13710230573030286931,40,2012
Weighted color and texture sample selection for image matting,"ES Varnousfaderani, D Rajan","IEEE Transactions on Image Processing 22 (11), 4260-4270",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13240846461341897051,39,2013
Salient motion detection in compressed domain,"K Muthuswamy, D Rajan","IEEE Signal Processing Letters 20 (10), 996-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6997229031349331990,38,2013
"Object recognition by discriminative combinations of line segments, ellipses, and appearance features","AYS Chia, D Rajan, MK Leung, S Rahardja","IEEE Transactions on pattern analysis and machine intelligence 34 (9), 1758-1772",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3101796629168507610,37,2011
Region-of-interest based image resolution adaptation for MPEG-21 digital item,"Y Hu, LT Chia, D Rajan",Proceedings of the 12th annual ACM international conference on Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8339836900665037956,36,2004
Sparse codes as alpha matte,"J Johnson, D Rajan, H Cholakkal",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9941126700320752622,34,2014
Generation of super-resolution images from blurred observations using an MRF model,"D Rajan, S Chaudhuri","J. Mathematical Imaging and Vision 16 (1), 5-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3869016030922987437,32,2002
Coherent phrase model for efficient image near-duplicate retrieval,"Y Hu, X Cheng, LT Chia, X Xie, D Rajan, AH Tan","IEEE Transactions on Multimedia 11 (8), 1434-1445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13922798681407244616,30,2009
Hybrid shift map for video retargeting,"Y Hu, D Rajan",2010 IEEE Computer Society Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1538985463991944506,27,2010
Sparse coding for alpha matting,"J Johnson, ES Varnousfaderani, H Cholakkal, D Rajan","IEEE Transactions on Image Processing 25 (7), 3032-3043",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1800850430841282131,26,2016
Semantic video indexing and summarization using subtitles,"H Yi, D Rajan, LT Chia","Pacific-Rim Conference on Multimedia, 634-641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3035838972908183938,25,2004
Detection of visual attention regions in images using robust subspace analysis,"Y Hu, D Rajan, LT Chia","Journal of Visual Communication and Image Representation 19 (3), 199-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17474273232149425245,24,2008
DCT domain watermarking scheme using Chinese Remainder Theorem for image authentication,"JC Patra, JE Phua, D Rajan","2010 IEEE International Conference on Multimedia and Expo, 111-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17250759720567215801,23,2010
Object recognition by discriminative combinations of line segments and ellipses,"AYS Chia, S Rahardja, D Rajan, MK Leung",2010 IEEE Computer Society Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8824773609733168978,22,2010
Generation of super-resolution images from blurred observations using Markov random fields,"D Rajan, S Chaudhuri","2001 IEEE International Conference on Acoustics, Speech, and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16565766930405146879,22,2001
