Title,Authors,Platform,Cited_url,Cited_count,Year
"Millennial-and orbital-scale changes in the East Asian monsoon over the past 224,000 years","Y Wang, H Cheng, RL Edwards, X Kong, X Shao, S Chen, J Wu, X Jiang, ...","Nature 451 (7182), 1090",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3633252679241785130,1479,2008
"A test of climate, sun, and culture relationships from an 1810-year Chinese cave record","P Zhang, H Cheng, RL Edwards, F Chen, Y Wang, X Yang, J Liu, M Tan, ...","science 322 (5903), 940-942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3319028231882423391,843,2008
Ice age terminations,"H Cheng, RL Edwards, WS Broecker, GH Denton, X Kong, Y Wang, ...","science 326 (5950), 248-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9407472960540590387,724,2009
Wet periods in northeastern Brazil over the past 210 kyr linked to distant climate anomalies,"X Wang, AS Auler, RL Edwards, H Cheng, PS Cristalli, PL Smart, ...","Nature 432 (7018), 740","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=796782581048203880,15999364431172968776",696,2004
"Improvements in 230Th dating, 230Th and 234U half-life values, and U–Th isotopic measurements by multi-collector inductively coupled plasma mass spectrometry","H Cheng, RL Edwards, CC Shen, VJ Polyak, Y Asmerom, J Woodhead, ...","Earth and Planetary Science Letters 371, 82-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2203769408149745677,590,2013
"The Asian monsoon over the past 640,000 years and ice age terminations","H Cheng, RL Edwards, A Sinha, C Spötl, L Yi, S Chen, M Kelly, ...","nature 534 (7609), 640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1539861429729605893,310,2016
The variation of summer monsoon precipitation in central China since the last deglaciation,"Y Cai, L Tan, H Cheng, Z An, RL Edwards, MJ Kelly, X Kong, X Wang","Earth and Planetary Science Letters 291 (1-4), 21-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3037571449532401540,302,2010
Climate change patterns in Amazonia and biodiversity,"H Cheng, A Sinha, FW Cruz, X Wang, RL Edwards, FM d’Horta, CC Ribas, ...","Nature communications 4, 1411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3356774998834189261,271,2013
"Millennial‐scale precipitation changes in southern Brazil over the past 90,000 years","X Wang, AS Auler, RL Edwards, H Cheng, E Ito, Y Wang, X Kong, ...",Geophysical Research Letters 34 (23),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7898145480053380129,243,2007
Interhemispheric anti-phasing of rainfall during the last glacial period,"X Wang, AS Auler, RL Edwards, H Cheng, E Ito, M Solheid","Quaternary Science Reviews 25 (23-24), 3391-3403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4813147050971851108,241,2006
Orbitally driven east–west antiphasing of South American precipitation,"FW Cruz, M Vuille, SJ Burns, X Wang, H Cheng, M Werner, RL Edwards, ...","Nature Geoscience 2 (3), 210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2016339621851806387,240,2009
A penultimate glacial monsoon record from Hulu Cave and two-phase glacial terminations,"H Cheng, RL Edwards, Y Wang, X Kong, Y Ming, MJ Kelly, X Wang, ...","Geology 34 (3), 217-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12655197700390874512,232,2006
The Global Paleomonsoon as seen through speleothem records from Asia and the Americas,"H Cheng, A Sinha, X Wang, FW Cruz, RL Edwards","Climate Dynamics 39 (5), 1045-1062",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1371921795738827707,205,2012
"Timing and structure of the 8.2 kyr BP event inferred from δ18O records of stalagmites from China, Oman, and Brazil","H Cheng, D Fleitmann, RL Edwards, X Wang, FW Cruz, AS Auler, ...","Geology 37 (11), 1007-1010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1135709407422638715,201,2009
Onset of deglacial warming in West Antarctica driven by local orbital forcing,"TJ Fudge, EJ Steig, BR Markle, SW Schoenemann, Q Ding, KC Taylor, ...","Nature 500 (7463), 440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16010444804454317014,175,2013
