Title,Authors,Platform,Cited_url,Cited_count,Year
Value-added utilisation of recycled concrete in hot-mix asphalt,"YD Wong, DD Sun, D Lai","Waste Management 27 (2), 294-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2526270911755945802,137,2007
Are accidents poisson distributed? A statistical test,"A Nicholson, YD Wong","Accident Analysis & Prevention 25 (1), 91-97","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=833795400946731921,334670548256449160",76,1993
Developing Singapore driving cycle for passenger cars to estimate fuel consumption and vehicular emissions,"SH Ho, YD Wong, VWC Chang","Atmospheric Environment 97, 353–362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10485301488652282743,63,2014
Effects of fillers on properties of asphalt concrete mixture,"A Zulkati, YD Wong, DD Sun","Journal of Transportation Engineering 138 (7), 902-910",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1182075250724586285,62,2012
Gap acceptance of violators at signalised pedestrian crossings,"PP Koh, YD Wong","Accident Analysis & Prevention 62, 178-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9317825488176450043,57,2014
Comparing pedestrians’ needs and behaviours in different land use environments,"PP Koh, YD Wong","Journal of Transport Geography 26, 43-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17342246079856169623,56,2013
A before-and-after study of driver stopping propensity at red light camera intersections,"KM Lum, YD Wong","Accident analysis & prevention 35 (1), 111-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14586743790414181950,54,2003
Driver behaviour at horizontal curves: risk compensation and the margin of safety,"YD Wong, A Nicholson","Accident Analysis & Prevention 24 (4), 425-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13372527946729109475,52,1992
Safety evaluation of pedestrian behaviour and violations at signalised pedestrian crossings,"PP Koh, YD Wong, P Chandrasekar","Safety Science 70, 143-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15808012595872176664,51,2014
The impact of red-light surveillance cameras on road safety in Singapore,"CH Ng, YD Wong, KM Lum","Road & Transport Research 6 (2), 72-81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2422103971804287738,49,1997
Road traffic accidents in Singapore expressway tunnels,"JS Yeung, YD Wong","Tunnelling and Underground Space Technology 38, 534-541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5678668516457204485,48,2013
Influence of infrastructural compatibility factors on walking and cycling route choices,"PP Koh, YD Wong","Journal of Environmental Psychology 36, 202-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16552133729733197587,44,2013
Impacts of red light camera on violation characteristics,"KM Lum, YD Wong","Journal of Transportation Engineering 129 (6), 648-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5032386916942711063,40,2003
The effect of road tunnel environment on car following behaviour,"JS Yeung, YD Wong","Accident Analysis & Prevention 70, 100-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8191012842920055043,38,2014
Towards sustainable ASEAN port development: Challenges and opportunities for Vietnamese ports,"S Roh, VV Thai, YD Wong","The Asian Journal of Shipping and Logistics 32 (2), 107-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8879296289657863112,34,2016
Effects of driver age and experience in abrupt-onset hazards,"JS Yeung, YD Wong","Accident Analysis & Prevention 78, 110-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12441187323445437452,32,2015
Determinants of job satisfaction and performance of seafarers,"KF Yuen, HS Loh, Q Zhou, YD Wong","Transportation Research Part A: Policy and Practice 110, 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11806816992450144926,30,2018
Effect of weather conditions and weather forecast on cycling travel behavior in Singapore,"M Meng, J Zhang, YD Wong, PH Au","International Journal of Sustainable Transportation 10 (9), 773-780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9527469146499010412,29,2016
What can eco-driving do for sustainable road transport? Perspectives from a city (Singapore) eco-driving programme,"SH Ho, YD Wong, VWC Chang","Sustainable Cities and Society 14, 82-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8019658494829486631,29,2015
Mechanistic performance of asphalt-concrete mixture incorporating coarse recycled concrete aggregate,"A Zulkati, YD Wong, DD Sun","Journal of Materials in Civil Engineering 25 (9), 1299-1305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7442627674500246269,29,2013
Influences of urban characteristics on cycling: Experiences of four cities,"M Meng, PP Koh, YD Wong, YH Zhong","Sustainable Cities and Society 13, 78-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14914750798409051477,28,2014
Micro-simulation of vehicle conflicts involving right-turn vehicles at signalized intersections based on cellular automata,"C Chai, YD Wong","Accident Analysis & Prevention 63, 94-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17964459425559653030,26,2014
An investigation of customers’ intention to use self-collection services for last-mile delivery,"KF Yuen, X Wang, LTW Ng, YD Wong","Transport Policy 66, 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4998758047872263454,24,2018
Antecedents and outcomes of sustainable shipping practices: The integration of stakeholder and behavioural theories,"KF Yuen, X Wang, YD Wong, Q Zhou","Transportation Research Part E: Logistics and Transportation Review 108, 18-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11842299295417172703,24,2017
Driver perspectives of open and tunnel expressways,"JS Yeung, YD Wong, H Xu","Journal of Environmental Psychology 36, 248-256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17634192113708370002,24,2013
Driver perception response time during the signal change interval,"PK Goh, YD Wong","Applied Health Economics and Health Policy 3 (1), 9-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17907324247639481701,24,2004
An innovation diffusion perspective of e-consumers’ initial adoption of self-collection service via automated parcel station,"X Wang, KF Yuen, YD Wong, CC Teo","The International Journal of Logistics Management 29 (1), 237-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2938498388476834344,23,2018
Are customers willing to pay for corporate social responsibility? A study of individual-specific mediators,"KF Yuen, VV Thai, YD Wong","Total Quality Management & Business Excellence 27 (7-8), 912-926",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2776452071361219868,23,2016
Mobility of the elderly in densely populated neighbourhoods in Singapore,"PP Koh, BW Leow, YD Wong","Sustainable Cities and Society 14, 126-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2363768377194282354,22,2015
The effect of continuous improvement capacity on the relationship between of corporate social performance and business performance in maritime transport in Singapore,"KF Yuen, VV Thai, YD Wong","Transportation Research Part E: Logistics and Transportation Review 95, 62-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3334778585031495640,21,2016
A two-stage short-term traffic flow prediction method based on AVL and AKNN techniques,"M Meng, CF Shao, YD Wong, BB Wang, HX Li","Journal of Central South University 22, 779-786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9020673771065257245,21,2015
Porous asphalt mixture with 100% recycled concrete aggregate,"MJ Chen, YD Wong","Road Materials and Pavement Design 14 (4), 921-932",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16617526853185123430,21,2013
A fuzzy and Bayesian network CREAM model for human reliability analysis–The case of tanker shipping,"Q Zhou, YD Wong, HS Loh, KF Yuen","Safety Science 105, 149-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11812005051680557562,20,2018
Corporate social responsibility and classical competitive strategies of maritime transport firms: A contingency-fit perspective,"KF Yuen, VV Thai, YD Wong","Transportation Research Part A: Policy and Practice 98, 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6420910814937817735,20,2017
"The effect of sustainable shipping practices on shippers’ loyalty: The mediating role of perceived value, trust and transaction cost","KF Yuen, X Wang, YD Wong, Q Zhou","Transportation Research Part E: Logistics and Transportation Review 116, 123-135","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4366465487777046807,8468931892741562298",19,2018
Interaction impacts of corporate social responsibility and service quality on shipping firms’ performance,"KF Yuen, VV Thai, YD Wong, X Wang","Transportation Research Part A: Policy and Practice 113, 397-409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13106414585795974671,19,2018
