Title,Authors,Platform,Cited_url,Cited_count,Year
You Are What You Tweet: Personality Expression and Perception on Twitter,"L Qiu, H Lin, J Ramsay, F Yang",Journal of Research in Personality,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15672655455956177505,217,2012
Putting their best foot forward: Emotional disclosure on Facebook,"L Qiu, H Lin, AK Leung, W Tov","Cyberpsychology, Behavior, and Social Networking 15 (10), 569-572",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7182206279654640468,197,2012
What does your selfie say about you?,"L Qiu, J Lu, S Yang, W Qu, T Zhu","Computers in Human Behavior 52, 443-449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15161922584343429022,168,2015
Cultural Differences and Switching of In-Group Sharing Behavior Between an American (Facebook) and a Chinese (Renren) Social Networking Site,"L Qiu, H Lin, AK Leung",Journal of Cross-Cultural Psychology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5875549181151349924,153,2013
Embodied Metaphors and Creative “Acts”,"AK Leung, S Kim, E Polman, L Ong, L Qiu, JA Goncalo, J Sanchez-Burks","Psychological science 23 (5), 502-509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3127170921182240007,121,2012
Emotional Disclosure on Social Networking Sites: The role of Network Structure and Psychological Needs,"H Lin, W Tov, L Qiu","Computers in Human Behavior 41, 342-350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17749210107622751982,100,2014
Detecting Well-Being via Computerized Content Analysis of Brief Diary Entries.,"W Tov, KL Ng, H Lin, L Qiu",Journal of Personality Assessment,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3101460907074649223,51,2013
Do Facebook Status Updates Reflect Subjective Well-being?,"P Liu, W Tov, M Kosinski, DJ Stillwell, L Qiu","Cyberpsychology, Behavior, and Social Networking",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11802549963704741563,46,2015
"Two sites, two voices: Linguistic differences between Facebook status updates and tweets","H Lin, L Qiu","International Conference on Cross-Cultural Design, 432-440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10339386153200557059,40,2013
Online Collective Behaviors in China: Dimensions and Motivations,"L Qiu, H Lin, C Chiu, P Liu",Analyses of Social Issues and Public Policy,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11465227373019122385,39,2015
The Role of Instrumental Emotion Regulation in the Emotions-Creativity Link: How Worries Render Individuals With High Neuroticism More Creative.,"AK Leung, S Liou, L Qiu, LY Kwan, CY Chiu, JC Yong",Emotion,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17594761264559414509,39,2014
"Sharing emotion on Facebook: network size, density, and individual motivation","H Lin, L Qiu",Proceedings of the 2012 ACM annual conference extended abstracts on Human …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14920660080043654069,35,2012
The psychological science of globalization,"AKY Leung, L Qiu, C Chiu","Handbook of multicultural identity: Basic and applied perspectives, 181-201",,31,2014
The psychological science of globalization,"AK Leung, L Qiu, C Chiu",Handbook of multicultural identity: Basic and applied perspectives,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11415280654871099990,31,2014
Embodied Cultural Cognition: Situating the Study of Embodied Cognition in Socio‐Cultural Contexts,"AK Leung, L Qiu, L Ong, KP Tam","Social and Personality Psychology Compass 5 (9), 591-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1174945591412098869,30,2011
