Title,Authors,Platform,Cited_url,Cited_count,Year
High‐performance transition metal dichalcogenide photodetectors enhanced by self‐assembled monolayer doping,"DH Kang, MS Kim, J Shim, J Jeon, HY Park, WS Jung, HY Yu, CH Pang, ...","Advanced Functional Materials 25 (27), 4219-4227","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15869993783704977702,8624087559400268819",128,2015
Phosphorene/rhenium disulfide heterojunction-based negative differential resistance device for multi-valued logic,"J Shim, S Oh, DH Kang, SH Jo, MH Ali, WY Choi, K Heo, J Jeon, S Lee, ...","Nature communications 7, 13413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2143733794603842837,113,2016
An Ultrahigh‐Performance Photodetector based on a Perovskite–Transition‐Metal‐Dichalcogenide Hybrid Structure,"DH Kang, SR Pae, J Shim, G Yoo, J Jeon, JW Leem, JS Yu, S Lee, B Shin, ...","Advanced Materials 28 (35), 7799-7806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9884032647034100263,111,2016
High‐Performance 2D Rhenium Disulfide (ReS,"J Shim, A Oh, DH Kang, S Oh, SK Jang, J Jeon, MH Jeon, M Kim, C Choi, ...","Advanced Materials 28 (32), 6985-6992",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9325513251221687006,92,2016
Controllable Nondegenerate p-Type Doping of Tungsten Diselenide by Octadecyltrichlorosilane,"DH Kang, J Shim, SK Jang, J Jeon, MH Jeon, GY Yeom, WS Jung, ...","ACS nano 9 (2), 1099-1107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13829351775427893641,90,2015
A High‐Performance WSe,"SH Jo, DH Kang, J Shim, J Jeon, MH Jeon, G Yoo, J Kim, J Lee, GY Yeom, ...","Advanced Materials 28 (24), 4824-4831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13899552919500852486,60,2016
n-and p-type doping phenomenon by artificial DNA and M-DNA on two-dimensional transition metal dichalcogenides,"HY Park, SR Dugasani, DH Kang, J Jeon, SK Jang, S Lee, Y Roh, ...","ACS nano 8 (11), 11603-11613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16624449762318619932,60,2014
Wide-Range Controllable n-Doping of Molybdenum Disulfide (MoS,"HY Park, MH Lim, J Jeon, G Yoo, DH Kang, SK Jang, MH Jeon, Y Lee, ...","ACS nano 9 (3), 2368-2376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2709556681351391143,55,2015
Electronic and Optoelectronic Devices based on Two‐Dimensional Materials: From Fabrication to Application,"J Shim, HY Park, DH Kang, JO Kim, SH Jo, Y Park, JH Park","Advanced Electronic Materials 3 (4), 1600364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9181437214155034339,48,2017
Extremely Large Gate Modulation in Vertical Graphene/WSe,"J Shim, HS Kim, YS Shim, DH Kang, HY Park, J Lee, J Jeon, SJ Jung, ...","Advanced Materials 28 (26), 5293-5299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14601570067694943926,47,2016
Extremely Low Contact Resistance on Graphene through n‐Type Doping and Edge Contact Design,"HY Park, WS Jung, DH Kang, J Jeon, G Yoo, Y Park, J Lee, YH Jang, ...","Advanced Materials 28 (5), 864-870","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3435448569380632682,2808955197526040083",45,2016
Broad Detection Range Rhenium Diselenide Photodetector Enhanced by (3‐Aminopropyl) Triethoxysilane and Triphenylphosphine Treatment,"SH Jo, HY Park, DH Kang, J Shim, J Jeon, S Choi, M Kim, Y Park, J Lee, ...","Advanced Materials 28 (31), 6711-6718",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12041097993217990449,35,2016
Ultra-low doping on two-dimensional transition metal dichalcogenides using DNA nanostructure doped by a combination of lanthanide and metal ions,"DH Kang, SR Dugasani, HY Park, J Shim, B Gnapareddy, J Jeon, S Lee, ...","Scientific reports 6, 20333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11358934726017192135,23,2016
Recent progress in Van der Waals (vdW) heterojunction-based electronic and optoelectronic devices,"J Shim, DH Kang, Y Kim, H Kum, W Kong, SH Bae, I Almansouri, K Lee, ...","Carbon 133, 78-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2826916198340229866,17,2018
Self-assembled layer (SAL)-based doping on black phosphorus (BP) transistor and photodetector,"DH Kang, MH Jeon, SK Jang, WY Choi, KN Kim, J Kim, S Lee, GY Yeom, ...","ACS Photonics 4 (7), 1822-1830",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16046937287827302375,17,2017
M-DNA/transition metal dichalcogenide hybrid structure-based bio-FET sensor with ultra-high sensitivity,"HY Park, SR Dugasani, DH Kang, G Yoo, J Kim, B Gnapareddy, J Jeon, ...","Scientific reports 6, 35733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=159803183935586821,12,2016
Poly-4-vinylphenol (PVP) and Poly(melamine-,"DH Kang, WY Choi, H Woo, S Jang, HY Park, J Shim, JW Choi, S Kim, ...","ACS applied materials & interfaces 9 (32), 27073-27082",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2148290353493005164,11,2017
Layer-controlled thinning of black phosphorus by an Ar ion beam,"JW Park, SK Jang, DH Kang, D San Kim, MH Jeon, WO Lee, KS Kim, ...","Journal of Materials Chemistry C 5 (41), 10888-10893",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4890133908814639675,6,2017
Nondegenerate n-type doping phenomenon on molybdenum disulfide (MoS2) by zinc oxide (ZnO),"DH Kang, ST Hong, A Oh, SH Kim, HY Yu, JH Park","Materials Research Bulletin 82, 26-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10829015951776677736,5,2016
Thin‐Film Transistors: High‐Performance 2D Rhenium Disulfide (ReS,"J Shim, A Oh, DH Kang, S Oh, SK Jang, J Jeon, MH Jeon, M Kim, C Choi, ...","Advanced Materials 28 (32), 6984-6984",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11669176922821744062,4,2016
Indium (In)-and tin (Sn)-based metal induced crystallization (MIC) on amorphous germanium (α-Ge),"DH Kang, JH Park","Materials Research Bulletin 60, 814-818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=237995698556308534,4,2014
Stable and Reversible Triphenylphosphine-Based n-Type Doping Technique for Molybdenum Disulfide (MoS,"K Heo, SH Jo, J Shim, DH Kang, JH Kim, JH Park","ACS applied materials & interfaces 10 (38), 32765-32772",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15569536134179058460,3,2018
