Title,Authors,Platform,Cited_url,Cited_count,Year
Angiopoietin-like 4: a decade of research,"P Zhu, YY Goh, HFA Chin, S Kersten, NS Tan","Bioscience reports 32 (3), 211-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3782268987504698441,193,2012
Angiopoietin-like 4 protein elevates the prosurvival intracellular O2−: H2O2 ratio and confers anoikis resistance to tumors,"P Zhu, MJ Tan, RL Huang, CK Tan, HC Chong, M Pal, CRI Lam, ...","Cancer cell 19 (3), 401-415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5733370405663378309,193,2011
ANGPTL4 modulates vascular junction integrity by integrin signaling and disruption of intercellular VE-cadherin and claudin-5 clusters,"RL Huang, Z Teo, HC Chong, P Zhu, MJ Tan, CK Tan, CRI Lam, MK Sng, ...","Blood 118 (14), 3990-4002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1180117992552226833,152,2011
Angiopoietin-like 4 interacts with integrins β1 and β5 to modulate keratinocyte migration,"YY Goh, M Pal, HC Chong, P Zhu, MJ Tan, L Punugu, CRI Lam, YH Yau, ...","The American journal of pathology 177 (6), 2791-2803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10446254575173123168,115,2010
Angiopoietin-like 4 interacts with matrix proteins to modulate wound healing,"YY Goh, M Pal, HC Chong, P Zhu, MJ Tan, L Punugu, CK Tan, RL Huang, ...","Journal of Biological Chemistry 285 (43), 32999-33009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8068205016374269153,111,2010
Emerging roles of angiopoietin-like 4 in human cancer,"MJ Tan, Z Teo, MK Sng, P Zhu, NS Tan","Molecular Cancer Research 10 (6), 677-688",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2679110889519785920,97,2012
Perylene-derived single-component organic nanoparticles with tunable emission: efficient anticancer drug carriers with real-time monitoring of drug release,"A Jana, KT Nguyen, X Li, P Zhu, NS Tan, H Ågren, Y Zhao","ACS nano 8 (6), 5939-5952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2493549507617890017,75,2014
Cancer-associated fibroblasts in tumor microenvironment–Accomplices in tumor malignancy,"Z Liao, ZW Tan, P Zhu, NS Tan",Cellular immunology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9694837742828424008,45,2018
Cancer-associated fibroblasts enact field cancerization by promoting extratumoral oxidative stress,"JSK Chan, MJ Tan, MK Sng, Z Teo, T Phua, CC Choo, LI Liang, P Zhu, ...","Cell death & disease 8 (1), e2562-e2562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10562184689091612008,31,2018
Loss of TAK1 increases cell traction force in a ROS-dependent manner to drive epithelial–mesenchymal transition of cancer cells,"CRI Lam, C Tan, Z Teo, CY Tay, T Phua, YL Wu, PQ Cai, LP Tan, X Chen, ...","Cell death & disease 4 (10), e848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7712068232316140373,31,2013
Early controlled release of peroxisome proliferator-activated receptor β/δ agonist GW501516 improves diabetic wound healing through redox modulation of wound microenvironment,"X Wang, MK Sng, S Foo, HC Chong, WL Lee, MBY Tang, KW Ng, B Luo, ...","Journal of controlled release 197, 138-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12477309862586110534,30,2015
Nox4-dependent ROS modulation by amino endoperoxides to induce apoptosis in cancer cells,"P Zhu, BMK Tong, R Wang, JP Chen, S Foo, HC Chong, XL Wang, ...","Cell death & disease 4 (3), e552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13079944076621041891,24,2013
Fabrication and characterization of a novel crosslinked human keratin‐alginate sponge,"P Hartrianti, LTH Nguyen, J Johanes, SM Chou, P Zhu, NS Tan, ...","Journal of tissue engineering and regenerative medicine 11 (9), 2590-2602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12791072234359432579,17,2017
Angiopoietin-like 4 mediates colonic inflammation by regulating chemokine transcript stability via tristetraprolin,"T Phua, MK Sng, EHP Tan, DSL Chee, Y Li, JWK Wee, Z Teo, JSK Chan, ...","Scientific reports 7, 44351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11173361643790698419,11,2017
An Approach to the Efficient Syntheses of Chiral Phosphino‐Carboxylic Acid Esters,"RJ Chew, K Sepp, BB Li, Y Li, PC Zhu, NS Tan, PH Leung","Advanced Synthesis & Catalysis 357 (14‐15), 3297-3302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16146502535040467828,11,2015
Highly selective anti-cancer properties of ester functionalized enantiopure dinuclear gold (I)-diphosphine,"BB Li, YX Jia, PC Zhu, RJ Chew, Y Li, NS Tan, PH Leung","European journal of medicinal chemistry 98, 250-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6384836595182717398,10,2015
