Title,Authors,Platform,Cited_url,Cited_count,Year
Studies of digital microscopic holography with applications to microstructure testing,"L Xu, X Peng, J Miao, AK Asundi","Applied Optics 40 (28), 5046-5051",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17113765018012592238,246,2001
A practical guide for the fabrication of microfluidic devices using glass and silicon,"C Iliescu, H Taylor, M Avram, J Miao, S Franssila","Biomicrofluidics 6 (1), 016505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15611051458023016452,230,2012
Characterization of masking layers for deep wet etching of glass in an improved HF/HCl solution,"C Iliescu, J Jing, FEH Tay, J Miao, T Sun","Surface and Coatings Technology 198 (1-3), 314-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12893195602919916442,202,2005
Probing charged impurities in suspended graphene using Raman spectroscopy,"ZH Ni, T Yu, ZQ Luo, YY Wang, L Liu, CP Wong, J Miao, W Huang, ...","Acs Nano 3 (3), 569-574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12931123689106990675,192,2009
Aspect-ratio-dependent copper electrodeposition technique for very high aspect-ratio through-hole plating,"P Dixit, J Miao","Journal of the Electrochemical society 153 (6), G552-G559",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11319648683873347851,157,2006
On the wet etching of Pyrex glass,"C Iliescu, B Chen, J Miao","Sensors and actuators A: Physical 143 (1), 154-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11392329847358322536,153,2008
Properties of digital holography based on in-line configuration,"L Xu, J Miao, AK Asundi",Optical Engineering 39,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5491012480651981137,131,2000
Imaging analysis of digital holography,"L Xu, X Peng, Z Guo, J Miao, A Asundi","Optics Express 13 (7), 2444-2452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14449799171056899944,126,2005
Aligned carbon nanotubes for through-wafer interconnects,"T Xu, Z Wang, J Miao, X Chen, CM Tan","Applied Physics Letters 91 (4), 042108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14412891204481158827,106,2007
A flexible liquid crystal polymer MEMS pressure sensor array for fish-like underwater sensing,"AGP Kottapalli, M Asadnia, JM Miao, G Barbastathis, MS Triantafyllou","Smart Materials and Structures 21 (11), 115030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10007865451313010813,105,2012
Investigation of multimodal electret-based MEMS energy harvester with impact-induced nonlinearity,"K Tao, L Tang, J Wu, SW Lye, H Chang, J Miao","Journal of Microelectromechanical Systems 27 (2), 276-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9206532484905385874,102,2018
Defect-free wet etching through Pyrex glass using Cr/Au mask,"FEH Tay, C Iliescu, J Jing, J Miao","Microsystem technologies 12 (10), 935-939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18405991051875637934,95,2006
Through-wafer electroplated copper interconnect with ultrafine grains and high density of nanotwins,"L Xu, P Dixit, J Miao, JHL Pang, X Zhang, KN Tu, R Preisser","Applied physics letters 90 (3), 033111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=118831849572935949,91,2007
Strategies in deep wet etching of Pyrex glass,"C Iliescu, FEH Tay, J Miao","Sensors and Actuators A: Physical 133 (2), 395-400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=56795136929594164,89,2007
Stress control in masking layers for deep wet micromachining of Pyrex glass,"C Iliescu, J Miao, FEH Tay","Sensors and Actuators A: Physical 117 (2), 286-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15362933947986501910,78,2005
Microfabricated microneedle with porous tip for drug delivery,"J Ji, FEH Tay, J Miao, C Iliescu","Journal of Micromechanics and Microengineering 16 (5), 958",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11179930149671544519,77,2006
Improved selectivity and sensitivity of gas sensing using a 3D reduced graphene oxide hydrogel with an integrated microheater,"J Wu, K Tao, J Miao, LK Norford","ACS applied materials & interfaces 7 (49), 27502-27510",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11833121336786867340,75,2015
A ruthenium-based multimetal-contact RF MEMS switch with a corrugated diaphragm,"F Ke, J Miao, J Oberhammer","Journal of microelectromechanical systems 17 (6), 1447-1459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15153810234385666371,74,2008
Design considerations in micromachined silicon microphones,"J Miao, R Lin, L Chen, Q Zou, SY Lim, SH Seah","Microelectronics Journal 33 (1-2), 21-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5153796012932584973,73,2002
Fabrication of Si microstructures using focused ion beam implantation and reactive ion etching,"HX Qian, W Zhou, J Miao, LEN Lim, XR Zeng","Journal of Micromechanics and Microengineering 18 (3), 035003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3204892440244943862,70,2008
Wear behaviour of SiC reinforced 2124 Al alloy composite in RWAT system,"M Izciler, M Muratoglu","Journal of materials processing Technology 132 (1-3), 67-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12079418222721986882,68,2003
Facile synthesis of 3D graphene flowers for ultrasensitive and highly reversible gas sensing,"J Wu, S Feng, X Wei, J Shen, W Lu, H Shi, K Tao, S Lu, T Sun, L Yu, C Du, ...","Advanced Functional Materials 26 (41), 7462-7469",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1830204583090349993,63,2016
Fabrication of piezoelectric MEMS devices-from thin film to bulk PZT wafer,"Z Wang, J Miao, CW Tan, T Xu","Journal of electroceramics 24 (1), 25-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5753237118188906406,63,2010
Touch at a distance sensing: lateral-line inspired MEMS flow sensors,"AGP Kottapalli, M Asadnia, J Miao, M Triantafyllou","Bioinspiration & biomimetics 9 (4), 046011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=480413214394434462,62,2014
Micro-machined piezoelectric membrane-based immunosensor array,"T Xu, Z Wang, J Miao, L Yu, CM Li","Biosensors and Bioelectronics 24 (4), 638-643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=426010671402083979,61,2008
