Title,Authors,Platform,Cited_url,Cited_count,Year
Single-layer MoS2 phototransistors,"Z Yin, H Li, H Li, L Jiang, Y Shi, Y Sun, G Lu, Q Zhang, X Chen, H Zhang","ACS nano 6 (1), 74-80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3558990957624877668,2498,2011
From bulk to monolayer MoS2: evolution of Raman scattering,"H Li, Q Zhang, CCR Yap, BK Tay, THT Edwin, A Olivier, D Baillargeat","Advanced Functional Materials 22 (7), 1385-1390",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7210803393488533753,2205,2012
Fabrication of Single‐and Multilayer MoS2 Film‐Based Field‐Effect Transistors for Sensing NO at Room Temperature,"H Li, Z Yin, Q He, H Li, X Huang, G Lu, DWH Fam, AIY Tok, Q Zhang, ...","Small 8 (1), 63-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3942301823958568821,1114,2012
Activating and optimizing MoS,"H Li, C Tsai, AL Koh, L Cai, AW Contryman, AH Fragapane, J Zhao, ...","Nature materials 15 (1), 48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1585283869458906122,987,2016
Optical Identification of Single‐and Few‐Layer MoS2 Sheets,"H Li, G Lu, Z Yin, Q He, H Li, Q Zhang, H Zhang","Small 8 (5), 682-686",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15277423494749363015,249,2012
Electrochemical generation of sulfur vacancies in the basal plane of MoS2 for hydrogen evolution.,"C Tsai, H Li, S Park, J Park, HS Han, JK Nørskov, X Zheng, ...","Nature communications 8, 15113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6367119124985038983,192,2017
Fabrication of graphene nanomesh by using an anodic aluminum oxide membrane as a template,"Z Zeng, X Huang, Z Yin, H Li, Y Chen, H Li, Q Zhang, J Ma, F Boey, ...","Advanced Materials 24 (30), 4138-4142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11425776069712393339,175,2012
Layer thinning and etching of mechanically exfoliated MoS2 nanosheets by thermal annealing in air,"J Wu, H Li, Z Yin, H Li, J Liu, X Cao, Q Zhang, H Zhang","Small 9 (19), 3314-3319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1595054601047757420,162,2013
Optoelectronic crystal of artificial atoms in strain-textured molybdenum disulphide,"H Li, AW Contryman, X Qian, SM Ardakani, Y Gong, X Wang, JM Weisse, ...","Nature communications 6, 7381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16545366166789068023,159,2015
Kinetic Study of Hydrogen Evolution Reaction over Strained MoS2 with Sulfur Vacancies Using Scanning Electrochemical Microscopy,"H Li, M Du, MJ Mleczko, AL Koh, Y Nishi, E Pop, AJ Bard, X Zheng","Journal of the American Chemical Society 138 (15), 5123-5129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1577945736796129641,125,2016
