Title,Authors,Platform,Cited_url,Cited_count,Year
Image Super-Resolution Using Deep Convolutional Networks,"C Dong, CC Loy, K He, X Tang","IEEE Transactions on Pattern Analysis and Machine Intelligence 38 (2), 295 - 307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13705212607084119344,2543,2015
Learning a Deep Convolutional Network for Image Super-Resolution,"C Dong, CC Loy, K He, X Tang","European Conference on Computer Vision, 184-199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12401256383167717427,1931,2014
Facial Landmark Detection by Deep Multi-task Learning,"Z Zhang, P Luo, CC Loy, X Tang","European Conference on Computer Vision, 94-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16482489996145376565,823,2014
Accelerating the Super-Resolution Convolutional Neural Network,"C Dong, CC Loy, X Tang","European Conference on Computer Vision, 391-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14172147191910078930,733,2016
Person Re-Identification,"S Gong, M Cristani, S Yan, CC Loy",Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5838565877165811392,489,2014
WIDER FACE: A Face Detection Benchmark,"S Yang, P Luo, CC Loy, X Tang","IEEE Conference on Computer Vision and Pattern Recognition, 5525-5533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8866787776930184069,448,2016
Semantic Image Segmentation via Deep Parsing Network,"Z Liu, X Li, P Luo, CC Loy, X Tang","IEEE International Conference on Computer Vision, 1377-1385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18281955767933637624,412,2015
DeepID-Net: Deformable Deep Convolutional Neural Networks for Object Detection,"W Ouyang, X Wang, X Zeng, S Qiu, P Luo, Y Tian, H Li, S Yang, Z Wang, ...","IEEE Conference on Computer Vision and Pattern Recognition, 2403-2412","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8741182892774090657,12952744685922355995",392,2015
A Large-Scale Car Dataset for Fine-Grained Categorization and Verification,"L Yang, P Luo, CC Loy, X Tang","IEEE Conference on Computer Vision and Pattern Recognition, 3973-3981",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15493017649905778902,382,2015
From Facial Parts Responses to Face Detection: A Deep Learning Approach,"S Yang, P Luo, CC Loy, X Tang","IEEE International Conference on Computer Vision, 3676-3684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1818335115841631894,377,2015
Face Alignment by Coarse-to-Fine Shape Searching,"S Zhu, C Li, CC Loy, X Tang","IEEE Conference on Computer Vision and Pattern Recognition, 4998-5006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16323581862796749657,361,2015
Person Re-identification: What Features Are Important?,"C Liu, S Gong, CC Loy, X Lin","International Workshop on Re-Identification, European Conference on Computer …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12758351044633296409,309,2012
Cumulative Attribute Space for Age and Crowd Density Estimation,"K Chen, S Gong, T Xiang, CC Loy","IEEE Conference on Computer Vision and Pattern Recognition, 2467-2474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1239906907497103561,308,2013
Compression Artifacts Reduction by a Deep Convolutional Network,"C Dong, Y Deng, CC Loy, X Tang",IEEE International Conference on Computer Vision,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2364220051429841371,305,2015
NTIRE 2017 Challenge on Single Image Super-Resolution: Methods and Results,"R Timofte, E Agustsson, L Van Gool, MH Yang, L Zhang, B Lim, S Son, ...","NTIRE 2017, IEEE Conference on Computer Vision and Pattern Recognition, 1110 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7685867950273076567,302,2017
Feature Mining for Localised Crowd Counting,"K Chen, CC Loy, S Gong, T Xiang",British Machine Vision Conference,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5117349090535881435,302,2012
Multi-camera Activity Correlation Analysis,"CC Loy, T Xiang, S Gong","IEEE Conference on Computer Vision and Pattern Recognition, 1988-1995",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1020659160676758484,270,2009
Learning Deep Representation for Face Alignment with Auxiliary Attributes,"Z Zhang, P Luo, CC Loy, X Tang","IEEE Transactions on Pattern Analysis and Machine Intelligence 38 (5), 918-930","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15284991516002520932,3213574019743045569",265,2015
Learning Deep Representation for Imbalanced Classification,"C Huang, Y Li, CC Loy, X Tang",IEEE Conference on Computer Vision and Pattern Recognition,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8603436457174735633,203,2016
Scene-Independent Group Profiling in Crowd,"J Shao, CC Loy, X Wang","IEEE Conference on Computer Vision and Pattern Recognition, 2227-2234","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13820815818343931288,10872312662028629002",198,2014
ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,"X Wang, K Yu, S Wu, J Gu, Y Liu, C Dong, Y Qiao, CC Loy",Workshop and Challenge on  Perceptual Image Restoration  and Manipulation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9756581518416283122,196,2018
Pedestrian Attribute Recognition At Far Distance,"Y Deng, P Luo, CC Loy, X Tang",ACM Multimedia,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4193713420982240890,8267869274773506973",180,2014
