Title,Authors,Platform,Cited_url,Cited_count,Year
Active control of electromagnetically induced transparency analogue in terahertz metamaterials,"J Gu*, R Singh*, X Liu, X Zhang, Y Ma, S Zhang, SA Maier, Z Tian, ...","Nature communications 3, 1151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11692318021305715971,641,2012
Thin-film sensing with planar terahertz metamaterials: sensitivity and limitations,"JF O’Hara, R Singh, I Brener, E Smirnova, J Han, AJ Taylor, W Zhang","Optics Express 16 (3), 1786-1795",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5220436218380516814,435,2008
Coupling between a dark and a bright eigenmode in a terahertz metamaterial,"R Singh, C Rockstuhl, F Lederer, W Zhang","Physical Review B 79 (8), 085111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5236000999661216253,357,2009
Ultrasensitive terahertz sensing with high-Q Fano resonances in metasurfaces,"R Singh, W Cao, I Al-Naib, L Cong, W Withayachumnankul, W Zhang","Applied Physics Letters 105 (17), 171101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18089923573184681092,335,2014
Analogue of electromagnetically induced transparency in a terahertz metamaterial,"SY Chiam, R Singh, C Rockstuhl, F Lederer, W Zhang, AA Bettiol","Physical Review B 80 (15), 153103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7465897822872557101,311,2009
Sharp Fano resonances in THz metamaterials,"R Singh, IAI Al-Naib, M Koch, W Zhang","Optics express 19 (7), 6312-6319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=542063933058386948,307,2011
Photoinduced handedness switching in terahertz chiral metamolecules,"S Zhang, J Zhou, YS Park, J Rho, R Singh, S Nam, AK Azad, HT Chen, ...","Nature communications 3, 942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17514414525249408254,301,2012
Terahertz metamaterial with asymmetric transmission,"R Singh, E Plum, C Menzel, C Rockstuhl, AK Azad, RA Cheville, ...","Physical Review B 80 (15), 153104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1484351902258200315,299,2009
Observing metamaterial induced transparency in individual Fano resonators with broken symmetry,"R Singh, IAI Al-Naib, Y Yang, D Roy Chowdhury, W Cao, C Rockstuhl, ...","Applied Physics Letters 99 (20), 201107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4789199825898428610,233,2011
Low-loss ultra-high-Q dark mode plasmonic Fano metamaterials,"W Cao, R Singh, IAI Al-Naib, M He, A Taylor, W Zhang","Optics Letters 37 (16), 3366-3368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2439736059844238645,213,2012
Tuning the resonance in high-temperature superconducting terahertz metamaterials,"HT Chen, H Yang, R Singh, JF O’Hara, AK Azad, SA Trugman, QX Jia, ...","Physical review letters 105 (24), 247402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18053334798660526496,210,2010
Experimental demonstration of ultrasensitive sensing with terahertz metamaterial absorbers: A comparison with the metasurfaces,"L Cong, S Tan, R Yahiaoui, F Yan, W Zhang, R Singh","Applied Physics Letters 106 (3), 031107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17263034364536307341,207,2015
A perfect metamaterial polarization rotator,"L Cong, W Cao, X Zhang, Z Tian, J Gu, R Singh, J Han, W Zhang","Applied Physics Letters 103 (17), 171107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16208772746726988258,203,2013
Electromagnetically induced transparency in terahertz plasmonic metamaterials via dual excitation pathways of the dark mode,"X Liu, J Gu, R Singh, Y Ma, J Zhu, Z Tian, M He, J Han, W Zhang","Applied Physics Letters 100 (13), 131101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15927696333382883133,197,2012
Manipulating the plasmon-induced transparency in terahertz metamaterials,"Z Li, Y Ma, R Huang, R Singh, J Gu, Z Tian, J Han, W Zhang","Optics express 19 (9), 8912-8919",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6781911654957551783,162,2011
Highly tunable optical activity in planar achiral terahertz metamaterials,"R Singh, E Plum, W Zhang, NI Zheludev","Optics express 18 (13), 13425-13430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14133730244525597697,150,2010
Active graphene–silicon hybrid diode for terahertz waves,"Q Li, Z Tian, X Zhang, R Singh, L Du, J Gu, J Han, W Zhang","Nature Communications 6, 7082",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10077029133081253779,148,2015
Plasmon-induced transparency in metamaterials: Active near field coupling between bright superconducting and dark metallic mode resonators,"W Cao, R Singh, C Zhang, J Han, M Tonouchi, W Zhang","Applied Physics Letters 103 (10), 101106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8841135276249226968,142,2013
Highly flexible broadband terahertz metamaterial quarter‐wave plate,"L Cong, N Xu, J Gu, R Singh, J Han, W Zhang","Laser & Photonics Reviews 8 (4), 626-632",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10035906647933659299,134,2014
Thermal tunability in terahertz metamaterials fabricated on strontium titanate single-crystal substrates,"R Singh, AK Azad, QX Jia, AJ Taylor, HT Chen","Optics letters 36 (7), 1230-1232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6541258767929324463,123,2011
Optically thin terahertz metamaterials,"R Singh, E Smirnova, AJ Taylor, JF O’Hara, W Zhang","Optics Express 16 (9), 6537-6543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2109999123894280234,117,2008
Terahertz superconductor metamaterial,"J Gu, R Singh, Z Tian, W Cao, Q Xing, M He, JW Zhang, J Han, HT Chen, ...","Applied Physics Letters 97 (7), 071102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12307861851319136301,114,2010
Strong influence of packing density in terahertz metamaterials,"R Singh, C Rockstuhl, W Zhang","Applied Physics Letters 97 (24), 241108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8552272131612702019,111,2010
Active control of electromagnetically induced transparency analog in terahertz MEMS metamaterial,"P Pitchappa, M Manjappa, CP Ho, R Singh, N Singh, C Lee","Advanced Optical Materials 4 (4), 541-547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3534044119245150171,107,2016
Asymmetric planar terahertz metamaterials,"R Singh, IAI Al-Naib, M Koch, W Zhang","Optics express 18 (12), 13044-13050",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16341747145157048131,104,2010
Effect of metal permittivity on resonant properties of terahertz metamaterials,"R Singh, AK Azad, JF O'Hara, AJ Taylor, W Zhang","Optics letters 33 (13), 1506-1508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17235951322327576797,102,2008
Active Photoswitching of Sharp Fano Resonances in THz Metadevices,"M Manjappa, YK Srivastava, L Cong, I Al-Naib, R Singh","Advanced Materials 29 (3), 1603355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9996374261425643601,101,2017
Multispectral terahertz sensing with highly flexible ultrathin metamaterial absorber,"R Yahiaoui, S Tan, L Cong, R Singh, F Yan, W Zhang","Journal of Applied Physics 118, 083103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2140571758836067903,100,2015
Fano Resonances in Terahertz Metasurfaces: A Figure of Merit Optimization,"L Cong, M Manjappa, N Xu, I Al‐Naib, W Zhang, R Singh","Advanced Optical Materials 3, 1537–1543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9374501123522705909,94,2015
Efficient flat metasurface lens for terahertz imaging,"Q Yang, J Gu, D Wang, X Zhang, Z Tian, C Ouyang, R Singh, J Han, ...","Optics Express 22 (21), 25931-25939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7132013857987898844,94,2014
Ultrafast manipulation of near field coupling between bright and dark modes in terahertz metamaterial,"D Roy Chowdhury, R Singh, AJ Taylor, HT Chen, AK Azad","Applied Physics Letters 102 (1), 011122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7224270997095404376,90,2013
Dynamically reconfigurable terahertz metamaterial through photo-doped semiconductor,"D Roy Chowdhury, R Singh, JF O’Hara, HT Chen, AJ Taylor, AK Azad","Applied Physics Letters 99 (23), 231101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6719829792306304263,90,2011
Increased frequency shifts in high aspect ratio terahertz split ring resonators,"SY Chiam, R Singh, J Gu, J Han, W Zhang, AA Bettiol","Applied Physics Letters 94 (6), 064102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14262843615538997927,85,2009
The Fano resonance in symmetry broken terahertz metamaterials,"R Singh, I Al-Naib, W Cao, C Rockstuhl, M Koch, W Zhang","IEEE Transactions on Terahertz Science and Technology 3 (6), 820-826",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=373446360379967160,83,2013
Sensing with Toroidal Metamaterial,"M Gupta, YK Srivastava, M Manjappa, R Singh","Applied Physics Letters 110, 121108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17523915089357175113,78,2017
A Tunable Dispersion-Free Terahertz Metadevice with Pancharatnam–Berry-Phase-Enabled Modulation and Polarization Control,"L Cong, N Xu, J Han, W Zhang, R Singh","Advanced Materials 27, 6630–6636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5122319107376699120,76,2015
Tailoring the slow light behavior in terahertz metasurfaces,"M Manjappa, C Sher-Yi, L Cong, AA Bettiol, W Zhang, R Singh","Applied Physics Letters 106 (18), 181101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17558137478111960149,75,2015
Sharp Toroidal Resonances in Planar Terahertz Metasurfaces,"M Gupta, V Savinov, N Xu, L Cong, G Dayal, S Wang, W Zhang, ...","Advanced Materials 28, 8206–8211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11154870470672056136,74,2016
Roadmap on plasmonics,"MI Stockman, K Kneipp, SI Bozhevolnyi, S Saha, A Dutta, J Ndukaife, ...","Journal of Optics 20 (4), 043001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2185751065501291800,73,2018
Spiral-type terahertz antennas and the manifestation of the Mushiake principle,"R Singh, C Rockstuhl, C Menzel, TP Meyrath, M He, H Giessen, F Lederer, ...","Optics express 17 (12), 9971-9980",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13676082464729697388,73,2009
Controlling metamaterial resonances via dielectric and aspect ratio effects,"SY Chiam, R Singh, W Zhang, AA Bettiol","Applied Physics Letters 97 (19), 191906",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4130277006173583084,72,2010
The impact of nearest neighbor interaction on the resonances in terahertz metamaterials,"R Singh, C Rockstuhl, F Lederer, W Zhang","Applied Physics Letters 94 (2), 021116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17774191874008247605,68,2009
Plasmon-induced transparency in twisted Fano terahertz metamaterials,"Y Ma, Z Li, Y Yang, R Huang, R Singh, S Zhang, J Gu, Z Tian, J Han, ...","Optical Materials Express 1 (3), 391-399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14264265510625183492,67,2011
Ultrahigh-Q Fano Resonances in Terahertz Metasurfaces: Strong Influence of Metallic Conductivity at Extremely Low Asymmetry,"YK Srivastava, M Manjappa, L Cong, W Cao, I Al-Naib, W Zhang, R Singh","Advanced Optical Materials 4, 457–463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11802463863630822246,66,2016
Defect‐Induced Fano Resonances in Corrugated Plasmonic Metamaterials,"L Chen, N Xu, L Singh, T Cui, R Singh, Y Zhu, W Zhang","Advanced Optical Materials 5 (8), 1600960",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2303545095244814339,65,2017
A close-ring pair terahertz metamaterial resonating at normal incidence,"J Gu, J Han, X Lu, R Singh, Z Tian, Q Xing, W Zhang","Optics express 17 (22), 20307-20312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4051879827444603557,65,2009
Cryogenic temperatures as a path toward high-,"R Singh, Z Tian, J Han, C Rockstuhl, J Gu, W Zhang","Applied Physics Letters 96 (7), 071114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13004576943586954887,59,2010
Tailored resonator coupling for modifying the terahertz metamaterial response,"DR Chowdhury, R Singh, M Reiten, J Zhou, AJ Taylor, JF O’Hara","Optics express 19 (11), 10679-10685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11995853164024393864,58,2011
Dual control of active graphene–silicon hybrid metamaterial devices,"Q Li, Z Tian, X Zhang, N Xu, R Singh, J Gu, P Lv, LB Luo, S Zhang, J Han, ...","Carbon 90, 146-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2624044322131160249,57,2015
Optical tuning and ultrafast dynamics of high-temperature superconducting terahertz metamaterials,"R Singh, J Xiong, AK Azad, H Yang, SA Trugman, QX Jia, AJ Taylor, ...","Nanophotonics 1 (1), 117-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10924939091495366555,57,2012
Excitation of a high-,"I Al-Naib, R Singh, C Rockstuhl, F Lederer, S Delprat, D Rocheleau, ...","Applied Physics Letters 101 (7), 071108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5140391467152761692,56,2012
A broadband planar terahertz metamaterial with nested structure,"DR Chowdhury, R Singh, M Reiten, HT Chen, AJ Taylor, JF O’Hara, ...","Optics express 19 (17), 15817-15823",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9835883658742155780,56,2011
Polarization Control in Terahertz Metasurfaces with the Lowest Order Rotational Symmetry,"L Cong, N Xu, W Zhang, R Singh","Advanced Optical Materials 3 (9), 1176–1183",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14012316833260917944,55,2015
Terahertz superconducting plasmonic hole array,"Z Tian, R Singh, J Han, J Gu, Q Xing, J Wu, W Zhang","Optics letters 35 (21), 3586-3588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4616529156039954540,55,2010
Random terahertz metamaterials,"R Singh, X Lu, J Gu, Z Tian, W Zhang","Journal of Optics 12 (1), 015101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8841439530413661764,55,2010
Hybrid Lead Halide Perovskites for Ultrasensitive Photoactive Switching in Terahertz Metamaterial Devices,"M Manjappa, YK Srivastava, A Solanki, A Kumar, TC Sum, R Singh","Advanced Materials 29 (32), 1605881",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13160071302298285866,54,2017
Modulating the fundamental inductive-capacitive resonance in asymmetric double-split ring terahertz metamaterials,"Y Yang, R Huang, L Cong, Z Zhu, J Gu, Z Tian, R Singh, S Zhang, J Han, ...","Applied Physics Letters 98 (12), 121114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=901824326271674117,54,2011
"Active Multifunctional Microelectromechanical System Metadevices: Applications in Polarization Control, Wavefront Deflection, and Holograms","L Cong, P Pitchappa, Y Wu, L Ke, C Lee, N Singh, H Yang, R Singh","Advanced Optical Materials 5, 1600716",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1305628012639864485,52,2017
Monolayer graphene sensing enabled by the strong Fano-resonant metasurface,"Q Li, L Cong, R Singh, N Xu, W Cao, X Zhang, Z Tian, L Du, J Han, ...","Nanoscale 8 (39), 17278-17284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1760192028108814300,52,2016
