Title,Authors,Platform,Cited_url,Cited_count,Year
PANFIS: A novel incremental learning machine,"M Pratama, SG Anavatti, PP Angelov, E Lughofer","IEEE Transactions on Neural Networks and Learning Systems 25 (1), 55-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7170383539206145001,181,2013
GENEFIS: toward an effective localist network,"M Pratama, SG Anavatti, E Lughofer","IEEE Transactions on Fuzzy Systems 22 (3), 547-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15800903615705320871,118,2013
Generalized smart evolving fuzzy systems,"E Lughofer, C Cernuda, S Kindermann, M Pratama","Evolving Systems 6 (4), 269-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3240033564074545028,109,2015
pClass: an effective classifier for streaming examples,"M Pratama, SG Anavatti, M Joo, ED Lughofer","IEEE Transactions on Fuzzy Systems 23 (2), 369-386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5144429382577222778,89,2014
Evolving type-2 fuzzy classifier,"M Pratama, J Lu, G Zhang","IEEE Transactions on Fuzzy Systems 24 (3), 574-589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14626842494802270977,85,2015
An incremental meta-cognitive-based scaffolding fuzzy neural network,"M Pratama, J Lu, S Anavatti, E Lughofer, CP Lim","Neurocomputing 171, 89-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13520267094988683899,80,2016
Recurrent classifier based on an incremental metacognitive-based scaffolding algorithm,"M Pratama, SG Anavatti, J Lu","IEEE Transactions on Fuzzy Systems 23 (6), 2048-2066",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11938068272584237724,77,2015
An incremental learning of concept drifts using evolving type-2 recurrent fuzzy neural networks,"M Pratama, J Lu, E Lughofer, G Zhang, MJ Er","IEEE Transactions on Fuzzy Systems 25 (5), 1175-1192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8133116633017458909,64,2016
Scaffolding type-2 classifier for incremental learning under concept drifts,"M Pratama, J Lu, E Lughofer, G Zhang, S Anavatti","Neurocomputing 191, 304-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8258377787292826826,64,2016
An incremental type-2 meta-cognitive extreme learning machine,"M Pratama, G Zhang, MJ Er, S Anavatti","IEEE transactions on cybernetics 47 (2), 339-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9593692905635237079,59,2016
Attention pooling-based convolutional neural network for sentence modelling,"MJ Er, Y Zhang, N Wang, M Pratama","Information Sciences 373, 388-403","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11405340725568713004,6445177702592307833",58,2016
Data driven modeling based on dynamic parsimonious fuzzy neural network,"M Pratama, MJ Er, X Li, RJ Oentaryo, E Lughofer, I Arifin","Neurocomputing 110, 18-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1988243636166838245,51,2013
Online active learning in data stream regression using uncertainty sampling based on evolving generalized fuzzy models,"E Lughofer, M Pratama","IEEE Transactions on fuzzy systems 26 (1), 292-309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3247549682421257201,36,2017
Incremental rule splitting in generalized evolving fuzzy systems for autonomous drift compensation,"E Lughofer, M Pratama, I Skrjanc","IEEE Transactions on Fuzzy Systems 26 (4), 1854-1865",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11769644942021495257,33,2017
Multiview convolutional neural networks for multidocument extractive summarization,"Y Zhang, MJ Er, R Zhao, M Pratama","IEEE transactions on cybernetics 47 (10), 3230-3242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11858207553407100815,33,2016
Evolving type-2 web news mining,"C Za’in, M Pratama, E Lughofer, SG Anavatti","Applied Soft Computing 54, 200-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5491371328238262325,32,2017
A novel meta-cognitive-based scaffolding classifier to sequential non-stationary classification problems,"M Pratama, MJ Er, SG Anavatti, E Lughofer, N Wang, I Arifin","2014 IEEE international conference on fuzzy systems (FUZZ-IEEE), 369-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5324323893471508857,31,2014
Evolving ensemble fuzzy classifier,"M Pratama, W Pedrycz, E Lughofer","IEEE Transactions on Fuzzy Systems 26 (5), 2552-2567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15179832655537795513,27,2018
pClass+: a novel evolving semi-supervised classifier,"M Pratama, E Lughofer, CP Lim, W Rahayu, T Dillon, A Budiyono","International Journal of Fuzzy Systems 19 (3), 863-880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4559506166218536974,27,2017
Evolving fuzzy rule-based classifier based on GENEFIS,"M Pratama, SG Anavatti, E Lughofer","2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8600049488185157829,24,2013
