Title,Authors,Platform,Cited_url,Cited_count,Year
Insurgency and Counter-insurgency in Iraq,A Hashim,Cornell University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10084721454490356838,445,2005
The Islamic State: From al‐Qaeda Affiliate to Caliphate,AS Hashim,"Middle East Policy 21 (4), 69-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2082886942281022413,156,2014
Iraq: Sanctions and beyond,"AH Cordesman, AS Hashim",Westview Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11934649462647918053,119,1997
"The Egyptian military, part two: From Mubarak onward",A Hashim,"Middle East Policy 18 (4), 106-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17326629149014172986,98,2011
The insurgency in Iraq,AS Hashim,"Small Wars & Insurgencies 14 (3), 1-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2494183608778290239,85,2003
When Counterinsurgency Wins: Sri Lanka's Defeat of the Tamil Tigers,A Hashim,University of Pennsylvania Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2431721960827343262,66,2013
Crisis in Iranian National Security,AS Hashim,Oxford University Press,,61,1995
"The crisis of the Iranian state: domestic, foreign and security policies in post-Khomeini Iran",A Hashim,Oxford University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11792537770514420109,61,1995
Saddam Husayn and civil-military relations in Iraq: The quest for legitimacy and power,A Hashim,"The Middle East Journal, 9-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11297183988884398762,57,2003
Iran: dilemmas of dual containment,"AH Cordesman, A Hashim",Westview Pr,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4077088677430424396,48,1997
Iraq’s Sunni insurgency,AS Hashim,Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15634705840062411933,43,2013
"The Egyptian military, part one: From the Ottomans through Sadat",AS Hashim,"Middle East Policy 18 (3), 63-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3147786034953078941,39,2011
The World According to Usama Bin Laden,AS Hashim,"Naval War College Review 54 (4), 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7564693695471956025,36,2001
The revolution in military affairs outside the West,AS Hashim,"Journal of International Affairs, 431-445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11592306235440596551,28,1998
Military power and state formation in modern Iraq,AS Hashim,"Middle East Policy 10 (4), 29-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17133315964012417620,26,2003
"The state, society, and the evolution of warfare in the Middle East: the rise of strategic deterrence?",A Hashim,"Washington Quarterly 18 (4), 53-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3360397087517059643,21,1995
"Iraq, the pariah state",A Hashim,"Current History 91 (561), 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2923035494523534182,12,1992
"The Caliphate at War: Ideology, War Fighting and State‐Formation",AS Hashim,"Middle East Policy 23 (1), 42-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15409214516392373441,11,2016
"The Iranian Military in Politics, Revolution and War, Part Two",AS Hashim,"Middle East Policy 19 (3), 65-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2178390718698985455,9,2012
Iran’s Military Situation,A Hashim,"Power 1, A6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12906250167410162627,9,1992
Iraq's Civil War,AS Hashim,"Current History 106 (696), 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10986733099923637340,7,2007
Iraq: From Insurgency to Civil War?,AS Hashim,"Current history: A journal of contemporary world affairs, 10-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=551748215393756668,7,2005
Iraq: Profile of a Nuclear Addict,A Hashim,"Brown J. World Aff. 4, 103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8532118011613930114,7,1997
Foreign involvement in the Iraqi insurgency,"A Hashim, A McGregor, I Rotar, S Schwartz","Terrorism Monitor 2 (16), 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11411090845462844580,6,2004
"The Iranian Armed Forces in Politics, Revolution and War: Part One",AS Hashim,"Middle East Policy 19 (2), 98-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=205724740459307039,5,2012
